"","dist_clust","pcap","pcrev","pcintgov","pop_growth","EXP_TOTAL","SL_EXP_TOTAL","SL_pop_growth","SL_vac_rate","exp_intensity","dist_clust_bf","dist_clust_pca","pcap_q","dc_diff","dc_diff_bf","dc_diff_pca","cty","year","SALES_TAX_RATE","births","cty_exp_prop","cty_rev_prop","deaths","defl","edu_yrs","emp_cnstr","emp_ed_hlth","emp_fin","emp_info","emp_lsr_hosp","emp_mfg","emp_nat_res","emp_other","emp_prof","emp_pub_ad","emp_total","emp_trd","emp_unclass","est_cnstr","est_ed_hlth","est_fin","est_info","est_lsr_hosp","est_mfg","est_nat_res","est_other","est_prof","est_pub_ad","est_total","est_trd","est_unclass","fed_wage","gq_pop","gsp","h_units","hh_size","intensity_flow","intensity_stock","july_hh_pop","july_pop","labforce","loc_wage","med_age","migration","nat_pop_inc","num_hh","perc_dem","permits","pop","pov_pop","prop_ratio","r_ALL_OTHER_INTGOVT","r_ASSETS","r_EXP_CAPITAL_OUTLAY","r_EXP_DEBT_SERVICE_GEN","r_EXP_FIRE","r_EXP_GEN_GOVT","r_EXP_HEALTH","r_EXP_INTEREST_GEN","r_EXP_JUDICIAL","r_EXP_MISC","r_EXP_OTHER_PUBLIC_SAFETY","r_EXP_OTHER_PUBLIC_WORKS","r_EXP_POLICE","r_EXP_PRINCIPAL_GEN","r_EXP_RECREATION","r_EXP_SOCIAL_SERVICE","r_EXP_STREET","r_EXP_TOTAL","r_EXP_TOTAL_OPERATING","r_EXP_TOTAL_PUBLIC_SAFETY","r_EXP_TOTAL_PUBLIC_WORKS","r_EXP_TRANSFER_OUT","r_EXP_TRASH","r_GO_DEBT_GEN","r_LIABILITIES","r_OTHER_DEBT_GEN","r_RETAIL_SALES","r_REVENUE_DEBT_GEN","r_REV_CHARGES","r_REV_CIGARETTE_TAX","r_REV_CTF","r_REV_FINES","r_REV_FRANCHISE_TAX","r_REV_HUT","r_REV_INTEREST","r_REV_INTGOVT","r_REV_LICENSES","r_REV_LODGING_TAX","r_REV_MISC","r_REV_MOTOR_VEH_FEE","r_REV_OCCUPATION_TAX","r_REV_OTHER_TAX","r_REV_PROPERTY_TAX","r_REV_SALES_USE_TAX","r_REV_SOCIAL_SERVICE","r_REV_SO_TAX","r_REV_TOTAL","r_REV_TOTAL_TAX","r_REV_TRANSFER_IN","r_REV_UNCLASS_TAX","r_ST_SALES_TAX_PAID","r_TOTAL_DEBT","r_all_gov_exp","r_all_gov_rev","r_mhv","r_non_resid","r_nonres_val","r_res_val","r_resid","r_total","r_wage_cnstr","r_wage_ed_hlth","r_wage_fin","r_wage_info","r_wage_lsr_hosp","r_wage_mfg","r_wage_nat_res","r_wage_other","r_wage_prof","r_wage_pub_ad","r_wage_total","r_wage_trd","r_wage_unclass","res_rate","st_wage","stcou","unemp_rate","vac_hu","vac_rate","w_db_b_g","w_db_b_g_ap","w_db_b_i","w_db_b_i_ap","w_db_c_g","w_db_c_g_ap","w_db_c_i","w_db_c_i_ap","w_kern_g","w_kern_g_ap","w_kern_i","w_kern_i_ap","w_queen_g","w_queen_g_ap","w_queen_i","w_queen_i_ap","w_rook_g","w_rook_g_ap","w_rook_i","w_rook_i_ap"
"453",0.316973865841838,9720.09432613978,1202.78431517234,420.079438548198,-0.000357168369169214,17650948.5326087,27314132.1480978,0.0139239745771723,19.355,8659589.48118266,0.221601012108977,0.197767711485953,4,-0.128534718891422,-0.036278451799192,-0.0242642518100448,"Gunnison",2003,1,178,0.250748933210416,0.238815123729228,73,0.857808857808858,43.8142857142857,604,827,404,65,2022,125,688,125,362,583,6937,1132,0,207,57,88,18,137,27,19,41,125,23,926,183,1,0.0400177970131251,1066,192040,10020,2.28,0.00511902482327614,0.490601933668594,13140,14206,8374,0.151266137858359,31.57,-215,105,5775,53.175,194,14254,1801.5,0.688582225049451,2461169.50271739,28704160.3451087,1168340.69836957,505934.388586956,15628.1902173913,4532262.5951087,620940.195652174,72878.7065217391,205208.885869565,657941.445652174,781636.83423913,0,1964779.19836957,433055.682065217,750791.967391304,930215.388586956,4288089.31793478,17650948.5326087,15299341.8994565,2762044.22282609,4839937.19836957,677331.546195652,551847.880434783,0,8134734.13858696,1282057.17391304,469921168.720109,1360088.54347826,2000170.5326087,6834.85597826087,52658.5842391304,16873.222826087,0,2452429.79347826,142010.657608696,5878591.66304348,243639.358695652,243863.184782609,824999.641304348,45824.8940217391,0,267649.369565217,5516270.85326087,1612862.80434783,859674.032608696,470706.260869565,16831763.7065217,7867489.28804348,0,0,6112256.77173913,2642145.7173913,70392915.7608695,70480308.9673913,262025.15625,273092983.206522,941699942.091454,2362399171.12738,188046974.021739,461139957.228261,18994794.5298913,26069376.4076087,13655450.0380435,1910431.42663043,30161834.7309783,3532924.58152174,44355179.6576087,2520148.8423913,18666307.5978261,21391870.5,208837223.315217,27578905.0027174,0,0.0796,0.0111084409823201,8051,4.8,4245,42.37,2.87928839439282,-0.0895997802451272,-0.901236094903763,0.0702984774925932,2.88246079081598,-0.0908178774141133,-0.875216750587287,0.0648527949044807,1.00780410732859,-0.509602300195298,-0.25196131842552,0.182766477917137,0.306646597365963,-0.400324299407326,-0.0500648810330566,0.137344306789316,0.30231143456371,-0.393424721774133,-0.0507584378044157,0.136264252515602
"454",0.188439146950416,10368.1465821001,1368.4565784776,564.97457126325,0.014006002572531,18614029.5262043,26714551.0561143,0.00288780524789142,20.6125,8618360.06920698,0.185322560309785,0.173503459675908,4,0.116713620114621,-0.0231458499898727,0.00473958304405661,"Gunnison",2004,1,165,0.26346304471279,0.27454392159465,70,0.880652680652681,43.8857142857143,683,847,401,67,2066,132,692,144,370,580,7160,1178,0.00500378984587435,212,60,106,18,142,27,20,47,130,23,983,198,0.824487599878408,0.0391850316421453,897,201564,10244,2.27,0,0.463003459679393,13333,14230,8724,0.149288749297041,31.96,-71,95,5884,56.8,191,14315,1764.625,0.702199318440346,4508702.56484913,29734218.2398094,3133407.82424563,449170.267337215,0,4629745.74377978,690073.411858126,107683.769190048,215141.569613552,235333.411858126,225997.154579142,0,2102282.81895183,341486.498147168,829493.869772366,1117103.28215987,3995806.83430386,18614029.5262043,14507935.1720487,2328279.97353097,4462763.90947591,523516.26257279,466957.075172049,0,8925246.20963473,1549355.41556379,501710723.996824,1200899.08681842,2266079.51561673,7907.77130757014,44872.4007411329,9612.18898888301,0,2466793.14981472,207842.437797777,8016989.16622552,254771.267866596,0,798796.183165696,47075.3123345686,0,24972.3875066173,5866344.4891477,1658556.24139756,941637.967178401,522277.408681842,19418398.8485971,8072150.52673372,0,0,6519421.47697194,2750254.50238221,70651386.9772366,70729662.2551615,258061.441238751,271111796.109052,934868262.445008,2391639679.00647,190374518.448915,461486314.557967,22069631.339333,26324550.5399682,14350137.4351509,2005035.62731604,32278047.4351509,3672137.80307041,48669559.454738,2789802.44309158,11056480.2832186,21735943.6024351,214263464.070937,29312138.1074643,-375571.292145852,0.0796,0.0103561686186356,8051,4.2,4360,42.56,3.10495418063435,-0.0775087084820239,-0.251357493385919,0.0667074375466415,3.11132012804685,-0.0772962506186128,-0.245966221227696,0.0615980254477074,1.12183666220944,-0.5071197874609,-0.0426730980567029,0.182698953145967,0.348014214949364,-0.398349384876534,0.00810184795595557,0.132937270533875,0.341219020527436,-0.391064977613299,0.0106385294515001,0.134641668180415
"455",0.305152767065037,11384.8850252384,1398.30931295138,556.785106910892,0.00521494009866097,20217824.3548387,28097115.0192012,0.0045114263824529,21.435,12339440.8012449,0.162176710319912,0.178243042719965,4,-0.144532076486226,-0.0333299433718751,-0.041700638281077,"Gunnison",2005,1,168,0.287379861056904,0.283230642301136,73,0.910489510489511,43.9571428571428,762,903,425,81,2168,102,754,153,376,589,7536,1223,-3.15776112210841,224,67,125,17,146,28,24,54,134,25,1040,196,0.176913326542876,0.036629029416879,839,217329,10456,2.26,0.147321399448772,0.610324859128165,13634,14473,9091,0.145571686700434,32.35,148,95,6035,58.25,192,14403,1727.75,0.671438550878001,4585900.16897081,28631863.0798771,1706946.62826421,453093.632872504,0,4826835.39938556,600905.330261137,110446.082949309,222392.457757296,215648.832565284,245653.571428571,0,2084726.92780338,342647.549923195,1259968.38709677,1115333.0030722,4119039.21658986,20217824.3548387,15181461.0061444,2330380.49923195,4609997.09677419,2876323.0875576,490957.880184332,0,7454205.59139785,1710074.61597542,553117832.987711,1035971.29800307,2215558.74807988,7139.01689708141,33445.7450076805,0,0,2233918.10291859,315926.758832565,7941982.76497696,413321.620583717,0,1076916.30568356,43500.7757296467,0,1740.82181259601,6042950.453149,1738353.9093702,1038078.95545315,514659.416282642,19945484.0399386,8297704.60061444,0,0,6852455.66052227,2746045.91397849,70352265.7450077,70421349.4623656,258426.920122888,321084028.571429,1107186305.41872,2708394407.71446,215588194.854071,536672223.425499,24319696.9815668,26703936.4208909,15686958.3179723,2428824.24731183,35222426.6513057,2769304.83102919,51089717.6344086,2973703.67127496,13203076.8740399,22341447.9416283,226740608.894009,30001515.3225806,-413615.161914214,0.0796,0.0102759793402741,8051,4,4421,42.28,3.77797248389733,-0.0582975607760609,-0.460910586395165,0.0606137873966194,3.78053639151277,-0.0619177815645083,-0.447944376429177,0.0562946083824432,1.48200080675408,-0.502471283009903,-0.128385646897016,0.17801217086613,0.515437727202393,-0.398284501430701,-0.0219243054984374,0.132191704994786,0.506009261293953,-0.391545065545426,-0.0219148020407408,0.13243039591072
"456",0.160620690578811,12370.0214726051,1600.21134261092,641.625355712175,0.0121284352215367,22415028.6904762,29475751.4443824,0.00662609501955788,22.2075,13421209.032386,0.128846766948037,0.136542404438888,5,0.101354635818259,0.0160310691216698,0.0157006201265478,"Gunnison",2006,1,158,0.319726496418309,0.329244839079147,51,0.93986013986014,44.0285714285714,897,947,434,77,2274,102,851,162,420,613,8024,1247,0,249,73,140,17,151,30,25,55,156,26,1117,194,1,0.0338174828419833,841,230236,10738,2.25,0,0.59875939565888,13809,14650,9635,0.141666007143528,32.74,70,107,6134,59.7,262,14656,1690.875,0.677431670042204,5576895.72916667,30414226.3169643,3960247.74553571,505361.361607143,0,5230981.49553571,790416.540178571,110515.379464286,226762.462797619,236821.40625,273086.376488095,0,2088562.87946429,394845.982142857,1366546.94196429,1138891.79315476,4548571.45089286,22415028.6904762,16341830.3943452,2361649.25595238,4989760.4985119,1607589.1889881,441189.047619048,0,7099559.51636905,1783316.39880952,615259805.662202,875070.625,2414768.86160714,6915.92261904762,70790.3199404762,0,0,2509562.75297619,574365.245535714,9263145.26041667,1236115.83333333,0,1418149.30059524,46845.2678571429,0,1778.9880952381,6317255.88541667,1904828.0952381,1052135.26785714,546208.928571429,23102251.1532738,8770071.89732143,0,0,7471929.8139881,2658387.02380952,70106884.9206349,70167390.3769841,256250.892857143,323400883.928571,1115175461.82266,2752286443.3776,219082000.892857,542482884.821429,29185427.5297619,27164548.125,16279723.28125,2576007.74553571,36049963.7797619,2735849.61309524,56375660.327381,3168398.01339286,13731712.2544643,23059644.8139881,241008913.340774,30681977.8571429,0,0.0796,0.00955845813625026,8051,3.1,4604,42.88,3.69600182946216,-0.0438696469699058,0.0781850113502676,0.0549307192023173,3.69133580661938,-0.0455985425669564,0.0756634248244593,0.0493137302699556,1.24506940339135,-0.498520302792514,0.0620489522965788,0.176480010738826,0.247213391067068,-0.393549511381926,0.0379042039012999,0.134059951542592,0.243954301076501,-0.388553446670502,0.0383805797385679,0.131950616183125
"457",0.26197532639707,13221.7570441255,1536.13218934335,573.095490474861,0.0423218120108055,20997482.6049204,29853738.2724313,0.012114761257671,22.8025,22156415.8083301,0.144877836069707,0.152243024565436,5,0.0153829997763881,0.0100820190799188,-0.00533389051427921,"Gunnison",2007,1,162,0.299627500873614,0.329606652191126,49,0.966433566433566,44.1,939,930,422,89,2256,106,785,175,468,615,8050,1265,2.71078479892052,268,70,137,17,150,30,24,58,174,27,1156,201,1.42621679446012,0.031193647791261,830,242633,11002,2.24,0.456434516164539,1.05519391182342,14127,14957,9592,0.139657301134952,33.13,194,113,6298,61.15,243,14988,1654,0.69439397764219,5102834.97105644,32602769.7033285,2383294.70332851,416978.480463097,0,5224642.61939218,1059834.87698987,77869.8118668596,222049.406657019,239719.529667149,265777.192474674,0,2250303.66859624,339108.668596237,1166568.54558611,1247381.13603473,3381846.52677279,20997482.6049204,15640635.3473227,2516080.86107091,3964358.37192475,2556574.07380608,582511.845151954,0,7029994.8552822,1447564.58031838,835163975.086831,721297.380607815,3268572.3154848,6725.75976845152,51643.487698987,0,0,2338672.90882779,749876.685962373,8623940.9406657,324416.505065123,0,1603516.32416787,47291.4037626628,0,2067.39507959479,6573297.14182344,2153093.67583213,1076772.40955137,566812.887120116,23115717.1852388,9295271.09985528,0,0,7354123.70477569,2168861.96092619,70078622.7689339,70131221.6594308,251010.528219971,470600303.835022,1622759668.39663,4105301719.34201,326782016.859624,797382320.694645,31757694.5441389,28241701.186686,16126376.9609262,2741276.88856729,38531084.0738061,2855286.79450072,58581968.7626628,3423592.80028944,17804957.9377713,23893756.1794501,256024228.248915,32066532.1201158,172549.875090056,0.0796,0.00898962669131597,8051,2.8,4704,42.76,2.97269479355122,-0.0417523425945742,-0.301362817842623,0.0529625623645377,2.96697941912209,-0.0410432671007032,-0.296266028244439,0.0533746494675396,0.864163727241518,-0.499724706651903,-0.0432489610926901,0.177446339006876,0.2180750765177,-0.39709098563011,0.014044459540025,0.134236567724044,0.213809969522193,-0.391420488627875,0.0137732069921319,0.135668613213998
"458",0.277358326173458,13542.827183957,1464.43560753909,592.479584052746,0.0140217969165337,20153844.1477009,30529063.1920576,-0.000786468284223491,23.16375,20385973.1088722,0.154959855149626,0.146909134051156,5,0.0241228493480362,0.00627092891542277,-0.0109778036528416,"Gunnison",2008,1,168,0.290805468502918,0.322226621536976,66,1.0037296037296,44.1714285714286,876,944,407,83,2250,106,807,174,446,642,7991,1256,0,279,69,139,17,153,32,22,60,180,27,1184,205,1,0.0305117374156802,808,252487,11214,2.23,0,1.01151785036493,14329,15137,9555,0.143887830796371,33.52,78,102,6412,62.6,173,15222,1617.125,0.745181089893379,5528769.87923827,32942523.4417092,1843477.55921969,400759.326521133,44.8327914537854,5339302.51741756,1139593.76683697,63177.3734324199,230951.64189503,254684.129122155,354869.477473293,0,2170341.48629819,337581.953088713,1205260.85462146,1469100.83604273,3357498.85973061,20153844.1477009,16212789.7189967,2525255.79656294,4048640.17649791,1696817.54296331,691141.316767301,0,6188340.94054807,1106460.34138412,870031974.503019,563720.545750116,2558896.33070135,0,50790.5712958662,22386.5071992569,0,2195624.19182536,531134.080352996,9040645.97306084,258853.578727357,0,1366062.12958662,46296.3330236879,0,15.940548072457,6900898.38365072,1755808.5299582,1219164.99767766,442255.562006503,22345822.9354389,9098978.41616349,0,0,6537235.70134696,1670180.88713423,69303525.313516,69348158.8481189,227093.032977241,444909483.929401,1534170634.23931,4165051936.4122,331538134.138412,776447618.067812,30013137.8889921,29065959.489085,13828259.073386,2586094.89084998,37428551.335346,2725592.61960056,61888582.1133302,3487935.38318625,16909946.6000929,24567223.9897817,254114490.647933,31607229.5587552,5977.70552717139,0.0796,0.0104413026064693,8051,3.6,4802,42.82,2.76925920274361,-0.0513292363784587,-0.557258909065183,0.0554111604455068,2.76875786114663,-0.0491569484296197,-0.547716586236892,0.0522643956201406,1.04917847874814,-0.506124049059766,-0.155038013204475,0.179429777954495,0.295348702474431,-0.400243925817931,-0.0238730450805487,0.132221230253351,0.288068524173959,-0.393047115395112,-0.0218935746110641,0.13228289835896
"459",0.301481175521494,12454.982460699,1573.31369364688,700.090749642718,0.00884723769578599,21732684,31448257.375,-0.0315848909541213,23.01875,22699508.9401251,0.161230784065048,0.135931330398315,5,-0.078311267463204,-0.0370235292395908,-0.0140189898298088,"Gunnison",2009,1,182,0.304389275093023,0.33903695733223,59,1,44.2428571428571,647,948,370,87,2064,102,815,157,415,675,7408,1127,1,262,75,130,17,151,30,24,57,183,30,1158,198,1,0.0334819425139755,808,245362,11338,2.23,0.0329692889191628,1.04448713928409,14458,15266,9440,0.155895780233818,33.91,6,123,6493,64.05,87,15350,1580.25,0.748212822565115,6136112,37027002,1602389,402981,465,5616703,1585038,49641,253672,274550,379106,0,2363457,353340,915043,2469481,3541692,21732684,18114880,2743028,4257365,1612434,715673,0,5632667,1082249,762840464,428378,2479779,0,49532,23654,0,2337928,335141,10777197,194553,0,1180040,50757,0,3466,7482512,1691231,2202868,387159,24219591,9564368,0,0,5869478,1510627,71397666.6666667,71436433.3333333,220895,485010600,1672450344.82759,4558934045.22613,362891150,847901750,22905612,30288592,14889706,2574293,36515083,2729925,62015660,3408877,19377639,26127864,250139997,29300136,6610,0.0796,0.0112334573986582,8051,6.1,4846,42.74,2.15257923915841,-0.0980913950289039,-0.362990279526069,0.0688977508941687,2.15639847475466,-0.0993638754035131,-0.353978999207229,0.0658434645937856,1.23210338074551,-0.516134899326769,-0.15440716325197,0.181619135278682,0.286956662719103,-0.406691842016499,-0.01245379754292,0.135743490099543,0.282132884591899,-0.398561914016547,-0.0123181026190588,0.13730165756324
"460",0.168899208873202,5974.6835443038,4592.39135386098,2435.31862380097,0.0371991247264771,2378232.01038062,72602233.8564014,0.00311175641373712,23.3666666666667,0,0.0993202905048266,0.103239956469862,3,0.032783614970772,0.0445446492368651,0.0432516407113522,"Hinsdale",1993,4,9,0.777501213238862,0.672422046955246,0,0.673659673659674,32.87,766.725569216473,-2926.06192720347,20,-1179.93633617889,46,1967.41167484114,-235.67542329226,629.868343520453,-660.754056108661,4,72,2,2.027404908237,55.7794657672307,-67.686254155756,5,-13.3585140355417,17,49.5431249638319,-27.0867916495133,297.858516114045,10.0785235582011,3,26,1,2.43702767235537,0.165619603873573,0,95659,1286,2.23,0,0,546,546,526,0,40.61,33,9,245,32.225,19,540,61.8,0.78982701620905,498397.058823529,1256823.04152249,599353.079584775,0,0,528118.297577855,53319.2076124568,0,22845.3633217993,1917.88235294118,635.335640138408,0,218225.916955017,0,42378.9653979239,3984.20761245675,825431.626297578,2378232.01038062,1778878.93079585,218861.252595156,907453.75432526,0,82022.1280276817,0,318554.024221453,0,14596.3910034602,0,153049.089965398,1756.07958477509,2058.90311418685,22.2664359861592,0,648940.432525952,46777.3287197232,1154341.02768166,19448.9896193772,0,161914.100346021,3188.55363321799,0,30935.5017301038,377120.688581315,251202.508650519,0,28759.3287197232,2176793.5017301,688018.027681661,0,0,285261.249134948,0,3058814.53287197,3237242.90657439,149151.721453287,14063065.3287197,48493328.7197232,86371609.07726,11107388.9273356,25170454.2560554,-85174993.4694205,183664100.181,595226.366782007,-82487794.5873541,548842.411764706,128070261.129429,-56499890.8587951,24889196.1291179,-103128764.415277,136263.166089965,1371159.70588235,90827.7612456747,296508.698769443,0.1286,0,8053,4.4,1041,80.9,1.59989979542355,-0.156925194276725,6.81603273625078,0.0944828817475895,1.96971555959968,-0.110961174010527,8.23936424899425,0.0722472608008906,2.83052382827614,0.889715660172662,11.0720905749897,-0.168651381561458,1.26467085309706,-0.309852880383075,4.35396434548638,0.119146682404453,1.24335599289595,-0.305045884279535,4.30974965908777,0.124254070709148
"461",0.201682823843974,6216.44295302013,4077.110561639,2050.18522606853,0.257383966244726,2430710.52631579,73164567.2807018,0.024393455775489,23.25,0,0.143864939741692,0.146491597181214,3,0.105917778182683,0.161024852578366,0.149414662590408,"Hinsdale",1994,4,5,0.730427974947808,0.672736015387081,0,0.690909090909091,33.16,1982.25609132008,2715.50331768929,23,285.801219771872,61,871.275913155699,-164.813566607584,661.848722279998,2432.47914727214,4,90,2,6.04245488718614,107.370525063013,-174.993572836423,5,46.3317919827438,18,112.840499024967,-4.62062526067615,27.4744038551636,631.513852623952,3,27,1,4.43264297589033,0.13557043407641,0,104507,1305,2.23,0,0,612,612,563,0,41.08,61,5,274,32.75,32,591,61,0.803429700200449,563189.868421053,1412308.81578947,627817.763157895,19132.7631578947,0,564938.289473684,53260.2631578947,3996.18421052632,23317.1052631579,12253.4210526316,9302.23684210527,0,206621.973684211,15136.5789473684,33615.1315789474,3670.52631578947,795046.710526316,2430710.52631579,1783760,215924.210526316,876781.052631579,0,81734.3421052632,0,390885,108800.131578947,15618.552631579,0,175528.157894737,1877.23684210526,2503.94736842105,43.421052631579,0,651162.368421053,42970.9210526316,1221910.39473684,25276.8421052632,0,264169.342105263,3176.97368421053,0,37297.2368421053,356724.210526316,311449.078947368,0,37559.2105263158,2429957.89473684,743029.736842105,0,0,323928.289473684,108800.131578947,3327789.47368421,3612052.63157895,166110.855263158,13906923.6842105,47954909.2558984,86883635.5078989,11173235.5263158,25080159.2105263,104453197.199537,257738156.527668,794438.815789474,144587984.394576,662949.736842105,139285236.9706,36126718.610742,-1029684.86566567,59005396.701028,131289.342105263,1685954.07894737,97276.1842105263,320411.520028605,0.1286,0,8053,3,1031,79,1.80694163060374,-0.171980204928365,7.17724718456855,0.0982627487675229,2.22759403428004,-0.128082334032101,8.66398008721575,0.0753119129281975,2.92261672697238,0.924957189930874,10.7544967864032,-0.17857245700249,1.36625583317703,-0.318773726018225,4.66808805229725,0.122962139275414,1.34512069397619,-0.312483601521355,4.56353852803589,0.116331091344277
"462",0.307600602026657,6081.25,3476.43019500492,1643.11451156496,0.0738255033557047,2033160.20669291,77246409.7260499,0.0117109943197785,23.45,0,0.304889792320057,0.295906259771622,3,-0.121813871943616,-0.140901261964061,-0.132064971767764,"Hinsdale",1995,4,3,0.569209157538025,0.562474736692286,4,0.71048951048951,33.45,1359.80968717863,1590.6542310421,27,520.54760049977,70,1652.89056651825,-190.388893247735,242.477442837671,3729.25210791827,3,102,2,-3.83518459802916,100.690426888693,182.681829768089,5,46.0437914440639,21,52.7024783526571,19.635931920174,133.543975769776,-231.866380585908,2,29,1,-2.00577250240152,0.107153967866354,0,112708,1337,2.24,0,0,659,659,612,0,41.55,48,-1,294,33.275,17,623,60.2,0.700194936313365,371032.923228346,1681929.12401575,273684.547244094,34578.9763779528,0,504415.61023622,58960.7578740157,5872.00787401575,5672.14566929134,1687.5688976378,3034.52755905512,0,233358.828740157,28706.968503937,24424.0059055118,4601.0531496063,819885.433070866,2033160.20669291,1724896.68307087,236393.356299213,888742.18503937,0,68856.7519685039,0,82737.3228346457,140265.265748031,16580.1181102362,0,304290.206692913,1871.94881889764,3410.32480314961,388.464566929134,0,672190.078740158,54518.75,1051593.28740157,30211.5649606299,0,100322.381889764,3088.01181102362,0,47837.4409448819,335076.023622047,326856.338582677,0,28339.6161417323,2224915.32480315,738109.419291339,0,0,360569.714566929,140265.265748031,3571903.54330709,3955582.67716535,175065.920275591,14505393.6023622,50018598.6288352,98036709.9382847,10156603.1496063,24661996.7519685,28815396.3768108,97812491.2765824,811979.616141732,135503780.254792,690682.962598425,-105599446.72051,-25835032.0129617,21673963.8266324,-104239052.463826,75215.7480314961,1683003.03149606,105124.704724409,-151776.24681255,0.1036,0,8053,1.6,1043,78,1.92500398224016,-0.181126149117062,6.39524646005043,0.103161407173839,2.34755822294339,-0.141408919597541,7.62702147544456,0.081794484006645,2.67084361082741,0.941456812064713,8.22794553176515,-0.187519147885443,1.36896159364761,-0.325229821020435,3.94357298850524,0.126551185436914,1.34608935085993,-0.31893649130692,3.84659343211387,0.126833228131616
"463",0.185786730083041,4257.35294117647,3551.26048813407,1764.21686255764,0.0625,2687432.08413002,80155405.613448,0.012732804333612,23.6833333333333,0,0.163988530355996,0.163841288003858,2,0.126691514031751,0.135697524803957,0.121456465188929,"Hinsdale",1996,4,7,0.708029102434808,0.565209266606937,3,0.731468531468532,33.74,-3298.86652691153,-1943.62313766271,27,-893.355490801041,75,-1377.17469741009,-458.259923138287,-18.844712839692,-448.701596515382,2,106,2,3.49489589292225,-227.625183966992,51.7401253890922,6,-29.4802741268432,26,-81.2877130583071,-18.3896027781506,41.3098254885228,820.471716363991,2,35,1,-0.881474301445181,0.100999165082246,0,121081,1354,2.25,0,0,707,707,593,0,42.02,44,4,314,33.8,29,677,59.4,0.700203078706746,513054.196940727,1485074.13957935,551081.806883365,65892.103250478,0,659086.453154876,68749.3690248566,9685.99426386233,5953.77629063097,2519.58891013384,2147.73422562141,0,261875.927342256,56206.1089866157,35368.5755258126,3133.42256214149,947387.304015296,2687432.08413002,2070458.17399618,264023.661567878,1031623.32695985,0,84236.0229445507,0,91902.7915869981,242102.007648184,16562.5717017208,0,359508.288718929,1845.60229445507,3564.06309751434,2639.8948374761,0,678183.652007648,62323.9388145315,1199667.4665392,33162.0554493308,40805.5831739962,69487.6099426386,3019.95219885277,0,43496.0611854684,324417.23709369,341131.5583174,0,41346.9598470363,2414857.13193117,750391.816443595,0,0,358049.579349904,242102.007648184,3795652.00764818,4272500.95602294,181569.670172084,14668888.0497132,50582372.5852179,99142862.6796696,10271200.5736138,24940088.623327,-87334498.6440199,71152448.8336394,846014.521988528,-17056714.2672006,815923.001912046,-136183138.626918,1956164.64549229,-23991569.4448185,-35365230.0304039,81799.82791587,1848649.58891013,104912.23709369,291884.968632391,0.1036,0,8053,1.5,1040,76.8,1.97798071057602,-0.186374601251668,6.63904164502586,0.104220374376389,2.43610291332314,-0.145418066335166,8.0475812417151,0.0871991059344607,2.68410368785341,0.976974708787848,8.31930243784512,-0.222092174923392,1.37693730973727,-0.332762074746801,3.94161688215622,0.133936672093512,1.353204836531,-0.327518063622432,3.85578329715518,0.136637041835393
"464",0.312478244114792,3712.88515406162,3024.88294196183,1399.61544804838,0.0500000000000001,2331026.96261682,81291602.9158879,0.016230976397454,23.8,923933.080422056,0.299686055159953,0.285297753192787,2,-0.0703770613563266,-0.169224308214044,-0.142959465852586,"Hinsdale",1997,4,4,0.578505804311774,0.469781686046512,4,0.748251748251748,34.03,381.296824220803,1200.41972508506,28,1051.16793752053,74,3495.76697019984,-86.45671720032,1270.70480735767,1868.68625847621,2,106,2,3.65076289300689,-40.2902843402685,158.050674242501,7,2.1430895209792,26,-63.148039937234,19.4279195014259,200.023100380738,415.773337016485,2,36,1,0.44073603227342,0.0879670913876349,0,132898,1383,2.24,0.396363103146968,0.396363103146968,739,739,614,0,42.49,32,0,330,33.65,20,705,58.6,0.648190395683589,274715.028037383,1361913.28971963,147649.504672897,124085.242990654,0,569810.897196262,77861.4953271028,16625.4205607477,6401.58878504673,1524.88785046729,4927.48598130841,0,276386.925233645,107459.822429907,30595.3177570093,5212.14953271028,1005557.28971963,2331026.96261682,2059292.21495327,281314.411214953,1086571.46728972,0,81014.1775700935,0,119470.485981308,176158.626168224,19276.9345794393,0,310386.177570093,1733.3738317757,4237.8785046729,1571.66355140187,0,715843.299065421,52454.2710280374,999325.429906542,32884.6542056075,39489.3831775701,62551.1401869159,2795.85046728972,0,42096.7943925234,332144.897196262,332194.345794393,0,46611.3177570093,2159766.42056075,753047.355140187,0,0,354050.626168224,176158.626168224,4029392.52336449,4597383.17757009,190878.271028037,21311784.4859813,73488912.0206252,141828480.684719,13814094.0186916,35125878.5046729,41967146.4817032,148493768.60203,886256.53271028,15995743.8403714,861959.897196262,2191812.239795,-10420585.855393,-30840323.7694033,104500102.294236,60825.785046729,1916834.81308411,107792.598130841,-211178.383015426,0.0974,0,8053,2.1,1053,76.1,2.05918629111091,-0.165042863132322,5.73849605682379,0.0954495144965725,2.5394498908461,-0.119682560563002,6.96674098569097,0.078178483770449,2.5095635072315,1.08320339428933,6.50502074355975,-0.261822517938854,1.39793256343345,-0.314517865640034,3.42122593323806,0.13170847122587,1.37887620140794,-0.309633552832472,3.35252733978477,0.13531790638642
