,year,cty,intensity_stock,prop_ratio,pcrev,pcap,gsp,pop,unemp_rate,permit_rate,vac_rate,pop_change,dpop_change,w_db_b_g,w_db_b_i,w_db_c_g,w_db_c_i,w_kern_g,w_kern_i,w_queen_g,w_queen_i,w_rook_g,w_rook_i
1152,1993,Adams,0.0,0.7605301199087113,600.487817758866,13943.519685878293,95659.0,287260.0,5.3,0.022301059734654877,6.0,0.026654562869457665,0.029224923397227265,-0.6663363162523063,0.7263568510607308,-0.8632830313449688,0.912517840381376,-1.7888540710246432,1.7780280117137444,-0.8054566977916936,0.741493447436606,-0.7915343379771885,0.7301098266064793
1153,1993,Alamosa,0.0,0.4850005640971578,912.531383055859,8789.905009446085,95659.0,13744.0,7.1,0.013627030054134777,7.0,0.0006552602839460242,-0.011372633700424628,0.02807997081547348,0.005665313345579768,0.11975685413509925,-0.05126641633295477,-0.4632553835896525,0.322827252061945,0.06921392132437021,-0.013136093083235562,0.06851625481527558,-0.012252659003589676
1154,1993,Arapahoe,0.0,1.2121309926553825,397.70086022123485,19418.354720292285,95659.0,431714.0,6.1696428571428585,0.016837456240001856,2.5,0.02784642562937778,0.03391336669612377,-0.5697389564614199,0.786814508617158,-0.7715834385200449,1.0379062803317622,-1.626038723957876,2.061205748717522,-0.6516328308715339,0.7571827327030248,-0.6402816206239863,0.7455440710700616
1155,1993,Archuleta,0.0,0.672166372074897,1318.1068472565498,4875.3492787232535,95659.0,6125.0,7.6,0.024087765323157644,44.6,0.0691220108221331,0.03076646275638728,4.814018160140375,-0.2309710636347867,4.656981251314528,-0.2135855360979632,2.500850299175489,-0.07301647032780295,1.9458392519981265,-0.05372618093454045,1.9137739927811488,-0.052182925300438256
1156,1993,Baca,0.0,0.13005821998357314,1351.899895611621,4515.649639425474,95659.0,4339.0,2.6,0.0012285012285012285,27.3,-0.020762807492665347,-0.014018691588784993,-0.9642701805346836,0.01899838790266459,-0.9662221164953382,0.0204141238155289,-0.8472972664207884,0.04187636295532898,-1.1529854375466049,0.02298008493634454,-1.1332541718281162,0.023276424136836726
1157,1993,Bent,0.0,0.19252095363876115,1032.545018561058,6846.594341542846,95659.0,5355.0,4.1,0.002139495079161318,18.1,0.08181818181818179,0.008968609865470878,0.11336050601193927,-0.025178669482504187,0.2197301967603212,-0.07079346802095551,0.12249775537490094,-0.007768003851162626,-0.1678393635785001,0.09851190023852896,-0.16457470965561524,0.09758041455807573
1158,1993,Boulder,0.0,1.1146801463576173,570.7819781442358,19493.21110384329,95659.0,243377.0,4.6,0.026785357869945313,3.4,0.024305350965059258,0.02737925368616767,0.6414590818856101,-0.7297495987237115,1.137329674007418,-1.2577035869457305,0.2780275061950457,-0.28286322447334483,0.4037052517678392,-0.3869634544203965,0.3974165982640728,-0.3800031832676361
1159,1993,Broomfield,0.0,0.578979908772689,1366.0960958041628,9415.2864550211,95659.0,0.0,6.1696428571428585,0.016940429881499346,0.0,0.029027322596562825,0.01724976816329776,0.2809938473163475,-0.2004901839767411,0.4569761399843991,-0.32626001471222443,-0.3946690262530519,0.3186293277077996,-1.8258923065016588,1.2411689364353775,-1.7949134740735486,1.2216627252062675
1160,1993,Chaffee,0.0,0.8871721475840701,755.1429474656543,8308.823047249582,95659.0,13463.0,6.0,0.017282127031019202,23.5,0.037450874624335384,0.01748471067900259,-0.12177829947504078,0.1277673700123951,-0.16106633223285036,0.16135445772001902,-0.2192835379262511,0.20882367702732355,0.12717649150954632,-0.07996431568211695,0.12550998680768471,-0.07799453998433317
1161,1993,Cheyenne,0.0,0.03361739989581385,2353.1956019405457,3239.7569528362505,95659.0,2348.0,3.3,0.004578754578754579,18.9,-0.041632653061224545,0.03071098022717722,1.1906738373354648,1.699507251195978,1.2882446214473466,1.784640337223936,1.175101977999106,1.533192444377348,1.1953727762036352,1.4414270850826771,1.1758514842713743,1.4186655312335403
1162,1993,Clear Creek,0.0,0.7047167804556805,1266.652749557415,3800.9681854530463,95659.0,8256.0,7.1,0.01402154033732981,32.5,0.030197154978787166,0.022454707833631016,0.5583326957293387,-0.0016857075199751598,1.518487846791325,-0.056243527805628316,0.3404266999788872,0.033473693003872707,1.7454207806125328,-0.05362598856255686,1.7167054948179556,-0.052084361628714416
1163,1993,Conejos,0.0,0.5220080956724931,966.8624684652395,2592.325109251575,95659.0,7530.0,9.7,0.0,29.6,0.011145427689002174,-0.008520836107043017,-0.8517836387114435,0.5059338253987969,-0.8543973463989996,0.4947013672292838,0.5709070698529223,-0.2521075497609456,0.014976349200724152,0.02193985137451232,0.015185257938180248,0.022253100332092983
1164,1993,Costilla,0.0,0.08840783679613066,2393.2912377160487,3506.687120433674,95659.0,3226.0,11.2,0.0,42.7,0.007180768029971807,-0.01808706315144082,-0.4390878009654802,-0.6500839066090762,-0.4932907125639421,-0.7063840643753071,-0.03308379843159756,-0.06264307085656784,-0.8601980051717609,-1.0702298204822818,-0.8453606502294974,-1.0521625549959732
1165,1993,Crowley,0.0,0.3723792759571888,962.1207324961754,1202.7410311829394,95659.0,4044.0,5.7,0.0,13.7,0.02043906131718387,-0.0012600806451612545,-0.6896805102444097,0.43499152870960794,-0.7810471887043834,0.4770218211830514,-1.0100235346867634,0.5909181528718711,-0.32933280600335524,0.19346137362358207,0.14668010514424146,-0.04490868685181535
