,ap,emp,est,fipscty,fipstate,ind_code,naics,qp1,s_NAICS,s_SIC,s_n02,s_n07,sic,year
93479,1148503,55716,5263,69,8,0000,,254363,,00,00,00,----,1990
93480,6911,432,98,69,8,0700,,1128,,07,11,11,07--,1990
93489,7451,252,30,69,8,1000,,1548,,10,21,21,10--,1990
93508,101039,4163,564,69,8,1500,,21115,,15,23,23,15--,1990
93534,483924,14168,294,69,8,2000,,107734,,20,33,33,20--,1990
93725,38724,1744,180,69,8,4000,,9639,,40,48,48,40--,1990
93769,47869,2185,270,69,8,5000,,11044,,50,42,42,50--,1990
93850,176313,15325,1281,69,8,5200,,38158,,52,44,44,52--,1990
93927,51640,2728,424,69,8,6000,,12924,,60,52,52,60--,1990
93964,230143,14578,1903,69,8,7000,,50772,,70,81,81,70--,1990
94127,4489,141,219,69,8,9900,,301,,90,92,92,99--,1990
94128,27647,1924,306,71,8,0000,,6276,,00,00,00,----,1990
94129,35,3,3,71,8,0700,,9,,07,11,11,07--,1990
94132,0,0,4,71,8,1000,,0,,10,21,21,10--,1990
94143,575,51,21,71,8,1500,,140,,15,23,23,15--,1990
94157,240,26,7,71,8,2000,,96,,20,33,33,20--,1990
94173,0,0,12,71,8,4000,,0,,40,48,48,40--,1990
94188,2128,134,19,71,8,5000,,482,,50,42,42,50--,1990
94212,6752,734,98,71,8,5200,,1498,,52,44,44,52--,1990
94258,2040,116,24,71,8,6000,,481,,60,52,52,60--,1990
94279,6256,596,106,71,8,7000,,1529,,70,81,81,70--,1990
94344,106,1,12,71,8,9900,,1,,90,92,92,99--,1990
94345,13887,1008,129,73,8,0000,,3171,,00,00,00,----,1990
94346,0,0,6,73,8,0700,,0,,07,11,11,07--,1990
94350,899,39,10,73,8,1500,,134,,15,23,23,15--,1990
94359,0,0,3,73,8,2000,,0,,20,33,33,20--,1990
94364,4166,143,9,73,8,4000,,1001,,40,48,48,40--,1990
94376,1014,67,10,73,8,5000,,245,,50,42,42,50--,1990
94389,4931,521,46,73,8,5200,,1098,,52,44,44,52--,1990
94424,1101,54,7,73,8,6000,,238,,60,52,52,60--,1990
94429,924,99,29,73,8,7000,,198,,70,81,81,70--,1990
94459,122,3,9,73,8,9900,,6,,90,92,92,99--,1990
94460,74606,4986,554,75,8,0000,,16850,,00,00,00,----,1990
94461,425,29,10,75,8,0700,,71,,07,11,11,07--,1990
94467,2993,106,14,75,8,1000,,610,,10,21,21,10--,1990
94473,6919,207,47,75,8,1500,,884,,15,23,23,15--,1990
94498,11933,679,24,75,8,2000,,2774,,20,33,33,20--,1990
94535,4203,280,42,75,8,4000,,1097,,40,48,48,40--,1990
94556,9092,508,51,75,8,5000,,2232,,50,42,42,50--,1990
94594,14637,1539,144,75,8,5200,,3470,,52,44,44,52--,1990
94652,5740,327,39,75,8,6000,,1458,,60,52,52,60--,1990
94673,18576,1300,165,75,8,7000,,4245,,70,81,81,70--,1990
94762,88,11,18,75,8,9900,,9,,90,92,92,99--,1990
94763,480120,27205,2520,77,8,0000,,109614,,00,00,00,----,1990
94764,1349,106,26,77,8,0700,,236,,07,11,11,07--,1990
94772,17614,514,40,77,8,1000,,3292,,10,21,21,10--,1990
94793,34732,1538,250,77,8,1500,,7017,,15,23,23,15--,1990
94819,66809,3218,123,77,8,2000,,15463,,20,33,33,20--,1990
94951,29776,1499,93,77,8,4000,,8037,,40,48,48,40--,1990
94986,35977,1618,200,77,8,5000,,8599,,50,42,42,50--,1990
95058,96863,7861,602,77,8,5200,,22634,,52,44,44,52--,1990
95132,23172,1260,206,77,8,6000,,5872,,60,52,52,60--,1990
95166,171695,9472,866,77,8,7000,,38222,,70,81,81,70--,1990
95312,2133,119,114,77,8,9900,,242,,90,92,92,99--,1990
95313,1058,57,34,79,8,0000,,165,,00,00,00,----,1990
95314,0,0,1,79,8,1000,,0,,10,21,21,10--,1990
95318,66,4,3,79,8,1500,,11,,15,23,23,15--,1990
95321,0,0,1,79,8,2000,,0,,20,33,33,20--,1990
95325,371,30,16,79,8,5200,,50,,52,44,44,52--,1990
95344,0,0,12,79,8,7000,,0,,70,81,81,70--,1990
95359,0,0,1,79,8,9900,,0,,90,92,92,99--,1990
95360,54585,2526,293,81,8,0000,,13538,,00,00,00,----,1990
95361,0,0,3,81,8,0700,,0,,07,11,11,07--,1990
95365,0,0,6,81,8,1000,,0,,10,21,21,10--,1990
95374,1164,52,20,81,8,1500,,187,,15,23,23,15--,1990
95387,1952,128,14,81,8,2000,,450,,20,33,33,20--,1990
95415,13900,458,18,81,8,4000,,3590,,40,48,48,40--,1990
95433,2985,125,29,81,8,5000,,695,,50,42,42,50--,1990
95468,8600,748,76,81,8,5200,,1964,,52,44,44,52--,1990
95512,0,0,20,81,8,6000,,0,,60,52,52,60--,1990
95527,4633,416,90,81,8,7000,,1103,,70,81,81,70--,1990
95593,0,0,17,81,8,9900,,0,,90,92,92,99--,1990
95594,63626,3918,513,83,8,0000,,13675,,00,00,00,----,1990
95595,249,20,6,83,8,0700,,46,,07,11,11,07--,1990
95599,2370,148,10,83,8,1000,,600,,10,21,21,10--,1990
95611,15039,506,51,83,8,1500,,2596,,15,23,23,15--,1990
95633,7020,418,36,83,8,2000,,1549,,20,33,33,20--,1990
95678,5312,250,32,83,8,4000,,1318,,40,48,48,40--,1990
95700,2564,179,30,83,8,5000,,750,,50,42,42,50--,1990
95732,15323,1337,137,83,8,5200,,3513,,52,44,44,52--,1990
95787,4045,213,33,83,8,6000,,910,,60,52,52,60--,1990
95809,11322,811,153,83,8,7000,,2327,,70,81,81,70--,1990
95889,382,36,25,83,8,9900,,66,,90,92,92,99--,1990
95890,94008,6247,754,85,8,0000,,22382,,00,00,00,----,1990
95891,300,32,9,85,8,0700,,69,,07,11,11,07--,1990
95897,4505,172,17,85,8,1000,,1302,,10,21,21,10--,1990
95915,6092,424,89,85,8,1500,,1246,,15,23,23,15--,1990
95938,13635,820,32,85,8,2000,,3359,,20,33,33,20--,1990
95996,16850,615,54,85,8,4000,,4230,,40,48,48,40--,1990
96025,6253,350,41,85,8,5000,,1390,,50,42,42,50--,1990
96069,19621,1804,177,85,8,5200,,4563,,52,44,44,52--,1990
96127,7181,344,53,85,8,6000,,1739,,60,52,52,60--,1990
96146,19300,1680,250,85,8,7000,,4470,,70,81,81,70--,1990
96259,271,6,32,85,8,9900,,14,,90,92,92,99--,1990
96260,84704,5837,557,87,8,0000,,20237,,00,00,00,----,1990
96261,514,35,9,87,8,0700,,105,,07,11,11,07--,1990
96266,2869,135,15,87,8,1000,,704,,10,21,21,10--,1990
96273,5930,292,47,87,8,1500,,1267,,15,23,23,15--,1990
96290,28911,1672,19,87,8,2000,,7190,,20,33,33,20--,1990
96320,4583,197,28,87,8,4000,,1186,,40,48,48,40--,1990
96337,7922,486,56,87,8,5000,,1790,,50,42,42,50--,1990
96372,11818,1232,149,87,8,5200,,2741,,52,44,44,52--,1990
96428,4140,214,40,87,8,6000,,984,,60,52,52,60--,1990
96447,17608,1552,169,87,8,7000,,4236,,70,81,81,70--,1990
96535,409,22,25,87,8,9900,,34,,90,92,92,99--,1990
96536,59794,4262,512,89,8,0000,,13994,,00,00,00,----,1990
96537,645,37,10,89,8,0700,,99,,07,11,11,07--,1990
96544,2049,157,33,89,8,1500,,506,,15,23,23,15--,1990
96561,9991,478,22,89,8,2000,,2108,,20,33,33,20--,1990
96596,6387,322,36,89,8,4000,,1625,,40,48,48,40--,1990
96614,6158,349,49,89,8,5000,,1367,,50,42,42,50--,1990
96655,11022,1236,142,89,8,5200,,2741,,52,44,44,52--,1990
96706,3718,227,38,89,8,6000,,830,,60,52,52,60--,1990
96722,19673,1437,159,89,8,7000,,4684,,70,81,81,70--,1990
96798,151,19,23,89,8,9900,,34,,90,92,92,99--,1990
96799,5931,448,123,91,8,0000,,1051,,00,00,00,----,1990
96800,0,0,1,91,8,0700,,0,,07,11,11,07--,1990
96803,0,0,3,91,8,1000,,0,,10,21,21,10--,1990
96808,975,62,16,91,8,1500,,202,,15,23,23,15--,1990
96821,0,0,9,91,8,2000,,0,,20,33,33,20--,1990
96839,0,0,2,91,8,4000,,0,,40,48,48,40--,1990
96845,2028,196,47,91,8,5200,,356,,52,44,44,52--,1990
96871,0,0,8,91,8,6000,,0,,60,52,52,60--,1990
96883,998,96,28,91,8,7000,,152,,70,81,81,70--,1990
96915,125,4,9,91,8,9900,,10,,90,92,92,99--,1990
96916,5883,383,120,93,8,0000,,1032,,00,00,00,----,1990
96917,0,0,1,93,8,0700,,0,,07,11,11,07--,1990
96920,0,0,4,93,8,1000,,0,,10,21,21,10--,1990
96926,679,53,22,93,8,1500,,127,,15,23,23,15--,1990
96940,323,43,12,93,8,2000,,69,,20,33,33,20--,1990
96967,267,11,6,93,8,4000,,62,,40,48,48,40--,1990
96976,496,12,5,93,8,5000,,82,,50,42,42,50--,1990
96988,1091,98,24,93,8,5200,,220,,52,44,44,52--,1990
97007,0,0,5,93,8,6000,,0,,60,52,52,60--,1990
97014,1482,128,40,93,8,7000,,273,,70,81,81,70--,1990
97053,0,0,1,93,8,9900,,0,,90,92,92,99--,1990
97054,9898,695,128,95,8,0000,,2212,,00,00,00,----,1990
97055,0,0,4,95,8,0700,,0,,07,11,11,07--,1990
97061,248,25,11,95,8,1500,,51,,15,23,23,15--,1990
97074,651,47,5,95,8,2000,,157,,20,33,33,20--,1990
97089,0,0,4,95,8,4000,,0,,40,48,48,40--,1990
97096,2967,141,15,95,8,5000,,636,,50,42,42,50--,1990
97111,1862,188,32,95,8,5200,,423,,52,44,44,52--,1990
97135,993,60,16,95,8,6000,,232,,60,52,52,60--,1990
97145,1167,162,33,95,8,7000,,269,,70,81,81,70--,1990
97180,38,2,8,95,8,9900,,3,,90,92,92,99--,1990
97181,208571,13429,1156,97,8,0000,,59760,,00,00,00,----,1990
97182,1168,39,17,97,8,0700,,105,,07,11,11,07--,1990
97188,28660,954,139,97,8,1500,,5837,,15,23,23,15--,1990
97209,5648,261,26,97,8,2000,,1352,,20,33,33,20--,1990
97250,10056,528,35,97,8,4000,,2687,,40,48,48,40--,1990
97277,3951,140,20,97,8,5000,,1107,,50,42,42,50--,1990
97296,51444,4710,346,97,8,5200,,17051,,52,44,44,52--,1990
97354,26890,1400,145,97,8,6000,,7048,,60,52,52,60--,1990
97379,79811,5367,373,97,8,7000,,24478,,70,81,81,70--,1990
97493,943,30,55,97,8,9900,,95,,90,92,92,99--,1990
97494,43461,3083,419,99,8,0000,,10461,,00,00,00,----,1990
97495,225,16,7,99,8,0700,,33,,07,11,11,07--,1990
97500,0,0,3,99,8,1000,,0,,10,21,21,10--,1990
97504,2421,153,34,99,8,1500,,484,,15,23,23,15--,1990
97522,12029,618,19,99,8,2000,,3061,,20,33,33,20--,1990
97557,3691,172,22,99,8,4000,,912,,40,48,48,40--,1990
97573,6014,373,46,99,8,5000,,1522,,50,42,42,50--,1990
97611,8311,874,115,99,8,5200,,1898,,52,44,44,52--,1990
97662,3749,232,37,99,8,6000,,973,,60,52,52,60--,1990
97677,6398,615,121,99,8,7000,,1475,,70,81,81,70--,1990
97752,0,0,15,99,8,9900,,0,,90,92,92,99--,1990
97753,573897,34095,2701,101,8,0000,,137001,,00,00,00,----,1990
97754,1902,165,30,101,8,0700,,365,,07,11,11,07--,1990
97761,287,14,6,101,8,1000,,64,,10,21,21,10--,1990
97775,34107,1602,236,101,8,1500,,6359,,15,23,23,15--,1990
97799,148949,5656,93,101,8,2000,,36332,,20,33,33,20--,1990
97906,30408,1415,90,101,8,4000,,8889,,40,48,48,40--,1990
97939,22694,1213,135,101,8,5000,,5289,,50,42,42,50--,1990
98001,101453,9482,835,101,8,5200,,23868,,52,44,44,52--,1990
98078,25997,1350,209,101,8,6000,,6488,,60,52,52,60--,1990
98110,207538,13155,1004,101,8,7000,,49285,,70,81,81,70--,1990
98252,562,43,63,101,8,9900,,62,,90,92,92,99--,1990
98253,49022,1840,168,103,8,0000,,11932,,00,00,00,----,1990
98254,0,0,1,103,8,0700,,0,,07,11,11,07--,1990
98257,36016,1029,21,103,8,1000,,9054,,10,21,21,10--,1990
98267,0,0,10,103,8,1500,,0,,15,23,23,15--,1990
98277,0,0,7,103,8,2000,,0,,20,33,33,20--,1990
98293,1567,52,12,103,8,4000,,384,,40,48,48,40--,1990
98306,0,0,9,103,8,5000,,0,,50,42,42,50--,1990
98323,2454,297,49,103,8,5200,,588,,52,44,44,52--,1990
98352,1052,61,12,103,8,6000,,248,,60,52,52,60--,1990
98361,3695,261,40,103,8,7000,,807,,70,81,81,70--,1990
98407,64,2,7,103,8,9900,,9,,90,92,92,99--,1990
98408,34244,2370,323,105,8,0000,,7787,,00,00,00,----,1990
98409,0,0,8,105,8,0700,,0,,07,11,11,07--,1990
98415,0,0,2,105,8,1000,,0,,10,21,21,10--,1990
98420,842,54,19,105,8,1500,,128,,15,23,23,15--,1990
98432,5233,269,17,105,8,2000,,1304,,20,33,33,20--,1990
98455,1814,78,9,105,8,4000,,365,,40,48,48,40--,1990
98469,9336,643,35,105,8,5000,,2080,,50,42,42,50--,1990
98494,5197,485,86,105,8,5200,,1142,,52,44,44,52--,1990
98541,2682,170,27,105,8,6000,,650,,60,52,52,60--,1990
98560,5731,538,111,105,8,7000,,1321,,70,81,81,70--,1990
98635,62,9,9,105,8,9900,,11,,90,92,92,99--,1990
98636,170851,9684,729,107,8,0000,,42766,,00,00,00,----,1990
98637,828,60,8,107,8,0700,,135,,07,11,11,07--,1990
98641,17897,366,10,107,8,1000,,4491,,10,21,21,10--,1990
98655,63449,1685,112,107,8,1500,,12533,,15,23,23,15--,1990
98678,1705,107,25,107,8,2000,,399,,20,33,33,20--,1990
98721,12372,480,29,107,8,4000,,3171,,40,48,48,40--,1990
98743,3667,149,24,107,8,5000,,891,,50,42,42,50--,1990
98771,23379,2598,205,107,8,5200,,7061,,52,44,44,52--,1990
98831,12818,1019,63,107,8,6000,,3888,,60,52,52,60--,1990
98847,33957,3169,216,107,8,7000,,10097,,70,81,81,70--,1990
98948,779,51,37,107,8,9900,,100,,90,92,92,99--,1990
98949,6733,397,88,109,8,0000,,1073,,00,00,00,----,1990
98950,644,23,8,109,8,0700,,96,,07,11,11,07--,1990
98956,0,0,12,109,8,1500,,0,,15,23,23,15--,1990
98968,0,0,4,109,8,2000,,0,,20,33,33,20--,1990
98978,0,0,1,109,8,4000,,0,,40,48,48,40--,1990
98981,2667,153,15,109,8,5000,,380,,50,42,42,50--,1990
98997,1111,92,18,109,8,5200,,256,,52,44,44,52--,1990
99018,0,0,8,109,8,6000,,0,,60,52,52,60--,1990
99028,0,0,14,109,8,7000,,0,,70,81,81,70--,1990
99054,57,2,8,109,8,9900,,1,,90,92,92,99--,1990
99055,1165,58,39,111,8,0000,,152,,00,00,00,----,1990
99056,0,0,2,111,8,1000,,0,,10,21,21,10--,1990
99063,0,0,3,111,8,1500,,0,,15,23,23,15--,1990
99069,0,0,2,111,8,2000,,0,,20,33,33,20--,1990
99074,690,36,26,111,8,5200,,64,,52,44,44,52--,1990
99093,0,0,5,111,8,7000,,0,,70,81,81,70--,1990
99103,0,0,1,111,8,9900,,0,,90,92,92,99--,1990
99104,25166,1517,271,113,8,0000,,5585,,00,00,00,----,1990
99105,0,0,5,113,8,0700,,0,,07,11,11,07--,1990
99110,1436,55,3,113,8,1000,,423,,10,21,21,10--,1990
99118,6532,232,55,113,8,1500,,1187,,15,23,23,15--,1990
99134,1582,64,10,113,8,2000,,321,,20,33,33,20--,1990
99154,645,77,15,113,8,4000,,209,,40,48,48,40--,1990
99175,0,0,1,113,8,5000,,0,,50,42,42,50--,1990
99179,4957,546,66,113,8,5200,,1230,,52,44,44,52--,1990
99215,3905,309,30,113,8,6000,,993,,60,52,52,60--,1990
99227,5211,214,67,113,8,7000,,1150,,70,81,81,70--,1990
99278,0,0,19,113,8,9900,,0,,90,92,92,99--,1990
99279,5028,444,93,115,8,0000,,1147,,00,00,00,----,1990
99280,0,0,1,115,8,0700,,0,,07,11,11,07--,1990
99283,0,0,1,115,8,1500,,0,,15,23,23,15--,1990
99287,363,35,4,115,8,2000,,81,,20,33,33,20--,1990
99297,286,12,5,115,8,4000,,60,,40,48,48,40--,1990
99305,954,55,12,115,8,5000,,234,,50,42,42,50--,1990
99320,1863,194,32,115,8,5200,,425,,52,44,44,52--,1990
99350,0,0,7,115,8,6000,,0,,60,52,52,60--,1990
99359,894,106,26,115,8,7000,,197,,70,81,81,70--,1990
99395,56,3,5,115,8,9900,,8,,90,92,92,99--,1990
99396,158317,13682,976,117,8,0000,,47318,,00,00,00,----,1990
99397,0,0,9,117,8,0700,,0,,07,11,11,07--,1990
99402,0,0,2,117,8,1000,,0,,10,21,21,10--,1990
99406,11203,375,105,117,8,1500,,1870,,15,23,23,15--,1990
99429,1841,103,17,117,8,2000,,396,,20,33,33,20--,1990
99454,7920,382,28,117,8,4000,,2102,,40,48,48,40--,1990
99481,1925,121,27,117,8,5000,,509,,50,42,42,50--,1990
99518,38407,4124,350,117,8,5200,,11654,,52,44,44,52--,1990
99576,13677,781,91,117,8,6000,,3672,,60,52,52,60--,1990
99590,80740,7708,289,117,8,7000,,26808,,70,81,81,70--,1990
99689,1011,49,58,117,8,9900,,73,,90,92,92,99--,1990
99690,17092,1348,304,119,8,0000,,3578,,00,00,00,----,1990
99691,107,14,4,119,8,0700,,18,,07,11,11,07--,1990
99696,1359,39,4,119,8,1000,,265,,10,21,21,10--,1990
99703,1043,90,30,119,8,1500,,224,,15,23,23,15--,1990
99726,801,48,13,119,8,2000,,172,,20,33,33,20--,1990
99748,1547,91,14,119,8,4000,,398,,40,48,48,40--,1990
99766,714,51,13,119,8,5000,,199,,50,42,42,50--,1990
99785,5412,575,93,119,8,5200,,1106,,52,44,44,52--,1990
99826,1920,106,24,119,8,6000,,430,,60,52,52,60--,1990
99838,3844,321,85,119,8,7000,,751,,70,81,81,70--,1990
99905,345,13,24,119,8,9900,,15,,90,92,92,99--,1990
99906,9853,653,108,121,8,0000,,2365,,00,00,00,----,1990
99907,0,0,2,121,8,0700,,0,,07,11,11,07--,1990
99910,0,0,1,121,8,1000,,0,,10,21,21,10--,1990
99914,253,20,11,121,8,1500,,50,,15,23,23,15--,1990
99924,759,43,6,121,8,2000,,175,,20,33,33,20--,1990
99941,0,0,6,121,8,4000,,0,,40,48,48,40--,1990
99950,2081,135,13,121,8,5000,,476,,50,42,42,50--,1990
99964,1898,196,32,121,8,5200,,421,,52,44,44,52--,1990
99990,1235,67,11,121,8,6000,,301,,60,52,52,60--,1990
100002,1148,102,22,121,8,7000,,344,,70,81,81,70--,1990
100033,20,2,4,121,8,9900,,1,,90,92,92,99--,1990
100034,774045,36008,2733,123,8,0000,,187378,,00,00,00,----,1990
100035,3796,254,57,123,8,0700,,673,,07,11,11,07--,1990
100042,9533,307,32,123,8,1000,,2191,,10,21,21,10--,1990
100056,121400,3275,256,123,8,1500,,23229,,15,23,23,15--,1990
100082,256049,9245,157,123,8,2000,,71316,,20,33,33,20--,1990
100213,37684,1945,159,123,8,4000,,8778,,40,48,48,40--,1990
100241,45302,2262,231,123,8,5000,,10468,,50,42,42,50--,1990
100309,78338,7463,645,123,8,5200,,18113,,52,44,44,52--,1990
100385,88720,3323,215,123,8,6000,,21391,,60,52,52,60--,1990
100419,131993,7836,863,123,8,7000,,31030,,70,81,81,70--,1990
100562,1230,98,118,123,8,9900,,189,,90,92,92,99--,1990
100563,21097,1596,306,125,8,0000,,4925,,00,00,00,----,1990
100564,0,0,15,125,8,0700,,0,,07,11,11,07--,1990
100570,0,0,3,125,8,1000,,0,,10,21,21,10--,1990
100573,1004,68,23,125,8,1500,,254,,15,23,23,15--,1990
100589,1340,99,12,125,8,2000,,350,,20,33,33,20--,1990
100613,1748,71,14,125,8,4000,,448,,40,48,48,40--,1990
100623,4885,284,35,125,8,5000,,1074,,50,42,42,50--,1990
100646,4405,461,80,125,8,5200,,1044,,52,44,44,52--,1990
100694,1846,93,19,125,8,6000,,441,,60,52,52,60--,1990
100710,3849,386,89,125,8,7000,,891,,70,81,81,70--,1990
100768,341,52,16,125,8,9900,,58,,90,92,92,99--,1990
100769,108778,3017,114,999,8,0000,,26827,,00,00,00,----,1990
100770,0,0,1,999,8,0700,,0,,07,11,11,07--,1990
100773,0,0,78,999,8,1000,,0,,10,21,21,10--,1990
100782,0,0,2,999,8,1500,,0,,15,23,23,15--,1990
100785,0,0,12,999,8,4000,,0,,40,48,48,40--,1990
100794,0,0,10,999,8,5000,,0,,50,42,42,50--,1990
100808,0,0,6,999,8,6000,,0,,60,52,52,60--,1990
100814,0,0,3,999,8,7000,,0,,70,81,81,70--,1990
100820,0,0,2,999,8,9900,,0,,90,92,92,99--,1990
84930,1854033,84324,5900,1,8,0000,,440004,,00,00,00,----,1991
84931,8845,459,93,1,8,0700,,1700,,07,11,11,07--,1991
84939,16787,399,43,1,8,1000,,3475,,10,21,21,10--,1991
84959,175662,6406,667,1,8,1500,,36816,,15,23,23,15--,1991
84987,369189,13010,414,1,8,2000,,93984,,20,33,33,20--,1991
85226,348443,12292,325,1,8,4000,,83598,,40,48,48,40--,1991
85267,292893,11106,674,1,8,5000,,70276,,50,42,42,50--,1991
85353,270715,19963,1330,1,8,5200,,64004,,52,44,44,52--,1991
85429,60266,3012,420,1,8,6000,,15598,,60,52,52,60--,1991
85462,308098,17573,1806,1,8,7000,,70231,,70,81,81,70--,1991
85626,3135,104,128,1,8,9900,,322,,90,92,92,99--,1991
85627,53403,3555,406,3,8,0000,,12082,,00,00,00,----,1991
85628,153,11,5,3,8,0700,,26,,07,11,11,07--,1991
85633,0,0,3,3,8,1000,,0,,10,21,21,10--,1991
85642,4398,194,39,3,8,1500,,829,,15,23,23,15--,1991
85659,0,0,12,3,8,2000,,0,,20,33,33,20--,1991
85679,4147,251,23,3,8,4000,,989,,40,48,48,40--,1991
85699,4561,311,38,3,8,5000,,1024,,50,42,42,50--,1991
85737,13501,1291,123,3,8,5200,,3214,,52,44,44,52--,1991
85787,3058,177,31,3,8,6000,,776,,60,52,52,60--,1991
85800,17313,1029,129,3,8,7000,,3775,,70,81,81,70--,1991
85891,10,1,3,3,8,9900,,1,,90,92,92,99--,1991
85892,4155285,165104,12452,5,8,0000,,1015385,,00,00,00,----,1991
85893,21802,1136,187,5,8,0700,,3712,,07,11,11,07--,1991
85900,110482,2374,153,5,8,1000,,29003,,10,21,21,10--,1991
85924,234800,8244,943,5,8,1500,,49871,,15,23,23,15--,1991
85952,455685,15876,501,5,8,2000,,116813,,20,33,33,20--,1991
86176,298726,8688,460,5,8,4000,,93347,,40,48,48,40--,1991
86219,493691,12755,1016,5,8,5000,,123210,,50,42,42,50--,1991
86306,556632,40637,2555,5,8,5200,,133381,,52,44,44,52--,1991
86386,613511,20298,1531,5,8,6000,,143545,,60,52,52,60--,1991
86431,1361642,54898,4785,5,8,7000,,321766,,70,81,81,70--,1991
86604,8314,198,321,5,8,9900,,737,,90,92,92,99--,1991
86605,17999,1236,218,7,8,0000,,3557,,00,00,00,----,1991
86606,0,0,4,7,8,0700,,0,,07,11,11,07--,1991
86610,0,0,1,7,8,1000,,0,,10,21,21,10--,1991
86613,1298,86,25,7,8,1500,,172,,15,23,23,15--,1991
86627,0,0,13,7,8,2000,,0,,20,33,33,20--,1991
86649,0,0,9,7,8,4000,,0,,40,48,48,40--,1991
86665,0,0,4,7,8,5000,,0,,50,42,42,50--,1991
86674,3839,333,69,7,8,5200,,795,,52,44,44,52--,1991
86714,4182,250,26,7,8,6000,,879,,60,52,52,60--,1991
86730,4743,396,58,7,8,7000,,916,,70,81,81,70--,1991
86783,0,0,9,7,8,9900,,0,,90,92,92,99--,1991
86784,4633,375,110,9,8,0000,,1072,,00,00,00,----,1991
86785,0,0,5,9,8,0700,,0,,07,11,11,07--,1991
86790,114,12,8,9,8,1500,,23,,15,23,23,15--,1991
86801,0,0,2,9,8,2000,,0,,20,33,33,20--,1991
86806,250,14,8,9,8,4000,,66,,40,48,48,40--,1991
86815,1033,58,14,9,8,5000,,243,,50,42,42,50--,1991
86829,1848,176,33,9,8,5200,,436,,52,44,44,52--,1991
86853,646,36,12,9,8,6000,,150,,60,52,52,60--,1991
86866,431,56,25,9,8,7000,,90,,70,81,81,70--,1991
86901,0,0,3,9,8,9900,,0,,90,92,92,99--,1991
86902,17943,991,82,11,8,0000,,4269,,00,00,00,----,1991
86903,0,0,2,11,8,0700,,0,,07,11,11,07--,1991
86906,0,0,7,11,8,1500,,0,,15,23,23,15--,1991
86916,0,0,3,11,8,2000,,0,,20,33,33,20--,1991
86920,720,58,10,11,8,4000,,170,,40,48,48,40--,1991
86928,0,0,4,11,8,5000,,0,,50,42,42,50--,1991
86939,1000,108,21,11,8,5200,,242,,52,44,44,52--,1991
86957,0,0,7,11,8,6000,,0,,60,52,52,60--,1991
86968,0,0,27,11,8,7000,,0,,70,81,81,70--,1991
87001,0,0,1,11,8,9900,,0,,90,92,92,99--,1991
87002,2459381,98469,7687,13,8,0000,,548308,,00,00,00,----,1991
87003,9497,489,122,13,8,0700,,1630,,07,11,11,07--,1991
87012,5156,192,30,13,8,1000,,1189,,10,21,21,10--,1991
87039,105795,4418,679,13,8,1500,,22007,,15,23,23,15--,1991
87065,1039882,27428,658,13,8,2000,,225420,,20,33,33,20--,1991
87317,75083,2507,218,13,8,4000,,13923,,40,48,48,40--,1991
87358,168063,5392,483,13,8,5000,,41124,,50,42,42,50--,1991
87444,265659,22318,1632,13,8,5200,,61144,,52,44,44,52--,1991
87521,99689,4453,672,13,8,6000,,22336,,60,52,52,60--,1991
87558,685718,31069,2981,13,8,7000,,159022,,70,81,81,70--,1991
87723,4839,203,212,13,8,9900,,513,,90,92,92,99--,1991
87724,34842,2685,420,15,8,0000,,7663,,00,00,00,----,1991
87725,83,10,4,15,8,0700,,13,,07,11,11,07--,1991
87729,72,2,3,15,8,1000,,10,,10,21,21,10--,1991
87736,4032,176,39,15,8,1500,,607,,15,23,23,15--,1991
87752,2961,207,21,15,8,2000,,621,,20,33,33,20--,1991
87796,2514,129,24,15,8,4000,,607,,40,48,48,40--,1991
87818,1428,88,19,15,8,5000,,289,,50,42,42,50--,1991
87846,10353,884,127,15,8,5200,,2316,,52,44,44,52--,1991
87893,2991,137,32,15,8,6000,,547,,60,52,52,60--,1991
87907,10375,1051,145,15,8,7000,,2650,,70,81,81,70--,1991
87979,33,1,6,15,8,9900,,3,,90,92,92,99--,1991
87980,5232,327,67,17,8,0000,,1183,,00,00,00,----,1991
87981,0,0,2,17,8,0700,,0,,07,11,11,07--,1991
87985,0,0,2,17,8,1000,,0,,10,21,21,10--,1991
87989,0,0,5,17,8,1500,,0,,15,23,23,15--,1991
87995,0,0,2,17,8,2000,,0,,20,33,33,20--,1991
88001,372,23,8,17,8,4000,,89,,40,48,48,40--,1991
88009,0,0,7,17,8,5000,,0,,50,42,42,50--,1991
88020,760,92,21,17,8,5200,,171,,52,44,44,52--,1991
88039,1180,57,6,17,8,6000,,258,,60,52,52,60--,1991
88046,698,59,13,17,8,7000,,144,,70,81,81,70--,1991
88066,0,0,1,17,8,9900,,0,,90,92,92,99--,1991
88067,42558,2104,187,19,8,0000,,10571,,00,00,00,----,1991
88068,0,0,2,19,8,0700,,0,,07,11,11,07--,1991
88072,0,0,3,19,8,1000,,0,,10,21,21,10--,1991
88080,0,0,5,19,8,1500,,0,,15,23,23,15--,1991
88087,0,0,8,19,8,2000,,0,,20,33,33,20--,1991
88105,0,0,9,19,8,4000,,0,,40,48,48,40--,1991
88118,0,0,11,19,8,5000,,0,,50,42,42,50--,1991
88138,5743,555,76,19,8,5200,,1314,,52,44,44,52--,1991
88165,958,51,17,19,8,6000,,201,,60,52,52,60--,1991
