,ap,emp,est,fipscty,fipstate,ind_code,naics,qp1,s_NAICS,s_SIC,s_n02,s_n07,sic,year
81320,0,0,2,15,8,1000,,0,,10,21,21,10--,1986
81326,7975,275,47,15,8,1500,,1362,,15,23,23,15--,1986
81341,1305,91,14,15,8,1900,,241,,20,33,33,19--,1986
81370,1773,99,17,15,8,4000,,426,,40,48,48,40--,1986
81388,1054,106,16,15,8,5000,,275,,50,42,42,50--,1986
81407,8909,948,141,15,8,5200,,2032,,52,44,44,52--,1986
81461,2715,184,31,15,8,6000,,636,,60,52,52,60--,1986
81476,7495,1038,139,15,8,7000,,2027,,70,81,81,70--,1986
81541,648,71,40,15,8,9900,,201,,90,92,92,99--,1986
81542,4105,352,58,17,8,0000,,997,,00,00,00,----,1986
81543,0,0,1,17,8,0700,,0,,07,11,11,07--,1986
81546,0,0,2,17,8,1000,,0,,10,21,21,10--,1986
81550,286,27,5,17,8,1500,,86,,15,23,23,15--,1986
81558,0,0,1,17,8,1900,,0,,20,33,33,19--,1986
81561,0,0,3,17,8,4000,,0,,40,48,48,40--,1986
81568,1057,48,4,17,8,5000,,239,,50,42,42,50--,1986
81577,385,75,16,17,8,5200,,112,,52,44,44,52--,1986
81594,874,64,4,17,8,6000,,195,,60,52,52,60--,1986
81601,820,87,17,17,8,7000,,186,,70,81,81,70--,1986
81626,107,18,5,17,8,9900,,24,,90,92,92,99--,1986
81627,40349,2122,180,19,8,0000,,10967,,00,00,00,----,1986
81628,0,0,3,19,8,0700,,0,,07,11,11,07--,1986
81632,0,0,1,19,8,1000,,0,,10,21,21,10--,1986
81635,256,17,11,19,8,1500,,48,,15,23,23,15--,1986
81645,526,31,6,19,8,1900,,169,,20,33,33,19--,1986
81661,581,30,9,19,8,4000,,130,,40,48,48,40--,1986
81673,929,43,8,19,8,5000,,274,,50,42,42,50--,1986
81688,0,0,66,19,8,5200,,0,,52,44,44,52--,1986
81715,639,44,10,19,8,6000,,158,,60,52,52,60--,1986
81726,6237,565,43,19,8,7000,,1831,,70,81,81,70--,1986
81769,731,55,23,19,8,9900,,149,,90,92,92,99--,1986
81770,5698,540,90,21,8,0000,,1402,,00,00,00,----,1986
81771,0,0,1,21,8,0700,,0,,07,11,11,07--,1986
81774,0,0,1,21,8,1000,,0,,10,21,21,10--,1986
81778,73,9,6,21,8,1500,,21,,15,23,23,15--,1986
81786,975,60,6,21,8,1900,,209,,20,33,33,19--,1986
81797,0,0,3,21,8,4000,,0,,40,48,48,40--,1986
81800,969,113,5,21,8,5000,,242,,50,42,42,50--,1986
81806,875,93,25,21,8,5200,,201,,52,44,44,52--,1986
81828,0,0,5,21,8,6000,,0,,60,52,52,60--,1986
81838,960,139,27,21,8,7000,,271,,70,81,81,70--,1986
81865,91,18,11,21,8,9900,,24,,90,92,92,99--,1986
81866,2748,260,29,23,8,0000,,690,,00,00,00,----,1986
81867,0,0,2,23,8,1000,,0,,10,21,21,10--,1986
81873,0,0,2,23,8,1500,,0,,15,23,23,15--,1986
81879,0,0,3,23,8,5000,,0,,50,42,42,50--,1986
81884,286,67,8,23,8,5200,,78,,52,44,44,52--,1986
81896,0,0,1,23,8,6000,,0,,60,52,52,60--,1986
81899,264,27,9,23,8,7000,,53,,70,81,81,70--,1986
81915,36,4,4,23,8,9900,,11,,90,92,92,99--,1986
81916,1887,208,41,25,8,0000,,457,,00,00,00,----,1986
81917,206,27,5,25,8,1500,,69,,15,23,23,15--,1986
81926,0,0,1,25,8,1900,,0,,20,33,33,19--,1986
81930,270,26,10,25,8,4000,,63,,40,48,48,40--,1986
81938,0,0,2,25,8,5000,,0,,50,42,42,50--,1986
81944,260,40,8,25,8,5200,,62,,52,44,44,52--,1986
81958,0,0,2,25,8,6000,,0,,60,52,52,60--,1986
81963,621,75,9,25,8,7000,,140,,70,81,81,70--,1986
81978,23,4,4,25,8,9900,,4,,90,92,92,99--,1986
81979,1646,204,56,27,8,0000,,417,,00,00,00,----,1986
81980,0,0,4,27,8,1500,,0,,15,23,23,15--,1986
81986,0,0,4,27,8,1900,,0,,20,33,33,19--,1986
81993,0,0,3,27,8,4000,,0,,40,48,48,40--,1986
82000,0,0,2,27,8,5000,,0,,50,42,42,50--,1986
82006,308,45,21,27,8,5200,,71,,52,44,44,52--,1986
82027,0,0,7,27,8,6000,,0,,60,52,52,60--,1986
82037,400,51,8,27,8,7000,,90,,70,81,81,70--,1986
82054,75,27,7,27,8,9900,,39,,90,92,92,99--,1986
82055,36514,2963,462,29,8,0000,,9371,,00,00,00,----,1986
82056,1101,97,13,29,8,0700,,202,,07,11,11,07--,1986
82063,0,0,5,29,8,1000,,0,,10,21,21,10--,1986
82075,1876,127,41,29,8,1500,,426,,15,23,23,15--,1986
82093,6407,444,25,29,8,1900,,1707,,20,33,33,19--,1986
82139,4658,222,23,29,8,4000,,1180,,40,48,48,40--,1986
82164,1924,199,22,29,8,5000,,452,,50,42,42,50--,1986
82184,7857,803,142,29,8,5200,,1862,,52,44,44,52--,1986
82237,3490,232,36,29,8,6000,,876,,60,52,52,60--,1986
82258,5409,649,118,29,8,7000,,1341,,70,81,81,70--,1986
82322,0,0,37,29,8,9900,,0,,90,92,92,99--,1986
82323,7597618,349966,20126,31,8,0000,,1934733,,00,00,00,----,1986
82324,16195,1031,111,31,8,0700,,3428,,07,11,11,07--,1986
82331,397033,11420,535,31,8,1000,,118411,,10,21,21,10--,1986
82356,377573,14821,1056,31,8,1500,,91692,,15,23,23,15--,1986
82386,959783,39347,1109,31,8,1900,,244517,,20,33,33,19--,1986
