FNAME,AUDIT_YEAR,dist_clust,pcap,pcrev,vac_rate,intensity_stock,prop_ratio,pcintgov,pop_growth,gsp,EXP_TOTAL,cty_exp_prop,SL_EXP_TOTAL,SL_pop_growth,SL_vac_rate,exp_intensity,dist_clust_bf,dist_clust_pca,pcap_q,dc_diff,dc_diff_bf,dc_diff_pca
San Juan,2002,0.5092204473229907,4834.813499111901,5345.363711041362,55.38,0.0,0.35936710651282155,3001.9859908356425,0.005357142857142838,204515,3279666.845469705,0.7490846949891068,57412913.20872708,0.017190473984785015,21.036666666666665,0.0,0.32826036591658264,0.30067006498877086,2,-0.17407535846909494,-0.151533035182889,-0.18025988218482458
San Juan,2003,0.3351450888538957,10701.754385964912,4280.855935354692,55.12,0.0,0.3245580515312842,2518.164144736842,0.01243339253996445,205386,2387438.625,0.542253779688093,63328588.11005435,0.013564556917815345,21.111666666666665,0.0,0.17672733073369365,0.12041018280394629,4,-0.11444963571587805,-0.05143117178016529,-0.0518445322476654
San Juan,2004,0.22069545313801767,14250.0,4180.702118625375,55.04,0.0,0.3460942336821337,2446.7411659608256,0.010526315789473715,209357,2130259.79618846,0.4833190491730072,58558228.799629435,0.01426639225845072,21.674999999999997,0.0,0.12529615895352836,0.06856565055628089,5,0.21271101374701087,0.03907950968094326,0.05653802692889923
San Juan,2005,0.43340646688502854,10105.90277777778,3794.6868466248507,55.52,0.0,0.30544180795607073,1856.3217245903736,0.0,217329,2505020.622119816,0.5721583924942929,59120445.884536594,-0.0009147962466339674,22.701666666666664,0.0,0.16437566863447162,0.12510367748518011,4,-0.02372083660922375,-0.0034270735469547065,-0.0025817427077294147
San Juan,2006,0.4096856302758048,8923.599320882851,4033.3422265340773,55.14,0.0,0.32190909886802377,1966.9797982860373,0.02256944444444442,223154,2448694.1220238097,0.5625501091809798,60982205.4749504,0.013783371807489952,23.049999999999997,0.0,0.1609485950875169,0.1225219347774507,4,0.1368361930263468,0.08339702121458942,0.08735259360199189
San Juan,2007,0.5465218233021516,11642.732049036775,5210.402510638405,54.79,0.0,0.3212125585012182,2906.3672410603167,-0.03056027164685904,228087,2883574.305354558,0.6641786693147965,62247266.226483345,0.013251708529714376,23.64833333333333,0.0,0.24434561630210633,0.2098745283794426,5,-0.027283106223809694,-0.03315405430293708,-0.03083740348144018
San Juan,2008,0.5192387170783419,11493.127147766323,4034.579764031009,54.29,0.0,0.3259220077891004,1599.4830157871302,0.01926444833625229,230987,2664703.7111007897,0.6219229874901177,64426468.96771945,-0.0063014541976193685,23.665000000000003,0.0,0.21119156199916925,0.17903712489800241,4,-0.03173911515496225,0.035286371807909,0.008239302553902872
San Juan,2009,0.48749960192337966,8689.95633187773,4673.521106259098,55.45,0.0,0.33387683224497844,2587.3056768558954,0.18041237113402064,225984,2839636.0,0.6445856190555458,65160164.49999999,0.008853901067180536,23.16833333333333,0.0,0.24647793380707825,0.1872764274519053,4,,,
San Miguel,1993,0.1555170033665566,9364.255319148935,1945.111519546492,38.5,0.0,0.5718037003102345,664.3227497607304,0.29227385207588674,103457,8842873.089965401,0.21748654647944915,39666205.587081894,0.051544662897029796,12.744444444444444,0.0,0.23549732465938694,0.20595255484437686,4,0.006467315614931773,-0.017439406803279045,-0.016730006112592732
San Miguel,1994,0.16198431898148838,9737.16429699842,2275.1899891909875,37.9,0.04556827140489944,0.5983975832385627,728.2726885341318,0.07744680851063834,110529,9921067.894736843,0.2268053285333298,45188926.47660819,0.05541782378867707,12.266666666666667,452085.9144538028,0.2180579178561079,0.18922254873178412,4,0.02860769768072005,0.043180660549245575,0.03164981572510514
