,NAME_x,AUDIT_YEAR,LGTYPE_ID,LG_ID,REV_TOTAL,REV_TOTAL_TAX,REV_PROPERTY_TAX,REV_SO_TAX,REV_SALES_USE_TAX,REV_OCCUPATION_TAX,REV_FRANCHISE_TAX,REV_OTHER_TAX,REV_LODGING_TAX,REV_REAL_ESTATE_TRANSFER_TAX,REV_UNCLASS_TAX,REV_LICENSES,REV_CHARGES,REV_FINES,REV_TRANSFER_IN,REV_INTGOVT,REV_HUT,REV_CIGARETTE_TAX,REV_MOTOR_VEH_FEE,REV_CTF,REV_SOCIAL_SERVICE,ALL_OTHER_INTGOVT,REV_MISC,REV_INTEREST,EXP_TOTAL,EXP_TOTAL_OPERATING,EXP_GEN_GOVT,EXP_JUDICIAL,EXP_TOTAL_PUBLIC_SAFETY,EXP_POLICE,EXP_FIRE,EXP_OTHER_PUBLIC_SAFETY,EXP_TOTAL_PUBLIC_WORKS,EXP_STREET,EXP_TRASH,EXP_OTHER_PUBLIC_WORKS,EXP_HEALTH,EXP_RECREATION,EXP_SOCIAL_SERVICE,EXP_MISC,EXP_TRANSFER_OUT,EXP_CAPITAL_OUTLAY,EXP_DEBT_SERVICE_GEN,EXP_PRINCIPAL_GEN,EXP_INTEREST_GEN,GO_DEBT_GEN,REVENUE_DEBT_GEN,OTHER_DEBT_GEN,ASSETS,LIABILITIES,POPULATION,RETAIL_SALES,ST_SALES_TAX_PAID,SALES_TAX_RATE,DFL,CTY_POP,LGID,FNAME,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME_y,NAMELSAD,STATEFP,sorting_id
170,Baca County,2005,1,5492.649769585253,6982575.775729646,1484951.7588325653,1287742.4577572963,188586.46697388633,0.0,0.0,0.0,8622.834101382488,0.0,0.0,0.0,3860.5606758832564,271987.75729646697,0.0,0.0,5078810.844854071,2020287.9646697387,705.1152073732718,15033.671274961596,9379.569892473117,1109499.877112135,1923904.6466973885,142964.8540706605,78115.12288786483,6806317.841781873,5124453.3256528415,1032488.5560675883,65437.327188940086,444981.5130568356,371880.17665130564,11257.680491551459,61843.65591397849,2040363.9784946234,2040363.9784946234,0.0,0.0,200407.58064516127,144102.7035330261,1141744.0706605222,54927.59600614439,0.0,1485048.4101382487,196816.1059907834,189616.68202764975,7199.42396313364,0.0,0.0,90474.40860215054,4808765.998463902,661636.3978494623,4682.096774193548,50217742.734254986,451982.14285714284,0.0,1.0,4263,5001,Baca,6617316468.0,6142193.0,NA,H1,009,00198120,NA,A,08009,37.3066778,-102.5377653,06,NA,G4020,Baca,Baca County,08,2227
171,Baca County,2006,1,5321.004464285715,6316551.525297619,1578500.818452381,1350600.9523809524,219918.89136904763,0.0,0.0,0.0,7980.974702380952,0.0,0.0,0.0,2201.3913690476193,252039.62797619047,0.0,0.0,4322924.047619048,2189341.7038690476,468.1547619047619,13912.708333333334,10806.927083333334,931551.369047619,1176843.1845238095,160885.6398809524,129013.87648809524,6449085.074404762,5246149.709821429,1022530.8630952381,65554.43452380953,462328.3630952381,395388.6160714286,10905.877976190477,56033.869047619046,2193312.507440476,2193312.507440476,0.0,0.0,228502.08333333334,153168.53422619047,1060610.9970238095,60141.927083333336,0.0,1108852.2172619049,94083.14732142858,87647.08333333334,6436.0639880952385,0.0,0.0,0.0,4236685.68452381,284879.6205357143,4535.78125,58566521.40625,495326.88988095237,0.0,1.0,4263,5001,Baca,6617316468.0,6142193.0,NA,H1,009,00198120,NA,A,08009,37.3066778,-102.5377653,06,NA,G4020,Baca,Baca County,08,2227
172,Baca County,2007,1,5174.6960926193915,6369094.797395079,1623595.3039073804,1396930.991316932,219358.06801736614,0.0,0.0,0.0,7306.244573082488,0.0,0.0,0.0,7869.138929088277,259224.23299565844,4102.7134587554265,0.0,4056580.955137482,2240800.6874095513,1025.4196816208394,13649.153400868307,9583.69030390738,1045408.6396526772,746113.3646888566,417722.45296671486,174147.510853835,6154669.298118669,5670629.819102749,1052719.023154848,66666.76555716353,485731.2662807525,403714.24746743846,10606.005788712011,71411.01302460203,2201092.8364688857,2201092.8364688857,0.0,0.0,182098.3936324168,167070.97684515195,1082632.0984081042,432618.4587554269,0.0,484039.4790159189,0.0,0.0,0.0,0.0,0.0,0.0,4108229.616497829,75365.75976845152,4411.063675832127,60646756.31693198,513392.7641099855,0.0,1.0,4263,5001,Baca,6617316468.0,6142193.0,NA,H1,009,00198120,NA,A,08009,37.3066778,-102.5377653,06,NA,G4020,Baca,Baca County,08,2227
173,Baca County,2008,1,4982.417556897352,5984536.052020436,1660291.7696237809,1427543.8272178355,226329.87923827217,0.0,0.0,0.0,6418.0631676730145,0.0,0.0,0.0,5885.051091500232,286570.20668834186,20730.682768230377,0.0,3855550.3251277287,2022166.1216906642,588.8039944263818,13160.915002322341,9133.934045517883,1051634.8188574084,758865.7315373897,155508.01672085462,96744.18253599628,6006238.111936832,5553848.346493266,1227669.280074315,67290.0348351138,563618.9247561542,452023.1328379006,10211.913608917788,101383.8783093358,2200324.6609382257,2200324.6609382257,0.0,0.0,162563.7018114259,128490.780306549,1133735.6154203436,70155.34835113795,0.0,452389.7654435671,0.0,0.0,0.0,0.0,0.0,0.0,4355783.653042266,327371.03576405015,4089.7468648397585,67815709.27775197,464840.32977241057,0.0,1.0,4105,5001,Baca,6617316468.0,6142193.0,NA,H1,009,00198120,NA,A,08009,37.3066778,-102.5377653,06,NA,G4020,Baca,Baca County,08,2227
174,Baca County,2009,1,5001.0,7369297.0,1739377.0,1502352.0,229150.0,0.0,0.0,0.0,7875.0,0.0,0.0,0.0,502437.0,304296.0,11624.0,0.0,4660898.0,2002819.0,279.0,13587.0,8337.0,1003013.0,1632863.0,150665.0,56199.0,7535009.0,5542222.0,1208146.0,72129.0,641115.0,502680.0,46500.0,91935.0,2114973.0,2114973.0,0.0,0.0,181799.0,180303.0,1077445.0,66312.0,0.0,1992787.0,0.0,0.0,0.0,0.0,0.0,0.0,4064859.0,311400.0,4032.0,52595215.0,447949.0,0.0,1.0,4032,5001,Baca,6617316468.0,6142193.0,NA,H1,009,00198120,NA,A,08009,37.3066778,-102.5377653,06,NA,G4020,Baca,Baca County,08,2227
175,Bent County,1975,1,23925.920074349444,6065804.832713756,2296106.8773234203,1795739.7769516732,155093.86617100373,338096.654275093,0.0,0.0,7176.579925650559,0.0,0.0,0.0,0.0,244801.1152416357,0.0,0.0,3321560.4089219337,938138.4758364314,8372.676579925652,41464.6840148699,0.0,1520238.8475836434,813345.7249070633,203336.43122676582,126957.68587360597,5709766.728624536,3609022.304832714,820123.6059479555,50634.75836431228,269121.74721189594,167453.53159851304,0.0,101668.21561338291,242807.6208178439,242807.6208178439,0.0,0.0,146322.49070631972,177421.00371747214,1893421.0037174723,9170.07434944238,402685.873605948,1698058.5501858739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25265.54832713755,57651.85873605949,1068162.1561338292,3.9869888475836435,1.0,6337,6001,Bent,3918307819.0,73093700.0,NA,H1,011,00198121,NA,A,08011,37.9318907,-103.0775841,06,NA,G4020,Bent,Bent County,08,2246
176,Bent County,1976,1,22622.398945518456,5930604.569420036,2069981.5465729353,1871691.5641476277,165492.97012302288,0.0,0.0,0.0,32797.01230228471,0.0,0.0,0.0,0.0,260491.21265377858,0.0,0.0,3341902.460456942,886273.2864674869,6785.588752196837,39959.578207381375,0.0,1482274.1652021091,926609.8418277681,258229.34973637963,154387.22319859403,5340635.325131811,4571978.910369069,855361.1599297014,49384.007029876986,276701.23022847105,159084.35852372585,0.0,117616.87170474518,1283984.1827768015,1279460.4569420037,4523.725834797891,0.0,176048.33040421794,142874.34094903342,1778578.207381371,9047.451669595783,111962.21441124781,656694.2003514939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23542.223198594027,60904.42882249561,1145984.1564147628,3.769771528998243,1.0,6245,6001,Bent,3918307819.0,73093700.0,NA,H1,011,00198121,NA,A,08011,37.9318907,-103.0775841,06,NA,G4020,Bent,Bent County,08,2246
177,Bent County,1977,1,21241.16336633663,5722477.722772277,2197386.138613861,1663613.8613861385,168485.14851485146,365287.1287128712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292371.28712871287,0.0,0.0,3006539.603960396,929499.9999999999,6017.326732673267,38935.64356435643,0.0,1358146.0396039602,673940.5940594058,226180.6930693069,179358.8118811881,5507977.722772277,4496004.950495049,809507.4257425742,50262.37623762376,293433.16831683164,170254.9504950495,0.0,123178.21782178216,1272841.5841584157,1258683.1683168316,14158.415841584158,0.0,171670.7920792079,178396.03960396038,1683789.6039603958,36103.9603960396,470767.3267326732,541205.4455445544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21694.232673267325,56661.980198019795,1074545.8910891088,3.539603960396039,1.0,6129,6001,Bent,3918307819.0,73093700.0,NA,H1,011,00198121,NA,A,08011,37.9318907,-103.0775841,06,NA,G4020,Bent,Bent County,08,2246
178,Bent County,1978,1,19742.553680981593,5510215.490797546,2164081.288343558,1618290.644171779,176666.4110429448,359912.5766871165,0.0,0.0,9211.65644171779,0.0,0.0,0.0,657.9754601226994,275691.71779141104,0.0,0.0,2812516.1042944784,985976.226993865,4934.815950920245,39149.53987730061,0.0,1122835.1226993864,659620.3987730062,257268.40490797546,154018.89570552146,5274660.27607362,4658137.269938651,1008347.3926380367,58559.815950920245,298391.87116564414,181272.23926380367,6579.754601226994,110539.87730061349,1341611.963190184,1341611.963190184,0.0,0.0,247069.7852760736,173376.5337423313,1456757.6687116565,74022.23926380368,478019.17177914106,138503.8343558282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19367.507668711656,56312.829754601225,1102987.2929447852,3.289877300613497,1.0,5887,6001,Bent,3918307819.0,73093700.0,NA,H1,011,00198121,NA,A,08011,37.9318907,-103.0775841,06,NA,G4020,Bent,Bent County,08,2246
179,Bent County,1979,1,17730.227272727276,5342113.636363637,2068772.7272727275,1545522.7272727275,170181.8181818182,344204.54545454547,0.0,0.0,8863.636363636364,0.0,0.0,0.0,2363.636363636364,258522.7272727273,0.0,0.0,2711090.909090909,914727.2727272728,6204.545454545455,36045.45454545455,0.0,1067181.8181818184,686931.8181818182,301363.6363636364,183034.09090909094,5075613.636363637,4363863.636363637,906159.090909091,58795.45454545455,297227.27272727276,174613.63636363638,15659.09090909091,106954.54545454547,1293795.4545454546,1293795.4545454546,0.0,0.0,256454.54545454547,184068.18181818185,1319204.5454545456,48159.09090909091,570522.7272727273,141227.27272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.909090909092,52301.36363636364,986002.7272727274,2.954545454545455,1.0,6008,6001,Bent,3918307819.0,73093700.0,NA,H1,011,00198121,NA,A,08011,37.9318907,-103.0775841,06,NA,G4020,Bent,Bent County,08,2246
