,Unnamed: 0,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,sort_id,index,FNAME,AUDIT_YEAR,REV_TOTAL,REV_INTGOVT,EXP_TOTAL,TOTAL_DEBT,CTY_POP,intensity,pcrev,pcexp,pcintgov,pcdebt,pc_ap,w_rook_i,w_queen_i,w_db_b_i,w_db_c_i,w_kern_i,w_rook_i_ap,w_queen_i_ap,w_db_b_i_ap,w_db_c_i_ap,w_kern_i_ap,w_rook_g,w_queen_g,w_db_b_g,w_db_c_g,w_kern_g,w_rook_g_ap,w_queen_g_ap,w_db_b_g_ap,w_db_c_g_ap,w_kern_g_ap,fipsc,fipscty,year_x,ap,pcap,pcap_mean,pcap_rel,gsp,pcap_rel2,LG_ID,REV_CTF,EXP_DEBT_SERVICE_GEN,EXP_TRANSFER_OUT,ST_SALES_TAX_PAID,EXP_CAPITAL_OUTLAY,EXP_JUDICIAL,db,EXP_HEALTH,EXP_FIRE,EXP_OTHER_PUBLIC_WORKS,REV_FRANCHISE_TAX,POPULATION,EXP_GEN_GOVT,LIABILITIES,EXP_TOTAL_PUBLIC_SAFETY,REV_LODGING_TAX,ALL_OTHER_INTGOVT,REVENUE_DEBT_GEN,EXP_MISC,REV_OTHER_TAX,REV_UNCLASS_TAX,db_temp,GO_DEBT_GEN,OTHER_DEBT_GEN,sorting_id,EXP_SOCIAL_SERVICE,EXP_PRINCIPAL_GEN,REV_MOTOR_VEH_FEE,REV_TRANSFER_IN,EXP_RECREATION,EXP_POLICE,EXP_INTEREST_GEN,NAME_x,NAME_y,EXP_OTHER_PUBLIC_SAFETY,REV_CHARGES,EXP_TOTAL_PUBLIC_WORKS,DFL,REV_TOTAL_TAX,LGTYPE_ID,REV_SALES_USE_TAX,REV_LICENSES,REV_REAL_ESTATE_TRANSFER_TAX,Unnamed: 0.1,REV_MISC,REV_PROPERTY_TAX,REV_SO_TAX,LGID,REV_FINES,ASSETS,SALES_TAX_RATE,REV_OCCUPATION_TAX,REV_CIGARETTE_TAX,REV_INTEREST,EXP_TOTAL_OPERATING,EXP_TRASH,int_temp,EXP_STREET,RETAIL_SALES,REV_SOCIAL_SERVICE,REV_HUT,hh_size,births,deaths,gq_pop,hh_pop,vac_rate,pop,npop_increase,permits,n_migr,cens_pop,hh_num,hu_num,vac_num,year_y,cty,real_resid,real_total,real_non_resid,real_res_val,real_nonres_val,resid,total,non_resid,res_rate,nonres_rate,res_val,nonres_val,AUDIT_YEAR_y,defl,cpi,cpi_growth
191,191,1881236301,36605899,14500.0,H1,13,198122,216.0,A,8013,40.094838200000005,-105.39837630000001,6,,G4020,Boulder,Boulder County,8,63,282,Boulder,1990,127467591.64498852,36735350.41698546,129815253.9364958,18928008.4544759,225339,2.0,565.6703528682941,576.0887105050426,163.0226033531056,83.99792514600622,9628.670580769418,1.1557874088072442,1.1690262974061505,0.6731571907096967,0.7206655803488575,0.9523139737003344,0.10715857398147896,0.1056944201689599,0.08610417346237846,0.08198752193085412,0.14078834066968834,-1.0826753837663974,-1.1002175769439726,-0.5796482465675544,-0.6373403172099004,-0.8788767155451589,-0.33019546944111433,-0.335414502092497,-0.18866142778775027,-0.19542676820824814,-0.40620758435319293,13,13,1990.0,2169715.0,9628.670580769418,4271.894678817978,2.253957858210504,88933,2.253957858210504,11493.064269319053,295762.1843917368,3868354.051262433,2706546.88599847,73343576.35042082,11268848.58454476,2901338.159908186,0.0,8107128.4315225715,0.0,63105.998469778126,0.0,369818.02218821726,35761151.15531752,14609736.140015302,19226301.312165264,0.0,12817267.792654935,0.0,3781684.234889059,0.0,0.0,,0.0,18928008.4544759,3137,28726302.807957154,2490169.3955623563,309014.5753634277,0.0,4811684.678653405,18855194.977046672,1378184.6557000766,Boulder County,Boulder,371106.3351185922,9398863.186687067,8655913.63427697,1.0,71326554.23871462,1,0.0,2916203.8140780414,0.0,225,6987870.05738332,66730536.4269319,4596017.811782708,7003,102749.93114001534,41812455.45906656,0.0,0.0,110309.12777352717,4741485.573833207,111971504.41469014,234770.00382555468,2.0,8358037.631981637,4770987.1193573065,18761351.637337413,4441645.099464422,2.46,3320.0,1094.0,8640.0,217374.0,6.6,226014.0,2226.0,1375.0,1434.0,226104.0,88402.0,94621.0,6219.0,,,,,,,,,,,,,,,,,,
192,192,2893573835,15324680,,H1,53,198142,,A,8053,37.8116669,-107.383335,6,,G4020,Hinsdale,Hinsdale County,8,0,901,Hinsdale,1991,1918193.8105726875,928744.0528634364,2004293.0396475769,110445.45154185024,436,2.0,4399.5270884694655,4597.002384512792,2130.1469102372394,253.31525582993171,2756.880733944954,4.715312342051508,4.770043634758721,8.351248776852819,9.952116829377092,11.26287375201476,0.15112352903670775,0.15484224962810747,0.12559168732652348,0.11513712217917894,-0.10814954221740604,1.3445473709930884,1.3688707396285966,2.071538515649341,2.4831004832273185,3.033424431520788,-0.34724492163295656,-0.3540678237284837,-0.22147006213214088,-0.19830013826211332,0.5743811112618253,53,53,1991.0,1202.0,2756.880733944954,4461.617678122894,0.6179105725403252,90780,0.6179105725403252,42523.60132158591,1784.3502202643176,106243.64537444935,0.0,250747.665198238,34194.00881057268,22090.98017621146,0.0,55229.81277533041,0.0,0.0,0.0,686.6519823788548,489285.2092511014,223248.51321585907,257946.48678414105,0.0,302026.07929515425,0.0,17788.381057268718,2193.8215859030843,0.0,,0.0,110445.45154185024,2169,12323.513215859033,93898.08370044056,3203.325991189428,0.0,47421.5088105727,214792.9295154185,12345.561674008812,Hinsdale County,Hinsdale,43153.55726872247,159900.14317180618,961769.4933920706,1.0,584315.63876652,1,179583.11674008812,8159.504405286345,0.0,926,237074.47136563878,377740.4845814978,24798.21585903084,27001,0.0,1506190.022026432,6.299559471365639,0.0,1752.8524229074897,103358.44713656386,1863855.385462556,89037.97356828193,2.0,872731.5198237888,11532.918502202643,0.0,619977.4449339207,2.28,3.0,0.0,0.0,453.0,84.3,453.0,3.0,7.0,-13.0,468.0,199.0,1267.0,1068.0,,,,,,,,,,,,,,,,,,
193,193,2957922894,16953424,,H1,29,198130,,A,8029,38.8617559,-107.86475700000001,6,,G4020,Delta,Delta County,8,1,625,Delta,1991,15802466.982378855,8596175.693832599,15613628.237885466,3110407.488986785,21785,2.0,725.38292322143,716.7146310711713,394.591493864246,142.7774840021476,2090.1078723892592,0.9951537364643946,1.0080995473403327,0.8589140999273449,0.8528323686568836,0.5543102112390811,0.16566573215830785,0.1695727861906621,0.15300342744194387,0.15072885217056894,-0.412889276674232,-1.222358867016386,-1.2469317233422512,-0.9670211066659212,-0.976213948784986,-0.6546221548372249,-0.3826024095066286,-0.38978846924447613,-0.2855564001474117,-0.2860366146604233,1.5223447079630597,29,29,1991.0,45533.0,2090.1078723892592,4461.617678122894,0.4684641363687208,90780,0.4684641363687208,23632.7973568282,103612.00440528637,753167.4559471365,89778.17180616742,4081511.354625552,1998401.3766519828,259061.50881057273,0.0,600392.114537445,0.0,0.0,0.0,34308.97577092511,2285985.715859032,1758597.6211453746,1609876.0462555068,0.0,2446581.960352423,3110407.488986785,138536.76211453747,46630.914096916305,0.0,,0.0,0.0,2170,4627898.920704846,448525.4845814978,110525.77092511016,0.0,161952.22466960354,1298932.9405286345,304641.9713656389,Delta County,Delta,310943.1057268723,974982.81938326,3088577.940528635,1.0,5367679.812775332,1,2678782.147577093,67792.70925110133,0.0,506,795835.9471365641,2328104.570484582,314162.18061674014,15006,0.0,9047165.88105727,3.14977973568282,0.0,18892.37885462556,417298.56828193844,12772281.233480178,310111.56387665204,2.0,2778466.3766519832,283141.57488986786,4131618.0506607937,1784945.5286343615,2.38,236.0,264.0,652.0,20577.0,14.4,21229.0,-28.0,4.0,266.0,21661.0,8635.0,10085.0,1450.0,,,,,,,,,,,,,,,,,,
194,194,388229141,941898,19740.0,H1,47,198139,216.0,A,8047,39.8610823,-105.5289473,6,,G4020,Gilpin,Gilpin County,8,2,832,Gilpin,1991,3520839.5374449342,1207987.7753303966,3734621.3876652,385588.1607929516,3120,2.0,1128.4742107195302,1196.9940345080768,387.1755690161528,123.58594897209987,1858.0128205128208,0.210697529906849,0.21483218942023136,0.05910348245226432,0.12793966607212304,0.2189849401971776,0.14591283354603093,0.14956407136310002,0.11770940572028178,0.11911027296429015,0.2020298944725286,-0.6612739698348519,-0.6751588886939043,-0.10381924649253677,-0.35129534761020764,-0.6334594960650367,-0.3142135165879489,-0.3206971522960693,-0.1908721329877126,-0.199649251587342,-0.4287498987869136,47,47,1991.0,5797.0,1858.0128205128208,4461.617678122894,0.4164437552826197,90780,0.4164437552826197,37805.23127753304,18860.881057268718,73550.50660792952,25432.896475770933,411386.43171806174,348975.1211453745,38720.2422907489,0.0,61134.07488986785,1815.8480176211456,0.0,0.0,4913.656387665199,1181436.7070484585,219241.99339207046,692726.3325991189,0.0,353387.96255506616,0.0,2959.218061674009,11295.110132158592,0.0,,0.0,385588.1607929516,2171,414558.2599118943,40956.58590308371,27927.522026431718,0.0,60231.66299559473,628237.742290749,32593.92070484582,Gilpin County,Gilpin,62672.742290748916,200274.01982378852,834896.3656387667,1.0,1864060.1211453744,1,0.0,67195.82599118943,0.0,821,163985.40748898682,1714773.1607929515,137991.85022026434,24005,17336.38766519824,1610431.9823788546,0.0,0.0,902.411894273128,117006.44273127755,3286662.863436124,0.0,2.0,834896.3656387667,24607.65418502203,336547.66519823787,470361.332599119,2.33,31.0,15.0,2.0,3087.0,45.9,3089.0,16.0,17.0,4.0,3152.0,1327.0,2454.0,1127.0,,,,,,,,,,,,,,,,,,
195,195,3177803460,8828904,,H1,23,198127,,A,8023,37.277547399999996,-105.4289399,6,,G4020,Costilla,Costilla County,8,3,514,Costilla,1991,7364336.211453745,5054336.5748898685,7242572.026431719,167618.67841409694,3042,2.0,2420.886328551527,2380.8586543168044,1661.5176117323695,55.10147219398321,797.8303747534517,-0.9935843785443724,-1.002976427201375,-0.43251892306162987,-0.5622281599662636,0.5167329294318829,0.1931029207392881,0.1973653088357017,0.17325269552288022,0.16958163876497728,-0.235323412800844,-0.6846340175438625,-0.6989639149264678,-0.2685077305415856,-0.3579676536032431,0.3885367200120296,-0.44200859994341946,-0.44980482214912537,-0.3169585658107679,-0.3147042293914992,0.8930656183618467,23,23,1991.0,2427.0,797.8303747534517,4461.617678122894,0.17882087447015796,90780,0.17882087447015796,18903.403083700443,14898.458149779737,0.0,0.0,293422.4559471366,1003774.9559471369,41929.8678414097,0.0,811767.5330396476,0.0,0.0,0.0,4790.814977973569,1420371.1233480182,581780.0660792952,448026.2444933921,0.0,1496784.7797356832,0.0,86544.922907489,0.0,0.0,,0.0,167618.67841409694,2174,1491464.8017621147,0.0,18315.9691629956,0.0,85788.97577092513,401590.61674008815,0.0,Costilla County,Costilla,46435.62775330397,306988.5572687225,1852903.6013215862,1.0,1793985.3964757712,1,96817.92951541851,1151.2444933920704,0.0,401,207795.69383259915,1600316.4647577098,96851.00220264318,12003,78.74449339207051,1559826.0462555068,1.5748898678414098,0.0,3519.878854625552,86681.9383259912,6238797.070484582,0.0,2.0,1852903.6013215862,18071.86123348018,1272753.5462555068,2248063.942731278,2.86,40.0,23.0,0.0,3256.0,34.8,3256.0,17.0,0.0,46.0,3262.0,1137.0,1743.0,606.0,,,,,,,,,,,,,,,,,,
196,196,4179563675,18750018,,H1,57,198144,,A,8057,40.6634319,-106.3292476,6,,G4020,Jackson,Jackson County,8,4,947,Jackson,1991,4234072.511013216,2448749.0088105733,5044361.2224669615,0.0,1573,2.0,2691.7180616740093,3206.841209451343,1556.7380857028436,0.0,3575.333757151939,-0.4237765323196959,-0.4267683981000919,0.9668028694797416,1.0004430670038718,2.3909237816427384,0.158249767517156,0.16206077873349492,0.15073857673551222,0.14784743775004175,0.22108978235368795,-0.2033820186700872,-0.20854469145695093,0.5330667516988039,0.5579493838578102,1.3950382061629818,-0.3888679931924994,-0.3961184068971009,-0.3033717297825519,-0.301973681740642,-0.5366907670200104,57,57,1991.0,5624.0,3575.333757151939,4461.617678122894,0.8013536826974751,90780,0.8013536826974751,45673.38105726873,6348.381057268723,0.0,16263.88766519824,302210.3414096917,2426724.174008811,58335.49559471366,0.0,95238.31497797355,42665.34140969164,0.0,0.0,2477.3017621145373,825297.4118942731,137103.6123348018,307092.5000000001,0.0,1195996.5638766522,0.0,61642.76431718063,2379.6585903083705,0.0,,0.0,0.0,2176,238739.1299559472,0.0,10049.372246696037,0.0,74383.62334801763,246333.24889867852,0.0,Jackson County,Jackson,18093.90969162996,116724.53744493394,940643.9207048459,1.0,830363.832599119,1,195202.87444933926,8230.374449339208,0.0,996,829066.1233480177,553058.7995594714,79722.50000000001,29001,938.6343612334804,6781823.821585904,4.724669603524231,0.0,2945.0440528634367,452494.2070484582,2601373.160792952,30489.867841409698,2.0,910154.0528634364,20673.579295154188,189350.5837004405,1044059.0638766522,2.5,16.0,7.0,10.0,1546.0,53.7,1556.0,9.0,2.0,-50.0,1606.0,619.0,1337.0,718.0,,,,,,,,,,,,,,,,,,
197,197,2624702134,4013482,,H1,15,198123,,A,8015,38.738244099999996,-106.3169553,6,,G4020,Chaffee,Chaffee County,8,5,330,Chaffee,1991,8923388.986784143,3982699.614537445,10097459.933920706,5521.563876651982,13172,2.0,677.4513351642988,766.5851756696558,302.36103967031926,0.41918948349923946,2645.1563923474037,-0.1575323234066376,-0.15753368697094228,-0.16645911270464406,-0.1588523872215598,0.14855050518284948,0.1618678447901371,0.16572571307048226,0.1672904524196693,0.16370900272176772,0.22386470033009198,0.1953947889934194,0.1978282956883639,0.1880234435849301,0.17976941513042038,-0.14947641690322405,-0.3813589768960808,-0.3885322653064845,-0.3327217824009428,-0.3301900754609998,-0.5186048513727463,15,15,1991.0,34842.0,2645.1563923474037,4461.617678122894,0.5928693543863405,90780,0.5928693543863405,12603.843612334807,51187.07048458151,0.0,14728.370044052866,3475734.6916299565,2573721.2444933923,282064.35022026434,0.0,438372.1696035243,1790.649779735683,0.0,0.0,20744.44933920705,2063285.264317181,521527.9295154186,1119256.9052863438,0.0,1037628.7885462557,0.0,95973.78854625553,168116.34361233484,0.0,,0.0,5521.563876651982,2177,1722521.6189427315,0.0,47331.74008810573,0.0,103315.92511013217,892505.8370044054,0.0,Chaffee County,Chaffee,224960.41850220266,831589.0969162997,1684220.2973568283,1.0,3405486.7290748907,1,1424098.8876651984,169295.93612334804,0.0,261,534317.6101321586,1602978.0286343615,210293.46916299567,8003,0.0,6218473.116740089,3.14977973568282,0.0,18841.982378854627,385295.2312775331,7509010.319383261,122956.3766519824,2.0,1561263.920704846,212458.94273127755,1378794.0308370043,1448916.002202643,2.31,125.0,117.0,1230.0,11634.0,23.6,12864.0,8.0,104.0,150.0,12754.0,5027.0,6583.0,1556.0,,,,,,,,,,,,,,,,,,
198,198,4793688729,442148,19740.0,H1,39,198136,216.0,A,8039,39.31058170000001,-104.1177288,6,,G4020,Elbert,Elbert County,8,6,740,Elbert,1991,8076606.927312776,2307449.8898678417,8196763.149779738,3549198.579295155,10401,2.0,776.5221543421571,788.0745264666608,221.84885009785998,341.2362829819397,1625.612921834439,0.9897906052603724,1.0026761764946062,0.7581210130304722,0.8652260247911636,1.0384559991522209,0.16190163895215162,0.16575994489457332,0.1414976350923593,0.1360857981034073,0.2139821171585973,-1.323677711197429,-1.3501805597156638,-0.927122263892202,-1.078793783701083,-1.3594665198411515,-0.3614564312011517,-0.3684253000669155,-0.2493799739710523,-0.2412989897431238,-0.4607486557048284,39,39,1991.0,16908.0,1625.612921834439,4461.617678122894,0.36435504767821614,90780,0.36435504767821614,31499.372246696035,50346.0792951542,471090.5066079296,86429.95594713658,511823.45814977976,849912.9405286346,164922.46696035244,0.0,90359.3061674009,0.0,0.0,0.0,16380.429515418504,2058820.4515418503,1112565.1982378857,971604.6806167405,0.0,115705.58370044055,0.0,76709.73568281939,10446.244493392072,0.0,,0.0,3549198.579295155,2179,650890.9581497798,198365.2533039648,77610.57268722467,0.0,233061.6519823789,909544.5704845815,272725.2533039648,Elbert County,Elbert,62060.1101321586,742141.6519823789,2542960.495594714,1.0,4460807.830396476,1,0.0,203189.14096916304,0.0,681,363018.4140969163,4077208.7555066086,373152.8303964759,20001,0.0,5122900.980176212,0.0,0.0,3512.004405286344,309234.35022026434,6789329.746696036,0.0,2.0,2542960.495594714,38720.2422907489,526164.4052863437,1534111.2444933925,2.81,141.0,53.0,46.0,10222.0,11.2,10268.0,88.0,102.0,417.0,10294.0,3637.0,4094.0,457.0,,,,,,,,,,,,,,,,,,
199,199,1442738671,4944573,17820.0,H1,119,198175,,A,8119,38.871993700000004,-105.1825519,6,,G4020,Teller,Teller County,8,7,423,Teller,1991,10255714.31718062,4326312.23568282,10909040.05506608,135834.2511013216,13196,2.0,777.1835645029266,826.6929414266507,327.85027551400583,10.293592838839164,3225.068202485602,1.0910473856032348,1.1050702909685874,0.880120035072,0.8787494682835818,0.9284597970108122,0.1619694886500051,0.1658286733015851,0.1483901820346465,0.14769786923796335,0.20663129822848664,-1.4633258877590725,-1.4924888523951043,-1.0808658414194563,-1.0972005336602744,-1.2131139273927392,-0.39415849788845214,-0.4014632504991132,-0.2908473104219461,-0.2956180492047276,-0.4770717727017504,119,119,1991.0,26383.0,1999.3179751439832,4461.617678122894,0.4481150379485547,90780,0.4481150379485547,94509.14096916301,56451.92731277534,166127.25770925113,54840.814977973576,2053473.700440529,1131386.7070484585,0.0,0.0,334805.83700440533,26886.51982378855,0.0,0.0,20782.24669603525,2729438.480176212,766971.3656387667,2075572.55506608,0.0,615613.4251101322,0.0,75972.68722466961,20416.87224669604,0.0,,0.0,135834.2511013216,2205,2491445.8480176213,148028.62334801766,68789.61453744494,0.0,261639.6035242291,1575683.6123348018,18098.634361233482,Teller County,Teller,473002.422907489,638920.2202643172,1587810.264317181,1.0,4360384.977973569,1,907344.4493392071,338598.17180616746,0.0,2081,574738.7334801763,3138613.7665198236,294009.88986784144,60010,16759.977973568286,4991714.229074892,1.5748898678414098,0.0,6294.834801762116,428834.6365638767,9556685.275330398,0.0,2.0,1587810.264317181,118316751.10132158,1957362.8964757712,1621799.537444934,2.53,194.0,73.0,66.0,12646.0,34.5,12712.0,121.0,74.0,80.0,12881.0,4996.0,7633.0,2637.0,,,,,,,,,,,,,,,,,,
200,200,4243419913,15352633,,H1,99,198165,,A,8099,37.9581814,-102.3921613,6,,G4020,Prowers,Prowers County,8,8,1430,Prowers,1991,10241126.112334805,4900573.77753304,9921854.988986786,4601818.744493392,13201,2.0,775.784115774169,751.5987416852348,371.22746591417615,348.59622335379083,3239.527308537232,-0.5467813365421313,-0.5511548141183998,-0.4373702891846453,-0.5006089950244376,-0.6360954410721279,0.17802765569390572,0.182094806760857,0.16312210226744697,0.16109211367623333,0.23603359382757716,0.7686781262601594,0.7820319348385646,0.5663808731836891,0.6511133788110449,0.8882627235320477,-0.4504835752198222,-0.4583668441085702,-0.3322322609717229,-0.33382182989044096,-0.5772573616952947,99,99,1991.0,42765.0,3239.527308537232,4461.617678122894,0.7260880564513488,90780,0.7260880564513488,78766.54185022027,26799.900881057274,79286.25550660794,124272.98458149785,3510284.6255506612,1732574.140969163,182632.1035242291,0.0,387370.93612334813,43690.59471365639,0.0,0.0,20790.12114537445,1827481.7290748903,986257.4559471369,778567.279735683,0.0,739064.3171806169,4338821.585903084,157449.61453744496,40885.715859030846,0.0,,0.0,262997.1585903084,2206,3136473.491189428,71841.7511013216,33033.314977973576,0.0,174908.84361233484,698674.691629956,7444.504405286345,Prowers County,Prowers,36201.993392070486,501474.8568281939,1340837.6101321587,1.0,4190882.731277534,1,586260.6277533041,603.1828193832599,0.0,1731,647591.563876652,3235866.365638767,327870.02202643175,50014,0.0,6440756.2224669615,0.7874449339207049,0.0,11504.5704845815,289545.07709251106,7985721.607929517,0.0,2.0,1340837.6101321587,289663.19383259915,2719981.266519824,1370190.407488987,2.59,219.0,116.0,183.0,12775.0,15.7,12958.0,103.0,-2.0,-382.0,13252.0,4934.0,5854.0,920.0,,,,,,,,,,,,,,,,,,
