,cty,resid,total,year,non_resid,res_rate,nonres_rate,res_val,nonres_val
1,San Juan,3501840.0,12480200.0,1994.0,8978360.0,0.1286,0.29,27230482.11508554,30959862.06896552
2,San Juan,3618400.0,14135650.0,1995.0,10517250.0,0.1036,0.29,34926640.92664093,36266379.31034483
3,San Juan,3763920.0,14403780.0,1996.0,10639860.0,0.1036,0.29,36331274.131274134,36689172.41379311
4,San Juan,5076170.0,18748350.0,1997.0,13672180.0,0.0974,0.29,52116735.11293635,47145448.275862075
376,San Juan,5217990.0,19071300.0,1998.0,13853310.0,0.0974,0.29,53572792.607802875,47770034.48275863
440,San Juan,6001130.0,22837320.0,1999.0,16836190.0,0.0974,0.29,61613244.35318275,58055827.5862069
504,San Juan,6106160.0,22733700.0,2000.0,16627540.0,0.0974,0.29,62691581.108829565,57336344.82758621
568,San Juan,6414460.0,24091050.0,2001.0,17676590.0,0.0915,0.29,70103387.97814208,60953758.62068966
632,San Juan,6580080.0,24890270.0,2002.0,18310190.0,0.0915,0.29,71913442.62295082,63138586.20689656
696,San Juan,6998640.0,28562240.0,2003.0,21563600.0,0.0796,0.29,87922613.06532663,74357241.37931035
760,San Juan,7272800.0,28286730.0,2004.0,21013930.0,0.0796,0.29,91366834.17085427,72461827.5862069
824,San Juan,9507310.0,40633730.0,2005.0,31126420.0,0.0796,0.29,119438567.83919597,107332482.7586207
888,San Juan,9890950.0,40616860.0,2006.0,30725910.0,0.0796,0.29,124258165.82914573,105951413.79310346
952,San Juan,13400050.0,55117130.0,2007.0,41717080.0,0.0796,0.29,168342336.68341708,143852000.0
1016,San Juan,13654320.0,55548760.0,2008.0,41894440.0,0.0796,0.29,171536683.4170854,144463586.20689657
1080,San Juan,14761870.0,58975390.0,2009.0,44213520.0,0.0796,0.29,185450628.1407035,152460413.79310346
1144,San Juan,14790910.0,57602040.0,2010.0,42811130.0,0.0796,0.29,185815452.26130652,147624586.20689657
1208,San Juan,11973957.0,48912557.0,2011.0,36938600.0,0.0796,0.29,150426595.47738692,127374482.7586207
1272,San Juan,11938060.0,48367279.0,2012.0,36429219.0,0.0796,0.29,149975628.1407035,125617996.55172415
5,San Miguel,80038080.0,220012830.0,1993.0,139974750.0,0.1286,0.29,622380093.3125973,482671551.72413796
6,San Miguel,90650460.0,242139140.0,1994.0,151488680.0,0.1286,0.29,704902488.3359253,522374758.6206897
7,San Miguel,105293900.0,290737490.0,1995.0,185443590.0,0.1036,0.29,1016350386.1003861,639460655.1724138
8,San Miguel,116018550.0,297376280.0,1996.0,181357730.0,0.1036,0.29,1119870173.7451737,625371482.7586207
9,San Miguel,126726060.0,328945910.0,1997.0,202219850.0,0.0974,0.29,1301088911.704312,697309827.5862069
377,San Miguel,135728160.0,329908160.0,1998.0,194180000.0,0.0974,0.29,1393512936.3449693,669586206.8965517
441,San Miguel,148138010.0,341366650.0,1999.0,193228640.0,0.0974,0.29,1520924127.3100617,666305655.1724138
505,San Miguel,161559030.0,358996290.0,2000.0,197437260.0,0.0974,0.29,1658716940.4517453,680818137.9310346
569,San Miguel,216678580.0,459056450.0,2001.0,242377870.0,0.0915,0.29,2368071912.568306,835785758.6206897
633,San Miguel,235909240.0,474778040.0,2002.0,238868800.0,0.0915,0.29,2578243060.1092896,823685517.2413794
697,San Miguel,252074320.0,531224850.0,2003.0,279150530.0,0.0796,0.29,3166762814.0703516,962588034.4827586
761,San Miguel,263300530.0,576737080.0,2004.0,313436550.0,0.0796,0.29,3307795603.015075,1080815689.6551726
825,San Miguel,324624810.0,743524210.0,2005.0,418899400.0,0.0796,0.29,4078201130.653266,1444480689.6551726
889,San Miguel,340635740.0,780808750.0,2006.0,440173010.0,0.0796,0.29,4279343467.3366833,1517837965.5172415
953,San Miguel,421860510.0,901858110.0,2007.0,479997600.0,0.0796,0.29,5299755150.753769,1655164137.9310346
1017,San Miguel,438963740.0,893039860.0,2008.0,454076120.0,0.0796,0.29,5514619849.246231,1565779724.137931
1081,San Miguel,522459540.0,1041820640.0,2009.0,519361100.0,0.0796,0.29,6563562060.301507,1790900344.8275864
1145,San Miguel,537203510.0,965915150.0,2010.0,428711640.0,0.0796,0.29,6748787814.070352,1478316000.0
1209,San Miguel,475194610.0,862270710.0,2011.0,387076100.0,0.0796,0.29,5969781532.663317,1334745172.413793
1273,San Miguel,480681170.0,857029260.0,2012.0,376348090.0,0.0796,0.29,6038708165.829145,1297752034.4827588
245,Sedgwick,3415280.0,24583830.0,1993.0,21168550.0,0.1286,0.29,26557387.247278385,72995000.0
246,Sedgwick,3455980.0,26745190.0,1994.0,23289210.0,0.1286,0.29,26873872.472783826,80307620.68965518
247,Sedgwick,3315410.0,28164890.0,1995.0,24849480.0,0.1036,0.29,32002027.02702703,85687862.06896552
248,Sedgwick,3326520.0,30514170.0,1996.0,27187650.0,0.1036,0.29,32109266.40926641,93750517.24137932
249,Sedgwick,3727500.0,29799850.0,1997.0,26072350.0,0.0974,0.29,38270020.533880904,89904655.1724138
378,Sedgwick,3770990.0,29869550.0,1998.0,26098560.0,0.0974,0.29,38716529.77412731,89995034.48275863
442,Sedgwick,4176260.0,29869790.0,1999.0,25693530.0,0.0974,0.29,42877412.73100616,88598379.31034483
506,Sedgwick,4280820.0,29718650.0,2000.0,25437830.0,0.0974,0.29,43950924.02464066,87716655.1724138
570,Sedgwick,4574680.0,30092410.0,2001.0,25517730.0,0.0915,0.29,49996502.73224044,87992172.41379312
634,Sedgwick,4680820.0,30250010.0,2002.0,25569190.0,0.0915,0.29,51156502.73224044,88169620.68965518
698,Sedgwick,4397060.0,30519180.0,2003.0,26122120.0,0.0796,0.29,55239447.2361809,90076275.86206897
762,Sedgwick,4424330.0,31981980.0,2004.0,27557650.0,0.0796,0.29,55582035.1758794,95026379.31034483
826,Sedgwick,4795220.0,31271410.0,2005.0,26476190.0,0.0796,0.29,60241457.286432154,91297206.89655173
890,Sedgwick,4831720.0,32254680.0,2006.0,27422960.0,0.0796,0.29,60700000.0,94561931.03448276
954,Sedgwick,5141300.0,32748220.0,2007.0,27606920.0,0.0796,0.29,64589195.979899496,95196275.86206897
1018,Sedgwick,5196300.0,57858820.0,2008.0,52662520.0,0.0796,0.29,65280150.75376884,181594896.55172414
1082,Sedgwick,5346800.0,58243250.0,2009.0,52896450.0,0.0796,0.29,67170854.27135678,182401551.72413793
1146,Sedgwick,5380610.0,54679932.0,2010.0,49299322.0,0.0796,0.29,67595603.01507537,169997662.06896552
1210,Sedgwick,5143990.0,55766030.0,2011.0,50622040.0,0.0796,0.29,64622989.94974874,174558758.62068966
1274,Sedgwick,5208110.0,56294210.0,2012.0,51086100.0,0.0796,0.29,65428517.587939695,176158965.5172414
220,Summit,240232550.0,465126210.0,1993.0,224893660.0,0.1286,0.29,1868060264.3856921,775495379.3103449
221,Summit,253333460.0,484137290.0,1994.0,230803830.0,0.1286,0.29,1969933592.5349925,795875275.862069
222,Summit,277734170.0,550806370.0,1995.0,273072200.0,0.1036,0.29,2680831756.756757,941628275.862069
223,Summit,298467290.0,570246670.0,1996.0,271779380.0,0.1036,0.29,2880958397.683398,937170275.862069
224,Summit,351782760.0,661710290.0,1997.0,309927530.0,0.0974,0.29,3611732648.8706365,1068715620.6896553
379,Summit,384976540.0,714602330.0,1998.0,329625790.0,0.0974,0.29,3952531211.4989734,1136640655.1724138
443,Summit,496116840.0,901662140.0,1999.0,405545300.0,0.0974,0.29,5093602053.38809,1398432068.9655173
507,Summit,534222370.0,947080570.0,2000.0,412858200.0,0.0974,0.29,5484829260.780288,1423648965.5172415
571,Summit,660743033.0,1171283001.0,2001.0,510539968.0,0.0915,0.29,7221235333.333333,1760482648.2758622
635,Summit,696073651.0,1199732402.0,2002.0,503658751.0,0.0915,0.29,7607362306.010929,1736754313.7931035
699,Summit,669022960.0,1200409980.0,2003.0,531387020.0,0.0796,0.29,8404811055.2763815,1832369034.4827588
763,Summit,686760403.0,1199105984.0,2004.0,512345581.0,0.0796,0.29,8627643253.768845,1766708900.0000002
827,Summit,750537041.0,1286185409.0,2005.0,535648368.0,0.0796,0.29,9428857298.994974,1847063337.9310346
891,Summit,775173872.0,1274471533.0,2006.0,499297661.0,0.0796,0.29,9738365226.130653,1721716072.4137933
955,Summit,949698396.0,1565426783.0,2007.0,615728387.0,0.0796,0.29,11930884371.859297,2123201334.4827588
1019,Summit,990515336.0,1587384647.0,2008.0,596869311.0,0.0796,0.29,12443660000.0,2058170037.9310346
1083,Summit,1252239785.0,1951384737.0,2009.0,699144952.0,0.0796,0.29,15731655590.452261,2410844662.068966
1147,Summit,1258530777.0,1938755259.0,2010.0,680224482.0,0.0796,0.29,15810688153.26633,2345601662.068966
1211,Summit,1043310540.0,1603209763.0,2011.0,559899223.0,0.0796,0.29,13106916331.65829,1930686975.8620691
1275,Summit,1052991108.0,1602311540.0,2012.0,549320432.0,0.0796,0.29,13228531507.537687,1894208386.2068968
170,Teller,62768530.0,167564160.0,1993.0,104795630.0,0.1286,0.29,488091213.0637636,361364241.37931037
171,Teller,66225660.0,168796840.0,1994.0,102571180.0,0.1286,0.29,514974027.9937792,353693724.13793105
172,Teller,71912880.0,191679410.0,1995.0,119766530.0,0.1036,0.29,694139768.3397684,412988034.48275864
173,Teller,79929960.0,205138070.0,1996.0,125208110.0,0.1036,0.29,771524710.4247104,431752103.44827586
174,Teller,94077240.0,237726530.0,1997.0,143649290.0,0.0974,0.29,965885420.9445585,495342379.3103449
380,Teller,100678170.0,247908980.0,1998.0,147230810.0,0.0974,0.29,1033656776.1806982,507692448.2758621
444,Teller,118733830.0,275837420.0,1999.0,157103590.0,0.0974,0.29,1219033162.2176592,541736517.2413794
508,Teller,124443402.0,287564932.0,2000.0,163121530.0,0.0974,0.29,1277652997.946612,562488034.4827586
572,Teller,134243544.0,320393757.0,2001.0,186150213.0,0.0915,0.29,1467142557.3770492,641897286.2068965
636,Teller,139579610.0,321783882.0,2002.0,182204272.0,0.0915,0.29,1525460218.579235,628290593.1034483
700,Teller,141447430.0,349234790.0,2003.0,207787360.0,0.0796,0.29,1776977763.8190954,716508137.9310346
764,Teller,146682300.0,360397990.0,2004.0,213715690.0,0.0796,0.29,1842742462.3115578,736950655.1724138
828,Teller,161499690.0,387749840.0,2005.0,226250150.0,0.0796,0.29,2028890577.8894472,780172931.0344828
892,Teller,167527250.0,396048810.0,2006.0,228521560.0,0.0796,0.29,2104613693.4673367,788005379.3103449
956,Teller,196087850.0,449078489.0,2007.0,252990639.0,0.0796,0.29,2463415201.005025,872381513.7931035
1020,Teller,199497030.0,469299160.0,2008.0,269802130.0,0.0796,0.29,2506244095.477387,930352172.4137932
1084,Teller,193291060.0,490633140.0,2009.0,297342080.0,0.0796,0.29,2428279648.2412057,1025317517.2413794
1148,Teller,195433260.0,496419550.0,2010.0,300986290.0,0.0796,0.29,2455191708.5427136,1037883758.6206897
1212,Teller,180904830.0,483437380.0,2011.0,302532550.0,0.0796,0.29,2272673743.7185926,1043215689.6551725
1276,Teller,182107890.0,531654460.0,2012.0,349546570.0,0.0796,0.29,2287787562.81407,1205333000.0
210,Washington,6532040.0,71551910.0,1993.0,65019870.0,0.1286,0.29,50793468.11819596,224206448.2758621
211,Washington,6567390.0,68658270.0,1994.0,62090880.0,0.1286,0.29,51068351.47744946,214106482.7586207
212,Washington,5810280.0,63136310.0,1995.0,57326030.0,0.1036,0.29,56083783.783783786,197675965.5172414
213,Washington,5933630.0,65015810.0,1996.0,59082180.0,0.1036,0.29,57274420.84942085,203731655.1724138
214,Washington,6787600.0,70639730.0,1997.0,63852130.0,0.0974,0.29,69687885.01026694,220179758.62068966
381,Washington,6999300.0,69486870.0,1998.0,62487570.0,0.0974,0.29,71861396.30390143,215474379.31034485
445,Washington,8480990.0,68223260.0,1999.0,59742270.0,0.0974,0.29,87073819.30184805,206007827.5862069
509,Washington,8693730.0,70554690.0,2000.0,61860960.0,0.0974,0.29,89258008.21355236,213313655.1724138
573,Washington,9076450.0,79970750.0,2001.0,70894300.0,0.0915,0.29,99196174.86338799,244463103.44827586
637,Washington,9316130.0,77851680.0,2002.0,68535550.0,0.0915,0.29,101815628.41530055,236329482.7586207
701,Washington,8867550.0,75888840.0,2003.0,67021290.0,0.0796,0.29,111401381.90954773,231107896.55172417
765,Washington,9092259.0,85886096.0,2004.0,76793837.0,0.0796,0.29,114224359.2964824,264806334.48275864
829,Washington,9842131.0,100951879.0,2005.0,91109748.0,0.0796,0.29,123644861.80904523,314171544.82758623
893,Washington,10100442.0,111789493.0,2006.0,101689051.0,0.0796,0.29,126889974.87437186,350651900.0
957,Washington,10291005.0,110924612.0,2007.0,100633607.0,0.0796,0.29,129283982.41206029,347012437.9310345
1021,Washington,10504972.0,113224887.0,2008.0,102719915.0,0.0796,0.29,131972010.05025125,354206603.44827586
1085,Washington,10647753.0,128898704.0,2009.0,118250951.0,0.0796,0.29,133765741.20603015,407761900.0
1149,Washington,10777809.0,110885598.0,2010.0,100107789.0,0.0796,0.29,135399610.55276382,345199272.41379315
1213,Washington,10623261.0,120099105.0,2011.0,109475844.0,0.0796,0.29,133458052.76381908,377502910.3448276
1277,Washington,10722433.0,126791044.0,2012.0,116068611.0,0.0796,0.29,134703932.160804,400236589.65517247
190,Weld,316101610.0,1101637150.0,1993.0,785535540.0,0.1286,0.29,2458021850.699845,2708743241.3793106
191,Weld,329757520.0,1246956640.0,1994.0,917199120.0,0.1286,0.29,2564210886.4696736,3162755586.206897
192,Weld,372950560.0,1350206810.0,1995.0,977256250.0,0.1036,0.29,3599908880.3088803,3369849137.9310346
193,Weld,389923040.0,1331005590.0,1996.0,941082550.0,0.1036,0.29,3763735907.3359075,3245112241.3793106
194,Weld,459229720.0,1483714960.0,1997.0,1024485240.0,0.0974,0.29,4714884188.911704,3532707724.1379313
382,Weld,486986740.0,1568016640.0,1998.0,1081029900.0,0.0974,0.29,4999863860.36961,3727689310.3448277
446,Weld,544498340.0,1632752850.0,1999.0,1088254510.0,0.0974,0.29,5590332032.854209,3752601758.62069
510,Weld,595018870.0,1763366610.0,2000.0,1168347740.0,0.0974,0.29,6109023305.954825,4028785310.3448277
574,Weld,723556020.0,2237242330.0,2001.0,1513686310.0,0.0915,0.29,7907716065.5737705,5219607965.5172415
638,Weld,800464800.0,2426376760.0,2002.0,1625911960.0,0.0915,0.29,8748249180.32787,5606592965.5172415
702,Weld,853159900.0,2482938090.0,2003.0,1629778190.0,0.0796,0.29,10718089195.979898,5619924793.103449
766,Weld,918193420.0,2992560970.0,2004.0,2074367550.0,0.0796,0.29,11535093216.0804,7152991551.724138
830,Weld,1051660420.0,3613201510.0,2005.0,2561541090.0,0.0796,0.29,13211814321.60804,8832900310.344828
894,Weld,1133000390.0,4188145450.0,2006.0,3055145060.0,0.0796,0.29,14233673241.20603,10534982965.517242
958,Weld,1216058280.0,4462988390.0,2007.0,3246930110.0,0.0796,0.29,15277114070.351759,11196310724.137932
1022,Weld,1259424810.0,4579338460.0,2008.0,3319913650.0,0.0796,0.29,15821919723.61809,11447978103.448277
1086,Weld,1147452920.0,5779693520.0,2009.0,4632240600.0,0.0796,0.29,14415237688.442211,15973243448.275864
1150,Weld,1161744960.0,4625444510.0,2010.0,3463699550.0,0.0796,0.29,14594785929.648241,11943791551.724138
1214,Weld,1110638520.0,5423868510.0,2011.0,4313229990.0,0.0796,0.29,13952745226.130653,14873206862.068966
1278,Weld,1126180660.0,6515719690.0,2012.0,5389539030.0,0.0796,0.29,14147998241.20603,18584617344.827587
160,Yuma,14512870.0,94055820.0,1993.0,79542950.0,0.1286,0.29,112852799.37791602,274286034.48275864
161,Yuma,14781260.0,101446700.0,1994.0,86665440.0,0.1286,0.29,114939813.3748056,298846344.82758623
162,Yuma,12921110.0,104977800.0,1995.0,92056690.0,0.1036,0.29,124721138.996139,317436862.06896555
163,Yuma,13321400.0,122418660.0,1996.0,109097260.0,0.1036,0.29,128584942.08494209,376197448.2758621
164,Yuma,15204940.0,138296270.0,1997.0,123091330.0,0.0974,0.29,156108213.5523614,424452862.06896555
383,Yuma,16055980.0,147303690.0,1998.0,131247710.0,0.0974,0.29,164845790.55441478,452578310.3448276
447,Yuma,18054860.0,158778450.0,1999.0,140723590.0,0.0974,0.29,185368172.4845996,485253758.6206897
511,Yuma,18425700.0,155153980.0,2000.0,136728280.0,0.0974,0.29,189175564.68172485,471476827.5862069
575,Yuma,20404760.0,172606220.0,2001.0,152201460.0,0.0915,0.29,223002841.53005466,524832620.6896552
639,Yuma,20985700.0,173277400.0,2002.0,152291700.0,0.0915,0.29,229351912.56830603,525143793.10344833
703,Yuma,20925610.0,155650790.0,2003.0,134725180.0,0.0796,0.29,262884547.73869345,464569586.2068966
767,Yuma,21329220.0,197071380.0,2004.0,175742160.0,0.0796,0.29,267955025.1256281,606007448.2758621
831,Yuma,23744240.0,213923030.0,2005.0,190178790.0,0.0796,0.29,298294472.361809,655788931.0344828
895,Yuma,24074760.0,268387290.0,2006.0,244312530.0,0.0796,0.29,302446733.6683417,842457000.0
959,Yuma,26171380.0,300168970.0,2007.0,273997590.0,0.0796,0.29,328786180.9045226,944819275.862069
1023,Yuma,26508680.0,327225690.0,2008.0,300717010.0,0.0796,0.29,333023618.09045225,1036955206.8965518
1087,Yuma,27896690.0,420370550.0,2009.0,392473860.0,0.0796,0.29,350460929.64824116,1353358137.9310346
1151,Yuma,28231110.0,272473200.0,2010.0,244242090.0,0.0796,0.29,354662185.9296482,842214103.4482759
1215,Yuma,28649160.0,290876520.0,2011.0,262227360.0,0.0796,0.29,359914070.3517588,904232275.862069
1279,Yuma,28990550.0,280928960.0,2012.0,251938410.0,0.0796,0.29,364202889.4472362,868753137.9310346
