LG_ID,NAME,AUDIT_YEAR,CM_FUND_TYPE_ID,DESCRIPTION,REV_TOTAL,REV_CHARGES,REV_IMPACT_FEE,REV_INTGOVT,REV_TRANSFER_IN,REV_INTEREST,REV_OTHER,EXP_TOTAL,EXP_OPERATING,EXP_CAPITAL_OUTLAY,EXP_PRINCIPAL,EXP_INTEREST,EXP_TRANSFER_OUT,GO_DEBT,REVENUE_DEBT,OTHER_DEBT,ASSETS,LIABILITIES,DEPRECIATION
36001,"Aguilar, Town of",1989,3,Sewer,38800,34956,0,0,2000,0,1844,35343,20643,0,4000,10700,0,0,0,210000,0,0,16327
36001,"Aguilar, Town of",1989,4,Gas,130637,111764,0,0,0,0,18873,113089,102089,0,0,0,11000,0,0,0,0,0,1790
36001,"Aguilar, Town of",1990,2,Water,57157,43453,0,0,0,0,13704,46737,43085,0,2625,1027,0,0,0,32908,0,0,19409
36001,"Aguilar, Town of",1990,4,Gas,140181,111195,0,0,0,0,28986,131713,114616,0,0,0,17097,0,0,0,0,0,1789
36001,"Aguilar, Town of",1990,3,Sewer,38997,36903,0,0,0,0,2094,36208,21708,0,4000,10500,0,0,0,206000,0,0,16327
36001,"Aguilar, Town of",1991,2,Water,56671,42174,0,0,0,0,14497,43244,39130,0,2667,1447,0,0,0,30241,0,0,19409
36001,"Aguilar, Town of",1991,3,Sewer,39817,37677,0,0,0,0,2140,35683,21490,0,4000,10193,0,0,0,202000,0,0,16327
36001,"Aguilar, Town of",1991,4,Gas,137525,120529,0,0,0,0,16996,127052,107052,0,0,0,20000,0,0,0,0,0,1789
36001,"Aguilar, Town of",1992,2,Water,102890,40235,0,50000,0,0,12655,57016,40486,11397,3415,1718,0,0,0,101826,0,0,17828
36001,"Aguilar, Town of",1992,3,Sewer,40635,38823,0,0,0,0,1812,35217,21200,0,4000,10017,0,0,0,198000,0,0,16327
36001,"Aguilar, Town of",1992,4,Gas,122316,109328,0,0,0,0,12988,148000,123000,0,0,0,25000,0,0,0,0,0,1789
36001,"Aguilar, Town of",1993,2,Water,79651,40795,0,26500,0,0,12356,174278,37323,126728,5675,4552,0,0,0,96151,0,0,18362
36001,"Aguilar, Town of",1993,4,Gas,136849,127446,0,0,0,0,9403,168700,141700,0,0,0,27000,0,0,0,0,0,1789
36001,"Aguilar, Town of",1993,3,Sewer,41883,40549,0,0,0,0,1334,30000,16183,0,4000,9817,0,0,194000,0,0,0,16327
36001,"Aguilar, Town of",1994,2,Water,108666,49640,0,46500,3500,0,9026,132727,44972,76512,6610,4633,0,0,0,89541,0,0,15467
36001,"Aguilar, Town of",1994,3,Sewer,44309,42334,0,0,0,0,1975,29883,15287,0,5000,9596,0,0,189000,0,0,0,16327
36001,"Aguilar, Town of",1994,4,Gas,128913,121090,0,0,0,0,7823,126321,118321,0,0,0,8000,0,0,0,0,0,1789
