year,med_age,edu_yrs,perc_dem,pov_pop,stcou,cty
2003,33.89,40.31428571428572,44.675,30537.0,8069.0,Larimer
2004,34.120000000000005,40.58571428571428,46.6,32521.25,8069.0,Larimer
2005,34.35,40.857142857142854,48.45,34505.5,8069.0,Larimer
2006,34.58,41.128571428571426,50.3,36489.75,8069.0,Larimer
2007,34.81,41.4,52.15,38474.0,8069.0,Larimer
2008,35.04,41.67142857142857,54.0,40458.25,8069.0,Larimer
2009,35.27,41.94285714285714,55.85,42442.5,8069.0,Larimer
2010,35.5,42.214285714285715,57.7,44426.75,8069.0,Larimer
1989,,,,3498.0,8071.0,Las Animas
1990,37.7,12.7,,3405.5,8071.0,Las Animas
1991,38.02,13.049999999999999,,3313.0,8071.0,Las Animas
1992,38.34,13.399999999999999,58.6,3220.5,8071.0,Las Animas
1993,38.660000000000004,13.75,58.9,3128.0,8071.0,Las Animas
1994,38.980000000000004,14.1,59.2,3035.5,8071.0,Las Animas
1995,39.3,14.45,59.5,2943.0,8071.0,Las Animas
1996,39.62,14.799999999999999,59.8,2850.5,8071.0,Las Animas
1997,39.94,15.149999999999999,58.15,2758.0,8071.0,Las Animas
1998,40.26,15.5,56.5,2665.5,8071.0,Las Animas
1999,40.58,15.85,54.85,2573.0,8071.0,Las Animas
2000,40.9,16.2,53.2,2563.625,8071.0,Las Animas
2001,41.199999999999996,16.585714285714285,52.425000000000004,2554.25,8071.0,Las Animas
2002,41.5,16.97142857142857,51.650000000000006,2544.875,8071.0,Las Animas
2003,41.8,17.357142857142858,50.875,2535.5,8071.0,Las Animas
2004,42.1,17.74285714285714,50.1,2526.125,8071.0,Las Animas
2005,42.4,18.128571428571426,50.75,2516.75,8071.0,Las Animas
2006,42.699999999999996,18.514285714285712,51.400000000000006,2507.375,8071.0,Las Animas
2007,43.0,18.9,52.050000000000004,2498.0,8071.0,Las Animas
2008,43.3,19.285714285714285,52.7,2488.625,8071.0,Las Animas
2009,43.6,19.67142857142857,53.35,2479.25,8071.0,Las Animas
2010,43.9,20.057142857142857,54.0,2469.875,8071.0,Las Animas
1989,,,,789.0,8073.0,Lincoln
1990,36.9,12.9,,769.1,8073.0,Lincoln
1991,36.989999999999995,12.93,,749.2,8073.0,Lincoln
1992,37.08,12.96,27.8,729.3,8073.0,Lincoln
1993,37.17,12.99,29.125,709.4,8073.0,Lincoln
1994,37.26,13.02,30.450000000000003,689.5,8073.0,Lincoln
1995,37.349999999999994,13.05,31.775000000000002,669.6,8073.0,Lincoln
1996,37.44,13.08,33.1,649.7,8073.0,Lincoln
1997,37.53,13.11,30.625,629.8,8073.0,Lincoln
1998,37.62,13.139999999999999,28.15,609.9,8073.0,Lincoln
1999,37.709999999999994,13.17,25.675,590.0,8073.0,Lincoln
2000,37.8,13.2,23.2,611.875,8073.0,Lincoln
2001,38.11,13.585714285714285,22.775,633.75,8073.0,Lincoln
2002,38.419999999999995,13.971428571428572,22.35,655.625,8073.0,Lincoln
2003,38.73,14.357142857142858,21.925,677.5,8073.0,Lincoln
2004,39.04,14.742857142857142,21.5,699.375,8073.0,Lincoln
2005,39.349999999999994,15.128571428571428,22.05,721.25,8073.0,Lincoln
2006,39.66,15.514285714285714,22.6,743.125,8073.0,Lincoln
2007,39.97,15.9,23.15,765.0,8073.0,Lincoln
2008,40.28,16.285714285714285,23.7,786.875,8073.0,Lincoln
2009,40.589999999999996,16.67142857142857,24.25,808.75,8073.0,Lincoln
2010,40.9,17.057142857142857,24.8,830.625,8073.0,Lincoln
1989,,,,2555.0,8075.0,Logan
1990,34.7,14.2,,2524.8,8075.0,Logan
1991,34.88,14.239999999999998,,2494.6,8075.0,Logan
1992,35.06,14.28,32.6,2464.4,8075.0,Logan
1993,35.24,14.32,33.55,2434.2,8075.0,Logan
1994,35.42,14.36,34.5,2404.0,8075.0,Logan
1995,35.6,14.399999999999999,35.45,2373.8,8075.0,Logan
1996,35.78,14.44,36.4,2343.6,8075.0,Logan
1997,35.96,14.48,34.4,2313.4,8075.0,Logan
1998,36.14,14.52,32.4,2283.2,8075.0,Logan
1999,36.32,14.559999999999999,30.4,2253.0,8075.0,Logan
2000,36.5,14.6,28.4,2280.25,8075.0,Logan
2001,36.69,15.042857142857143,28.4,2307.5,8075.0,Logan
2002,36.88,15.485714285714286,28.4,2334.75,8075.0,Logan
2003,37.07,15.928571428571427,28.4,2362.0,8075.0,Logan
2004,37.26,16.37142857142857,28.4,2389.25,8075.0,Logan
2005,37.45,16.814285714285713,29.224999999999998,2416.5,8075.0,Logan
2006,37.64,17.257142857142856,30.049999999999997,2443.75,8075.0,Logan
2007,37.83,17.7,30.875,2471.0,8075.0,Logan
2008,38.019999999999996,18.142857142857142,31.7,2498.25,8075.0,Logan
2009,38.21,18.585714285714285,32.525,2525.5,8075.0,Logan
2010,38.4,19.02857142857143,33.35,2552.75,8075.0,Logan
1989,,,,13792.0,8077.0,Mesa
1990,34.7,17.4,,13577.9,8077.0,Mesa
1991,35.040000000000006,17.86,,13363.8,8077.0,Mesa
1992,35.38,18.32,34.4,13149.7,8077.0,Mesa
1993,35.72,18.779999999999998,34.975,12935.6,8077.0,Mesa
1994,36.06,19.24,35.55,12721.5,8077.0,Mesa
1995,36.400000000000006,19.7,36.125,12507.4,8077.0,Mesa
1996,36.74,20.16,36.7,12293.3,8077.0,Mesa
1997,37.08,20.62,35.1,12079.2,8077.0,Mesa
1998,37.42,21.08,33.5,11865.1,8077.0,Mesa
1999,37.760000000000005,21.54,31.900000000000002,11651.0,8077.0,Mesa
2000,38.1,22.0,30.3,12274.375,8077.0,Mesa
2001,38.1,22.385714285714286,30.625,12897.75,8077.0,Mesa
2002,38.1,22.771428571428572,30.950000000000003,13521.125,8077.0,Mesa
2003,38.1,23.15714285714286,31.275000000000002,14144.5,8077.0,Mesa
2004,38.1,23.54285714285714,31.6,14767.875,8077.0,Mesa
2005,38.1,23.928571428571427,32.325,15391.25,8077.0,Mesa
2006,38.1,24.314285714285713,33.05,16014.625,8077.0,Mesa
2007,38.1,24.7,33.775,16638.0,8077.0,Mesa
2008,38.1,25.085714285714285,34.5,17261.375,8077.0,Mesa
2009,38.1,25.47142857142857,35.225,17884.75,8077.0,Mesa
2010,38.1,25.857142857142858,35.95,18508.125,8077.0,Mesa
1989,,,,73.0,8079.0,Mineral
1990,37.5,17.9,,74.2,8079.0,Mineral
1991,38.25,19.229999999999997,,75.4,8079.0,Mineral
1992,39.0,20.56,38.1,76.6,8079.0,Mineral
1993,39.75,21.89,39.325,77.8,8079.0,Mineral
1994,40.5,23.22,40.55,79.0,8079.0,Mineral
1995,41.25,24.549999999999997,41.775,80.2,8079.0,Mineral
1996,42.0,25.88,43.0,81.4,8079.0,Mineral
1997,42.75,27.21,40.9,82.6,8079.0,Mineral
1998,43.5,28.54,38.8,83.8,8079.0,Mineral
1999,44.25,29.869999999999997,36.7,85.0,8079.0,Mineral
2000,45.0,31.2,34.6,79.375,8079.0,Mineral
2001,45.81,31.52857142857143,35.125,73.75,8079.0,Mineral
2002,46.62,31.857142857142858,35.650000000000006,68.125,8079.0,Mineral
2003,47.43,32.18571428571428,36.175000000000004,62.5,8079.0,Mineral
2004,48.24,32.51428571428571,36.7,56.875,8079.0,Mineral
2005,49.05,32.84285714285714,38.35,51.25,8079.0,Mineral
2006,49.86,33.17142857142857,40.0,45.625,8079.0,Mineral
2007,50.67,33.5,41.65,40.0,8079.0,Mineral
2008,51.480000000000004,33.82857142857143,43.3,34.375,8079.0,Mineral
2009,52.29,34.15714285714286,44.949999999999996,28.75,8079.0,Mineral
2010,53.1,34.48571428571429,46.599999999999994,23.125,8079.0,Mineral
1989,,,,1236.0,8081.0,Moffat
1990,31.8,16.4,,1221.0,8081.0,Moffat
1991,32.160000000000004,16.009999999999998,,1206.0,8081.0,Moffat
1992,32.52,15.62,27.2,1191.0,8081.0,Moffat
1993,32.88,15.229999999999999,28.849999999999998,1176.0,8081.0,Moffat
1994,33.24,14.84,30.5,1161.0,8081.0,Moffat
1995,33.6,14.45,32.15,1146.0,8081.0,Moffat
1996,33.96,14.059999999999999,33.8,1131.0,8081.0,Moffat
1997,34.32,13.67,31.074999999999996,1116.0,8081.0,Moffat
1998,34.68,13.28,28.349999999999998,1101.0,8081.0,Moffat
1999,35.04,12.89,25.625,1086.0,8081.0,Moffat
2000,35.4,12.5,22.9,1164.375,8081.0,Moffat
2001,35.44,12.814285714285715,23.099999999999998,1242.75,8081.0,Moffat
2002,35.48,13.128571428571428,23.299999999999997,1321.125,8081.0,Moffat
2003,35.519999999999996,13.442857142857143,23.5,1399.5,8081.0,Moffat
2004,35.559999999999995,13.757142857142856,23.7,1477.875,8081.0,Moffat
2005,35.599999999999994,14.071428571428571,24.5,1556.25,8081.0,Moffat
2006,35.64,14.385714285714284,25.299999999999997,1634.625,8081.0,Moffat
2007,35.68,14.7,26.099999999999998,1713.0,8081.0,Moffat
2008,35.72,15.014285714285714,26.9,1791.375,8081.0,Moffat
2009,35.76,15.32857142857143,27.7,1869.75,8081.0,Moffat
2010,35.8,15.642857142857144,28.5,1948.125,8081.0,Moffat
1989,,,,3735.0,8083.0,Montezuma
1990,33.3,15.9,,3745.1,8083.0,Montezuma
1991,33.769999999999996,16.41,,3755.2,8083.0,Montezuma
1992,34.239999999999995,16.92,29.7,3765.3,8083.0,Montezuma
1993,34.71,17.43,30.5,3775.4,8083.0,Montezuma
1994,35.18,17.94,31.299999999999997,3785.5,8083.0,Montezuma
1995,35.65,18.45,32.1,3795.6,8083.0,Montezuma
1996,36.12,18.96,32.9,3805.7,8083.0,Montezuma
1997,36.589999999999996,19.47,31.474999999999998,3815.8,8083.0,Montezuma
1998,37.06,19.98,30.049999999999997,3825.9,8083.0,Montezuma
1999,37.53,20.490000000000002,28.625,3836.0,8083.0,Montezuma
2000,38.0,21.0,27.2,3882.625,8083.0,Montezuma
2001,38.49,21.485714285714284,29.175,3929.25,8083.0,Montezuma
2002,38.98,21.97142857142857,31.15,3975.875,8083.0,Montezuma
2003,39.47,22.457142857142856,33.125,4022.5,8083.0,Montezuma
2004,39.96,22.942857142857143,35.1,4069.125,8083.0,Montezuma
2005,40.45,23.428571428571427,36.175,4115.75,8083.0,Montezuma
2006,40.94,23.91428571428571,37.25,4162.375,8083.0,Montezuma
2007,41.43,24.4,38.325,4209.0,8083.0,Montezuma
2008,41.92,24.885714285714283,39.4,4255.625,8083.0,Montezuma
2009,42.41,25.371428571428567,40.475,4302.25,8083.0,Montezuma
2010,42.9,25.85714285714285,41.550000000000004,4348.875,8083.0,Montezuma
1989,,,,3412.0,8085.0,Montrose
1990,37.1,15.4,,3486.8,8085.0,Montrose
1991,37.27,15.73,,3561.6,8085.0,Montrose
1992,37.44,16.06,31.7,3636.4,8085.0,Montrose
1993,37.61,16.39,31.974999999999998,3711.2,8085.0,Montrose
1994,37.78,16.72,32.25,3786.0,8085.0,Montrose
1995,37.95,17.05,32.525,3860.8,8085.0,Montrose
1996,38.12,17.38,32.8,3935.6,8085.0,Montrose
1997,38.29,17.71,31.699999999999996,4010.4,8085.0,Montrose
1998,38.46,18.04,30.599999999999998,4085.2,8085.0,Montrose
1999,38.629999999999995,18.37,29.5,4160.0,8085.0,Montrose
2000,38.8,18.7,28.4,4188.5,8085.0,Montrose
2001,39.12,18.928571428571427,28.65,4217.0,8085.0,Montrose
2002,39.44,19.15714285714286,28.9,4245.5,8085.0,Montrose
2003,39.76,19.385714285714286,29.15,4274.0,8085.0,Montrose
2004,40.08,19.614285714285714,29.4,4302.5,8085.0,Montrose
2005,40.4,19.84285714285714,30.525,4331.0,8085.0,Montrose
2006,40.72,20.071428571428573,31.65,4359.5,8085.0,Montrose
2007,41.04,20.3,32.775,4388.0,8085.0,Montrose
2008,41.36,20.52857142857143,33.9,4416.5,8085.0,Montrose
2009,41.68,20.757142857142856,35.025,4445.0,8085.0,Montrose
2010,42.0,20.985714285714284,36.15,4473.5,8085.0,Montrose
1989,,,,3414.0,8087.0,Morgan
1990,33.1,11.7,,3400.7,8087.0,Morgan
1991,33.14,11.879999999999999,,3387.4,8087.0,Morgan
1992,33.18,12.059999999999999,33.4,3374.1,8087.0,Morgan
1993,33.22,12.24,34.65,3360.8,8087.0,Morgan
1994,33.26,12.42,35.9,3347.5,8087.0,Morgan
1995,33.3,12.6,37.15,3334.2,8087.0,Morgan
1996,33.34,12.78,38.4,3320.9,8087.0,Morgan
1997,33.38,12.959999999999999,36.825,3307.6,8087.0,Morgan
1998,33.42,13.14,35.25,3294.3,8087.0,Morgan
1999,33.46,13.32,33.675,3281.0,8087.0,Morgan
2000,33.5,13.5,32.1,3329.25,8087.0,Morgan
2001,33.75,13.628571428571428,31.725,3377.5,8087.0,Morgan
2002,34.0,13.757142857142858,31.35,3425.75,8087.0,Morgan
2003,34.25,13.885714285714286,30.975,3474.0,8087.0,Morgan
2004,34.5,14.014285714285714,30.6,3522.25,8087.0,Morgan
2005,34.75,14.142857142857142,32.275,3570.5,8087.0,Morgan
2006,35.0,14.271428571428572,33.95,3618.75,8087.0,Morgan
2007,35.25,14.4,35.625,3667.0,8087.0,Morgan
2008,35.5,14.528571428571428,37.3,3715.25,8087.0,Morgan
2009,35.75,14.657142857142857,38.974999999999994,3763.5,8087.0,Morgan
2010,36.0,14.785714285714285,40.64999999999999,3811.75,8087.0,Morgan
1989,,,,4698.0,8089.0,Otero
1990,34.9,13.0,,4599.5,8089.0,Otero
1991,35.18,13.24,,4501.0,8089.0,Otero
1992,35.46,13.48,41.9,4402.5,8089.0,Otero
1993,35.74,13.72,42.8,4304.0,8089.0,Otero
1994,36.02,13.96,43.7,4205.5,8089.0,Otero
1995,36.3,14.2,44.6,4107.0,8089.0,Otero
1996,36.58,14.440000000000001,45.5,4008.5,8089.0,Otero
1997,36.86,14.68,44.25,3910.0,8089.0,Otero
1998,37.14,14.92,43.0,3811.5,8089.0,Otero
1999,37.42,15.16,41.75,3713.0,8089.0,Otero
2000,37.7,15.4,40.5,3756.75,8089.0,Otero
2001,38.02,15.5,40.05,3800.5,8089.0,Otero
2002,38.34,15.600000000000001,39.6,3844.25,8089.0,Otero
2003,38.660000000000004,15.700000000000001,39.150000000000006,3888.0,8089.0,Otero
2004,38.980000000000004,15.8,38.7,3931.75,8089.0,Otero
2005,39.3,15.9,40.025000000000006,3975.5,8089.0,Otero
2006,39.62,16.0,41.35,4019.25,8089.0,Otero
2007,39.94,16.1,42.675,4063.0,8089.0,Otero
2008,40.26,16.200000000000003,44.0,4106.75,8089.0,Otero
2009,40.58,16.300000000000004,45.324999999999996,4150.5,8089.0,Otero
2010,40.9,16.400000000000006,46.64999999999999,4194.25,8089.0,Otero
1989,,,,220.0,8091.0,Ouray
1990,40.1,27.9,,224.9,8091.0,Ouray
1991,40.43,28.79,,229.8,8091.0,Ouray
1992,40.76,29.68,29.1,234.7,8091.0,Ouray
1993,41.09,30.57,29.75,239.6,8091.0,Ouray
1994,41.42,31.459999999999997,30.4,244.5,8091.0,Ouray
1995,41.75,32.349999999999994,31.05,249.4,8091.0,Ouray
1996,42.08,33.239999999999995,31.7,254.3,8091.0,Ouray
1997,42.41,34.129999999999995,31.675,259.2,8091.0,Ouray
1998,42.74,35.019999999999996,31.65,264.1,8091.0,Ouray
1999,43.07,35.91,31.625,269.0,8091.0,Ouray
2000,43.4,36.8,31.6,271.25,8091.0,Ouray
2001,44.06,37.24285714285714,35.45,273.5,8091.0,Ouray
2002,44.72,37.68571428571428,39.3,275.75,8091.0,Ouray
2003,45.379999999999995,38.128571428571426,43.15,278.0,8091.0,Ouray
2004,46.04,38.57142857142857,47.0,280.25,8091.0,Ouray
2005,46.7,39.01428571428571,48.625,282.5,8091.0,Ouray
2006,47.36,39.457142857142856,50.25,284.75,8091.0,Ouray
2007,48.019999999999996,39.9,51.875,287.0,8091.0,Ouray
2008,48.68,40.34285714285714,53.5,289.25,8091.0,Ouray
2009,49.34,40.785714285714285,55.125,291.5,8091.0,Ouray
2010,50.0,41.22857142857143,56.75,293.75,8091.0,Ouray
1989,,,,669.0,8093.0,Park
1990,35.6,22.4,,682.4,8093.0,Park
1991,36.04,23.189999999999998,,695.8,8093.0,Park
1992,36.480000000000004,23.98,30.6,709.2,8093.0,Park
1993,36.92,24.77,31.75,722.6,8093.0,Park
1994,37.36,25.56,32.900000000000006,736.0,8093.0,Park
1995,37.8,26.35,34.050000000000004,749.4,8093.0,Park
1996,38.24,27.14,35.2,762.8,8093.0,Park
1997,38.68,27.93,35.375,776.2,8093.0,Park
1998,39.12,28.72,35.55,789.6,8093.0,Park
1999,39.56,29.51,35.725,803.0,8093.0,Park
2000,40.0,30.3,35.9,828.625,8093.0,Park
2001,40.69,30.45714285714286,37.225,854.25,8093.0,Park
2002,41.38,30.614285714285714,38.55,879.875,8093.0,Park
2003,42.07,30.771428571428572,39.875,905.5,8093.0,Park
2004,42.76,30.928571428571427,41.2,931.125,8093.0,Park
2005,43.45,31.085714285714285,42.225,956.75,8093.0,Park
2006,44.14,31.24285714285714,43.25,982.375,8093.0,Park
2007,44.83,31.4,44.275,1008.0,8093.0,Park
2008,45.519999999999996,31.557142857142857,45.3,1033.625,8093.0,Park
2009,46.21,31.714285714285715,46.324999999999996,1059.25,8093.0,Park
2010,46.9,31.871428571428574,47.349999999999994,1084.875,8093.0,Park
1989,,,,579.0,8095.0,Phillips
1990,38.5,14.2,,571.8,8095.0,Phillips
1991,38.63,14.77,,564.6,8095.0,Phillips
1992,38.76,15.34,30.0,557.4,8095.0,Phillips
1993,38.89,15.91,30.575,550.2,8095.0,Phillips
1994,39.019999999999996,16.48,31.15,543.0,8095.0,Phillips
1995,39.15,17.049999999999997,31.724999999999998,535.8,8095.0,Phillips
1996,39.28,17.619999999999997,32.3,528.6,8095.0,Phillips
1997,39.41,18.189999999999998,30.574999999999996,521.4,8095.0,Phillips
1998,39.54,18.759999999999998,28.849999999999998,514.2,8095.0,Phillips
1999,39.669999999999995,19.33,27.125,507.0,8095.0,Phillips
2000,39.8,19.9,25.4,502.875,8095.0,Phillips
2001,40.099999999999994,19.2,25.299999999999997,498.75,8095.0,Phillips
2002,40.4,18.5,25.2,494.625,8095.0,Phillips
2003,40.699999999999996,17.799999999999997,25.1,490.5,8095.0,Phillips
2004,41.0,17.099999999999998,25.0,486.375,8095.0,Phillips
2005,41.3,16.4,25.625,482.25,8095.0,Phillips
2006,41.599999999999994,15.7,26.25,478.125,8095.0,Phillips
2007,41.9,15.0,26.875,474.0,8095.0,Phillips
2008,42.199999999999996,14.3,27.5,469.875,8095.0,Phillips
2009,42.5,13.600000000000001,28.125,465.75,8095.0,Phillips
2010,42.8,12.900000000000002,28.75,461.625,8095.0,Phillips
1989,,,,794.0,8097.0,Pitkin
1990,34.8,49.8,,806.3,8097.0,Pitkin
1991,35.16,50.53,,818.6,8097.0,Pitkin
1992,35.519999999999996,51.26,51.1,830.9,8097.0,Pitkin
1993,35.879999999999995,51.989999999999995,52.45,843.2,8097.0,Pitkin
1994,36.239999999999995,52.72,53.8,855.5,8097.0,Pitkin
1995,36.599999999999994,53.45,55.15,867.8,8097.0,Pitkin
1996,36.96,54.18,56.5,880.1,8097.0,Pitkin
1997,37.32,54.91,55.625,892.4,8097.0,Pitkin
1998,37.68,55.64,54.75,904.7,8097.0,Pitkin
1999,38.04,56.370000000000005,53.875,917.0,8097.0,Pitkin
2000,38.4,57.1,53.0,955.75,8097.0,Pitkin
2001,38.76,57.385714285714286,56.85,994.5,8097.0,Pitkin
2002,39.12,57.67142857142857,60.7,1033.25,8097.0,Pitkin
2003,39.48,57.957142857142856,64.55000000000001,1072.0,8097.0,Pitkin
2004,39.839999999999996,58.24285714285715,68.4,1110.75,8097.0,Pitkin
2005,40.2,58.52857142857143,69.72500000000001,1149.5,8097.0,Pitkin
2006,40.56,58.81428571428572,71.05000000000001,1188.25,8097.0,Pitkin
2007,40.92,59.1,72.375,1227.0,8097.0,Pitkin
2008,41.28,59.385714285714286,73.7,1265.75,8097.0,Pitkin
2009,41.64,59.67142857142857,75.025,1304.5,8097.0,Pitkin
2010,42.0,59.957142857142856,76.35000000000001,1343.25,8097.0,Pitkin
1989,,,,2756.0,8099.0,Prowers
1990,32.0,12.2,,2755.9,8099.0,Prowers
1991,32.04,12.17,,2755.8,8099.0,Prowers
1992,32.08,12.139999999999999,32.9,2755.7,8099.0,Prowers
1993,32.12,12.11,34.05,2755.6,8099.0,Prowers
1994,32.16,12.08,35.2,2755.5,8099.0,Prowers
1995,32.2,12.05,36.35,2755.4,8099.0,Prowers
1996,32.24,12.02,37.5,2755.3,8099.0,Prowers
1997,32.28,11.99,35.65,2755.2,8099.0,Prowers
1998,32.32,11.96,33.8,2755.1,8099.0,Prowers
1999,32.36,11.93,31.950000000000003,2755.0,8099.0,Prowers
2000,32.4,11.9,30.1,2766.25,8099.0,Prowers
2001,32.83,12.628571428571428,29.475,2777.5,8099.0,Prowers
2002,33.26,13.357142857142858,28.85,2788.75,8099.0,Prowers
2003,33.69,14.085714285714285,28.225,2800.0,8099.0,Prowers
2004,34.12,14.814285714285715,27.6,2811.25,8099.0,Prowers
2005,34.55,15.542857142857143,28.75,2822.5,8099.0,Prowers
2006,34.980000000000004,16.271428571428572,29.900000000000002,2833.75,8099.0,Prowers
2007,35.410000000000004,17.0,31.050000000000004,2845.0,8099.0,Prowers
2008,35.84,17.728571428571428,32.2,2856.25,8099.0,Prowers
2009,36.27,18.457142857142856,33.35,2867.5,8099.0,Prowers
2010,36.7,19.185714285714283,34.5,2878.75,8099.0,Prowers
1989,,,,24318.0,8101.0,Pueblo
1990,34.7,14.0,,23931.1,8101.0,Pueblo
1991,34.900000000000006,14.43,,23544.2,8101.0,Pueblo
1992,35.1,14.86,53.6,23157.3,8101.0,Pueblo
1993,35.300000000000004,15.29,54.5,22770.4,8101.0,Pueblo
1994,35.5,15.72,55.400000000000006,22383.5,8101.0,Pueblo
1995,35.7,16.15,56.300000000000004,21996.6,8101.0,Pueblo
1996,35.900000000000006,16.58,57.2,21609.7,8101.0,Pueblo
1997,36.1,17.01,56.275000000000006,21222.8,8101.0,Pueblo
1998,36.300000000000004,17.44,55.35,20835.9,8101.0,Pueblo
1999,36.5,17.87,54.425,20449.0,8101.0,Pueblo
2000,36.7,18.3,53.5,20983.0,8101.0,Pueblo
2001,36.900000000000006,18.685714285714287,53.275,21517.0,8101.0,Pueblo
2002,37.1,19.071428571428573,53.05,22051.0,8101.0,Pueblo
2003,37.300000000000004,19.45714285714286,52.825,22585.0,8101.0,Pueblo
2004,37.5,19.84285714285714,52.6,23119.0,8101.0,Pueblo
2005,37.7,20.228571428571428,53.625,23653.0,8101.0,Pueblo
2006,37.900000000000006,20.614285714285714,54.650000000000006,24187.0,8101.0,Pueblo
2007,38.1,21.0,55.675000000000004,24721.0,8101.0,Pueblo
2008,38.300000000000004,21.385714285714286,56.7,25255.0,8101.0,Pueblo
2009,38.5,21.771428571428572,57.725,25789.0,8101.0,Pueblo
2010,38.7,22.15714285714286,58.75,26323.0,8101.0,Pueblo
1989,,,,787.0,8103.0,Rio Blanco
1990,32.3,15.4,,763.9,8103.0,Rio Blanco
1991,32.82,15.81,,740.8,8103.0,Rio Blanco
1992,33.339999999999996,16.22,27.3,717.7,8103.0,Rio Blanco
1993,33.86,16.63,27.2,694.6,8103.0,Rio Blanco
1994,34.379999999999995,17.04,27.1,671.5,8103.0,Rio Blanco
1995,34.9,17.45,27.0,648.4,8103.0,Rio Blanco
1996,35.42,17.86,26.9,625.3,8103.0,Rio Blanco
1997,35.94,18.27,24.924999999999997,602.2,8103.0,Rio Blanco
1998,36.46,18.68,22.95,579.1,8103.0,Rio Blanco
1999,36.98,19.09,20.975,556.0,8103.0,Rio Blanco
2000,37.5,19.5,19.0,521.0,8103.0,Rio Blanco
2001,37.55,20.385714285714286,18.95,486.0,8103.0,Rio Blanco
2002,37.6,21.271428571428572,18.9,451.0,8103.0,Rio Blanco
2003,37.65,22.15714285714286,18.85,416.0,8103.0,Rio Blanco
2004,37.7,23.04285714285714,18.8,381.0,8103.0,Rio Blanco
2005,37.75,23.928571428571427,19.3,346.0,8103.0,Rio Blanco
2006,37.8,24.814285714285713,19.8,311.0,8103.0,Rio Blanco
2007,37.85,25.7,20.3,276.0,8103.0,Rio Blanco
2008,37.9,26.585714285714285,20.8,241.0,8103.0,Rio Blanco
2009,37.95,27.47142857142857,21.3,206.0,8103.0,Rio Blanco
2010,38.0,28.357142857142858,21.8,171.0,8103.0,Rio Blanco
1989,,,,2516.0,8105.0,Rio Grande
1990,33.7,17.5,,2441.3,8105.0,Rio Grande
1991,34.06,17.63,,2366.6,8105.0,Rio Grande
1992,34.42,17.76,34.0,2291.9,8105.0,Rio Grande
1993,34.78,17.89,35.5,2217.2,8105.0,Rio Grande
1994,35.14,18.02,37.0,2142.5,8105.0,Rio Grande
1995,35.5,18.15,38.5,2067.8,8105.0,Rio Grande
1996,35.86,18.28,40.0,1993.1,8105.0,Rio Grande
1997,36.22,18.41,38.4,1918.4,8105.0,Rio Grande
1998,36.58,18.54,36.8,1843.6999999999998,8105.0,Rio Grande
1999,36.94,18.67,35.2,1769.0,8105.0,Rio Grande
2000,37.3,18.8,33.6,1802.375,8105.0,Rio Grande
2001,37.669999999999995,19.057142857142857,34.275,1835.75,8105.0,Rio Grande
2002,38.04,19.314285714285717,34.95,1869.125,8105.0,Rio Grande
2003,38.41,19.571428571428573,35.625,1902.5,8105.0,Rio Grande
2004,38.78,19.82857142857143,36.3,1935.875,8105.0,Rio Grande
2005,39.15,20.085714285714285,38.474999999999994,1969.25,8105.0,Rio Grande
2006,39.519999999999996,20.342857142857145,40.65,2002.625,8105.0,Rio Grande
2007,39.89,20.6,42.825,2036.0,8105.0,Rio Grande
2008,40.26,20.857142857142858,45.0,2069.375,8105.0,Rio Grande
2009,40.63,21.114285714285714,47.175000000000004,2102.75,8105.0,Rio Grande
2010,41.0,21.37142857142857,49.35000000000001,2136.125,8105.0,Rio Grande
1989,,,,1362.0,8107.0,Routt
1990,32.4,34.7,,1344.1,8107.0,Routt
1991,32.66,35.480000000000004,,1326.2,8107.0,Routt
1992,32.92,36.260000000000005,39.1,1308.3,8107.0,Routt
1993,33.18,37.04,41.0,1290.4,8107.0,Routt
1994,33.44,37.82,42.900000000000006,1272.5,8107.0,Routt
1995,33.7,38.6,44.800000000000004,1254.6,8107.0,Routt
1996,33.96,39.38,46.7,1236.7,8107.0,Routt
1997,34.22,40.160000000000004,45.95,1218.8,8107.0,Routt
1998,34.48,40.94,45.2,1200.9,8107.0,Routt
1999,34.74,41.72,44.45,1183.0,8107.0,Routt
2000,35.0,42.5,43.7,1177.625,8107.0,Routt
2001,35.39,43.128571428571426,46.35,1172.25,8107.0,Routt
2002,35.78,43.75714285714286,49.0,1166.875,8107.0,Routt
2003,36.17,44.385714285714286,51.65,1161.5,8107.0,Routt
2004,36.56,45.01428571428571,54.3,1156.125,8107.0,Routt
2005,36.95,45.64285714285714,56.4,1150.75,8107.0,Routt
2006,37.339999999999996,46.27142857142857,58.5,1145.375,8107.0,Routt
2007,37.73,46.9,60.6,1140.0,8107.0,Routt
2008,38.12,47.528571428571425,62.7,1134.625,8107.0,Routt
2009,38.51,48.15714285714285,64.80000000000001,1129.25,8107.0,Routt
2010,38.9,48.78571428571428,66.9,1123.875,8107.0,Routt
1989,,,,1399.0,8109.0,Saguache
1990,31.8,14.4,,1391.6,8109.0,Saguache
1991,32.31,14.92,,1384.2,8109.0,Saguache
1992,32.82,15.440000000000001,46.5,1376.8,8109.0,Saguache
1993,33.33,15.96,47.275,1369.4,8109.0,Saguache
1994,33.84,16.48,48.05,1362.0,8109.0,Saguache
1995,34.35,17.0,48.825,1354.6,8109.0,Saguache
