Series_ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
LAUCN08097003,5.3,7.6,8.7,6.4,4.7,4.6,4.6,4,4,3.4,2.7,3.6,4.6,5.3,5,4.1,3.1,2.7,3.3,6.7,8.3,8.1,7.4,
LAUCN08097004,433,582,693,547,429,415,423,381,383,318,273,369,478,537,534,456,357,310,382,747,896,871,795,
LAUCN08097005,7719,7113,7269,8037,8625,8675,8824,9106,9190,8940,9676,9845,9905,9678,10161,10730,11048,11046,11250,10417,9929,9892,9977,
LAUCN08097006,8152,7695,7962,8584,9054,9090,9247,9487,9573,9258,9949,10214,10383,10215,10695,11186,11405,11356,11632,11164,10825,10763,10772,
LAUCN08099003,5.5,6.2,6.3,5,3.9,4.2,4.2,3,3.6,3.1,2.9,3.2,4,5.1,4.5,4.8,5.8,3.5,4.5,6.5,6.5,6.1,6.5,
LAUCN08099004,338,366,375,299,244,273,281,209,261,222,201,231,302,366,333,362,407,239,293,455,439,420,434,
LAUCN08099005,5838,5580,5599,5734,5995,6229,6398,6697,7010,7033,6746,6992,7269,6871,7070,7146,6619,6603,6272,6566,6326,6479,6211,
LAUCN08099006,6176,5946,5974,6033,6239,6502,6679,6906,7271,7255,6947,7223,7571,7237,7403,7508,7026,6842,6565,7021,6765,6899,6645,
LAUCN08103003,4.2,5.2,6.3,4.9,4.4,6.8,5.6,4,4.1,4.1,2.9,2.7,3.1,4,3.9,3.6,2.7,2.1,2.6,5.4,6.5,5.6,6,
LAUCN08103004,134,173,222,170,156,236,186,131,132,131,93,94,114,142,147,143,129,112,133,254,286,245,256,
LAUCN08103005,3051,3140,3306,3292,3388,3227,3129,3154,3092,3034,3151,3394,3574,3418,3624,3873,4666,5271,5009,4409,4105,4125,4009,
LAUCN08103006,3185,3313,3528,3462,3544,3463,3315,3285,3224,3165,3244,3488,3688,3560,3771,4016,4795,5383,5142,4663,4391,4370,4265,
LAUCN08105003,9.9,10.5,12.2,8.6,8.2,8.4,10,7.9,8.3,7.3,4.5,5.4,5.9,6,6.2,5.9,4.6,4,5.6,6.8,8.5,9.6,9.4,
LAUCN08105004,500,534,623,427,420,444,534,420,450,376,262,334,388,390,405,390,310,265,362,460,568,632,610,
LAUCN08105005,4535,4550,4465,4528,4709,4812,4801,4885,4996,4784,5571,5877,6135,6057,6156,6193,6389,6328,6094,6341,6140,5948,5846,
LAUCN08105006,5035,5084,5088,4955,5129,5256,5335,5305,5446,5160,5833,6211,6523,6447,6561,6583,6699,6593,6456,6801,6708,6580,6456,
LAUCN08107003,4.2,5.2,6.9,5.6,3.9,4.1,4,3.6,3.3,2.8,2.5,2.9,3.8,4.6,4,3.7,3.2,2.6,3.4,7.3,9.5,8.4,7.3,
LAUCN08107004,348,448,616,532,392,420,426,391,381,329,314,382,525,629,560,547,483,416,529,1108,1380,1189,1045,
LAUCN08107005,7923,8132,8304,8989,9639,9946,10270,10443,11080,11266,12227,12911,13460,13111,13574,14102,14693,15394,15144,14173,13092,13034,13295,
LAUCN08107006,8271,8580,8920,9521,10031,10366,10696,10834,11461,11595,12541,13293,13985,13740,14134,14649,15176,15810,15673,15281,14472,14223,14340,
LAUCN08109003,11.9,10.9,13.6,11.4,10.8,10.3,11.5,8.2,9.4,8.7,5.6,6,6.9,6.9,7.1,7.6,6.2,5.3,7.2,8.9,9.5,10.3,10.4,
LAUCN08109004,269,250,323,270,268,276,323,231,279,249,151,183,221,212,221,237,202,169,219,306,319,342,340,
LAUCN08109005,1993,2049,2048,2090,2220,2404,2488,2585,2681,2612,2564,2861,2978,2840,2879,2868,3038,3014,2837,3130,3022,2974,2943,
LAUCN08109006,2262,2299,2371,2360,2488,2680,2811,2816,2960,2861,2715,3044,3199,3052,3100,3105,3240,3183,3056,3436,3341,3316,3283,
LAUCN08111003,7.9,22.7,35.4,20.9,14.5,15.8,15,11.5,14.6,12.1,4.7,6.8,7.4,6.5,6.1,7.4,4.8,4.2,5.6,8.2,11.5,10.3,8.5,
LAUCN08111004,37,100,131,69,46,44,41,30,45,36,24,35,42,40,33,38,27,24,32,46,64,60,51,
LAUCN08111005,430,341,239,261,271,235,233,232,264,262,491,480,528,571,505,475,531,544,539,513,494,520,551,
LAUCN08111006,467,441,370,330,317,279,274,262,309,298,515,515,570,611,538,513,558,568,571,559,558,580,602,
LAUCN08113003,5.1,6.8,7.1,4.7,3.6,4,5,4.4,4.9,4.4,3,3.8,5,5.6,4.8,4.3,3.4,3.1,3.9,6.6,7.7,7.8,7.5,
LAUCN08113004,125,188,227,172,147,181,217,194,221,208,142,188,254,278,242,228,187,179,215,346,392,396,379,
LAUCN08113005,2332,2572,2970,3486,3980,4297,4150,4197,4284,4556,4592,4742,4787,4650,4799,5032,5329,5516,5335,4886,4731,4677,4674,
LAUCN08113006,2457,2760,3197,3658,4127,4478,4367,4391,4505,4764,4734,4930,5041,4928,5041,5260,5516,5695,5550,5232,5123,5073,5053,
LAUCN08115003,1.8,3.5,4,4.1,4.1,3.3,3.8,2.5,3.6,2.6,2.7,2.8,3.5,4.4,3.4,3.1,3,2.2,3.2,4.2,5.2,5.5,4.9,
LAUCN08115004,23,43,48,50,49,41,47,32,47,32,38,44,57,67,53,51,50,41,49,72,85,89,79,
LAUCN08115005,1258,1198,1156,1159,1147,1201,1193,1253,1251,1200,1364,1502,1580,1452,1529,1580,1598,1799,1492,1646,1537,1539,1545,
LAUCN08115006,1281,1241,1204,1209,1196,1242,1240,1285,1298,1232,1402,1546,1637,1519,1582,1631,1648,1840,1541,1718,1622,1628,1624,
LAUCN08117003,3.6,4.6,5.6,4.1,2.9,2.8,2.4,2.2,2.4,2.3,2.2,3,4.1,4.9,4.3,3.9,3.1,2.8,3.7,6.8,8,7.7,7.2,
LAUCN08117004,295,390,512,398,313,323,291,276,311,303,362,481,685,772,693,634,527,476,637,1129,1314,1286,1201,
LAUCN08117005,7843,8144,8590,9207,10458,11186,11663,12272,12565,12911,15747,15685,15878,15143,15376,15779,16532,16782,16450,15551,15180,15327,15477,
LAUCN08117006,8138,8534,9102,9605,10771,11509,11954,12548,12876,13214,16109,16166,16563,15915,16069,16413,17059,17258,17087,16680,16494,16613,16678,
LAUCN08119003,4.5,4.9,7.1,7.6,5,4.4,5,4,4.2,3.5,3,3.9,5.9,6.3,5.7,5,4.2,3.9,5.5,8.4,9.6,9.1,8.1,
LAUCN08119004,337,412,627,757,598,574,664,558,591,490,353,474,729,783,710,640,550,490,675,1019,1219,1130,994,
LAUCN08119005,7160,7995,8229,9258,11414,12529,12706,13370,13625,13422,11562,11540,11548,11691,11796,12077,12413,12020,11669,11127,11506,11264,11285,
LAUCN08119006,7497,8407,8856,10015,12012,13103,13370,13928,14216,13912,11915,12014,12277,12474,12506,12717,12963,12510,12344,12146,12725,12394,12279,
LAUCN08121003,2,3,3.8,3.2,3.1,2.8,2.5,3,2.9,2.5,2.6,2.7,3.4,3.6,4,3.9,3.4,2.7,3.2,4.5,5.6,5,4.7,
LAUCN08121004,44,65,82,71,69,66,60,75,73,62,63,76,101,99,113,108,101,79,86,133,159,145,136,
LAUCN08121005,2173,2070,2092,2116,2130,2309,2355,2418,2443,2385,2383,2751,2834,2659,2684,2672,2834,2823,2584,2850,2697,2749,2740,
LAUCN08121006,2217,2135,2174,2187,2199,2375,2415,2493,2516,2447,2446,2827,2935,2758,2797,2780,2935,2902,2670,2983,2856,2894,2876,
LAUCN08125003,2.1,2.8,3.7,3.1,2.5,1.9,2.2,2.2,2.3,2.5,2.6,2.3,2.5,3.1,3.3,3.2,2.6,2.2,2.7,3.7,4.3,4,4,
LAUCN08125004,86,110,144,124,104,83,96,100,107,114,132,135,160,187,202,195,172,147,174,263,287,267,258,
LAUCN08125005,3939,3879,3762,3860,4019,4202,4344,4415,4531,4471,4917,5850,6233,5802,5924,5922,6418,6637,6367,6841,6350,6468,6239,
LAUCN08125006,4025,3989,3906,3984,4123,4285,4440,4515,4638,4585,5049,5985,6393,5989,6126,6117,6590,6784,6541,7104,6637,6735,6497,
LAUPA08025003,5.9,7,7.9,7,5.7,5.3,5.4,4.5,4.6,3.9,3.3,3.8,5,5.6,5.5,5,4,3.2,3.9,9.3,10.8,9.9,9.2,
LAUPA08025004,2667,3287,3808,3487,2938,2906,3035,2626,2758,2380,1952,2324,3159,3743,3811,3560,2968,2515,3180,7658,8594,7785,7235,
LAUPA08025005,42173,43387,44511,46451,48953,51673,53247,55416,57265,58270,57064,58066,60622,63234,65619,67923,72131,75945,79058,74806,71271,70936,71384,
LAUPA08025006,44840,46674,48319,49938,51891,54579,56282,58042,60023,60650,59016,60390,63781,66977,69430,71483,75099,78460,82238,82464,79865,78721,78619,
LAUPS08010003,3.8,4.1,4.7,4.2,3.5,3.1,3.2,2.5,2.5,2.2,2.4,3.7,5.8,6.3,5.7,5.2,4.3,3.8,4.9,8.1,8.8,8.5,7.8,
LAUPS08010004,8469,9425,11175,10387,9156,8420,8714,6890,7212,6566,6860,10416,16475,18357,16809,15550,13056,11671,15268,25294,27985,27083,25079,
LAUPS08010005,217157,222103,227743,237671,252318,260214,263421,271912,281843,287057,275617,272188,268715,274277,279614,286047,293512,295577,299040,288309,290515,292672,298204,
LAUPS08010006,225626,231528,238918,248058,261474,268634,272135,278802,289055,293623,282477,282604,285190,292634,296423,301597,306568,307248,314308,313603,318500,319755,323283,
LAUPS08020003,7.1,7.2,7.2,6.2,4.9,4.4,4.6,3.8,4.1,3.5,2.9,4.2,6.1,6.3,5.8,5.4,4.6,4.3,5.6,8.8,9.8,9.5,9.3,
LAUPS08020004,13558,13862,14367,12957,11046,10498,11503,9566,10738,9287,7731,11384,16881,17611,16545,15689,13805,12916,16984,26384,29572,28727,27948,
LAUPS08020005,177893,179892,186103,196337,213732,227202,236369,244606,250252,258363,257560,257797,258047,263037,269372,276399,285523,286878,284801,275131,271955,272455,272961,
LAUPS08020006,191451,193754,200470,209294,224778,237700,247872,254172,260990,267650,265291,269181,274928,280648,285917,292088,299328,299794,301785,301515,301527,301182,300909,
LAUPS08025003,5.6,5.9,6.7,6.1,5.1,4.7,5,4,3.8,3.3,3,4.4,6.7,7.2,6.6,5.8,4.8,4.2,5.3,9,10,9.3,8.5,
LAUPS08025004,14057,14933,17300,16179,13912,13040,13977,11213,10943,9322,9249,13472,20189,21993,20082,17615,14829,13317,17376,29337,32204,30293,27880,
LAUPS08025005,238837,239228,242766,251071,260659,266517,266871,272161,275614,275934,296655,289319,279862,281432,283496,287312,295075,303889,307674,296474,290344,295468,301053,
LAUPS08025006,252894,254161,260066,267250,274571,279557,280848,283374,286557,285256,305904,302791,300051,303425,303578,304927,309904,317206,325050,325811,322548,325761,328933,
LAUPS08031003,4.9,5,5.2,4.5,3.7,3.8,3.8,3.3,3.5,3.2,2.5,3.2,4.7,5.1,4.7,4.5,3.9,3.4,4.2,7,7.5,6.9,6.4,
LAUPS08031004,5077,5342,5682,5225,4526,4891,5227,4583,5080,4681,3643,4833,7243,8143,7680,7465,6725,5925,7424,12366,13272,12406,11637,
LAUPS08031005,99089,101957,104642,111407,118927,124791,130966,133868,139358,140834,143016,145173,147132,151382,156219,160043,164776,167401,169032,164950,164574,166125,169076,
LAUPS08031006,104166,107299,110324,116632,123453,129682,136193,138451,144438,145515,146659,150006,154375,159525,163899,167508,171501,173326,176456,177316,177846,178531,180713,
LAUPS08032003,7.2,8.1,9.4,8.3,5.9,5.8,6,4.9,7,5,3.9,5.2,7.1,7.5,7.5,6.9,5.6,4.8,6,9.1,10.5,10.5,10.7,
LAUPS08032004,3785,4275,4992,4453,3292,3340,3526,3000,4499,3127,2515,3334,4704,5163,5198,4858,4002,3451,4455,6817,7974,8029,8089,
LAUPS08032005,48728,48383,48380,49360,52623,54642,55715,57982,59423,59117,61584,60896,61410,63673,64044,65154,67316,68917,69209,68173,67868,68273,67706,
LAUPS08032006,52513,52658,53372,53813,55915,57982,59241,60982,63922,62244,64099,64230,66114,68836,69242,70012,71318,72368,73664,74990,75842,76302,75795,
LAUPS08033003,5.7,5.4,5.8,5.2,4.5,4.5,4.7,4,4.2,3.7,2.7,3.5,5.2,5.9,5.7,5.6,4.7,4.1,5.2,9.1,10.2,9.5,8.7,
LAUPS08033004,3820,3700,4061,3823,3438,3636,3822,3348,3628,3323,2516,3412,5345,6257,6253,6245,5433,4875,6214,11037,12423,11792,10915,
LAUPS08033005,62961,64849,65579,69485,73103,76643,77439,79672,83523,85383,91212,94794,96931,99613,102958,105913,110981,113067,113363,110487,109139,111738,114057,
LAUPS08033006,66781,68549,69640,73308,76541,80279,81261,83020,87151,88706,93728,98206,102276,105870,109211,112158,116414,117942,119577,121524,121562,123530,124972,
