Series_ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
LAUCN08019006,4449,4537,4650,4971,4928,5277,5253,5299,5486,5370,6060,5946,5982,6027,5878,5892,5864,5691,5682,5446,5681,5512,5600,
LAUCN08021003,11.8,10.7,12.4,9.7,8.7,8.6,8.7,8.6,9,7.4,5,6.2,7.1,7.1,8,7.9,6.5,5.6,7.3,8.2,9.4,9.9,9.9,
LAUCN08021004,368,330,392,314,301,310,325,329,348,280,169,225,268,268,306,301,249,206,265,309,367,379,376,
LAUCN08021005,2757,2753,2758,2916,3163,3302,3408,3483,3536,3498,3180,3377,3514,3501,3507,3513,3568,3463,3387,3443,3522,3442,3417,
LAUCN08021006,3125,3083,3150,3230,3464,3612,3733,3812,3884,3778,3349,3602,3782,3769,3813,3814,3817,3669,3652,3752,3889,3821,3793,
LAUCN08023003,10.6,13.5,10.2,11.2,11.3,11.1,10.9,15.5,14.7,11.7,7.4,8.3,9.5,10.4,10.9,10.3,8.4,7.2,7.7,10,11.9,13.2,12.7,
LAUCN08023004,149,219,164,194,175,176,175,226,220,164,92,109,129,139,148,140,113,94,99,139,168,189,187,
LAUCN08023005,1262,1404,1446,1540,1371,1408,1436,1235,1280,1234,1158,1204,1224,1199,1213,1221,1230,1219,1188,1247,1246,1246,1282,
LAUCN08023006,1411,1623,1610,1734,1546,1584,1611,1461,1500,1398,1250,1313,1353,1338,1361,1361,1343,1313,1287,1386,1414,1435,1469,
LAUCN08025003,4,5.5,6.2,5.7,4.6,3.7,5.4,3.8,4.2,4.5,5.3,5.8,7.3,8.8,8.2,8,6.8,6.3,7.3,9.6,10.7,9.7,10.2,
LAUCN08025004,46,64,72,68,58,46,73,50,57,62,79,89,119,141,134,130,109,123,133,191,192,168,173,
LAUCN08025005,1098,1109,1092,1120,1199,1211,1285,1282,1302,1322,1413,1445,1519,1468,1495,1491,1501,1815,1697,1807,1601,1566,1519,
LAUCN08025006,1144,1173,1164,1188,1257,1257,1358,1332,1359,1384,1492,1534,1638,1609,1629,1621,1610,1938,1830,1998,1793,1734,1692,
LAUCN08027003,4.5,5.1,6.7,5.6,4.1,4.1,4.6,4.1,4.1,2.5,3.4,4.1,4.3,5.2,5.2,4.8,4.3,4,5,7,7.2,6.9,6.9,
LAUCN08027004,40,51,77,71,54,63,79,75,77,45,57,74,86,102,106,98,84,80,97,142,143,133,131,
LAUCN08027005,854,951,1071,1206,1278,1487,1638,1751,1812,1776,1612,1719,1921,1869,1920,1936,1890,1929,1825,1901,1850,1806,1773,
LAUCN08027006,894,1002,1148,1277,1332,1550,1717,1826,1889,1821,1669,1793,2007,1971,2026,2034,1974,2009,1922,2043,1993,1939,1904,
LAUCN08029003,7,10.5,9.2,7.1,5.9,5.9,6.6,4.9,5.1,4.7,3.7,4.1,5.2,6,5.5,5.1,4,3.3,4.4,7.9,9.7,9.3,8.5,
LAUCN08029004,597,911,805,651,594,597,685,522,572,532,457,551,739,847,803,786,640,553,723,1352,1597,1514,1387,
LAUCN08029005,7960,7751,7992,8574,9449,9573,9749,10204,10674,10679,11907,12792,13524,13281,13819,14616,15435,15984,15866,15677,14816,14747,14870,
LAUCN08029006,8557,8662,8797,9225,10043,10170,10434,10726,11246,11211,12364,13343,14263,14128,14622,15402,16075,16537,16589,17029,16413,16261,16257,
LAUCN08033003,4.8,12.5,16.5,13.4,8.7,8.8,12,13.9,10.6,8.6,5.5,5.1,8.1,8.4,6.7,7,6.4,5,7.2,14.5,17.1,12.2,9.5,
LAUCN08033004,32,90,120,96,60,56,80,90,72,62,50,48,80,83,65,69,64,52,71,153,181,123,97,
LAUCN08033005,639,631,608,623,632,584,585,559,605,661,855,890,910,908,912,918,933,986,919,902,879,887,921,
LAUCN08033006,671,721,728,719,692,640,665,649,677,723,905,938,990,991,977,987,997,1038,990,1055,1060,1010,1018,
LAUCN08035003,3.1,3.1,3.8,3.3,2.5,2.3,2.2,1.6,1.6,1.4,2.1,3.2,5.3,5.3,4.7,4.2,3.5,3.2,4.2,6.9,7.1,6.7,6.4,
LAUCN08035004,1105,1198,1604,1538,1327,1384,1455,1257,1359,1364,2178,3681,6440,6836,6386,6081,5425,4935,6723,11107,11373,10754,10357,
LAUCN08035005,34408,36944,40163,44746,51029,58863,65654,75380,85412,94566,103664,109809,114238,122160,130294,138164,147584,151190,155127,150602,148555,149783,152614,
LAUCN08035006,35513,38142,41767,46284,52356,60247,67109,76637,86771,95930,105842,113490,120678,128996,136680,144245,153009,156125,161850,161709,159928,160537,162971,
LAUCN08037003,3.6,5,6.7,5.3,3.7,3.1,3.1,2.8,2.9,2.6,2.4,3.1,4.3,4.8,4.4,3.9,3.4,2.9,3.6,7.8,9.6,8.9,8.1,
LAUCN08037004,449,667,945,783,608,549,577,552,612,563,613,810,1160,1268,1209,1115,1015,894,1132,2389,2838,2604,2405,
LAUCN08037005,12113,12673,13202,14128,16023,17239,18078,19275,20506,20923,25079,25332,25522,24975,26130,27555,29191,30267,30705,28235,26836,26689,27388,
LAUCN08037006,12562,13340,14147,14911,16631,17788,18655,19827,21118,21486,25692,26142,26682,26243,27339,28670,30206,31161,31837,30624,29674,29293,29793,
LAUCN08039003,4,5.1,5.6,4.9,4.5,4,3.9,3.4,3.2,2.9,2.3,3.2,5.2,5.6,4.9,4.6,4,3.7,4.8,7.8,8.3,7.7,7.2,
LAUCN08039004,221,300,351,344,335,358,372,345,361,361,262,387,637,700,627,603,526,481,623,1011,1070,972,919,
LAUCN08039005,5305,5551,5923,6647,7137,8592,9189,9855,10793,12098,11370,11586,11691,11900,12112,12414,12763,12415,12465,11966,11815,11684,11905,
LAUCN08039006,5526,5851,6274,6991,7472,8950,9561,10200,11154,12459,11632,11973,12328,12600,12739,13017,13289,12896,13088,12977,12885,12656,12824,
LAUCN08043003,6.4,7.2,8.8,7.9,5.8,5.2,5,4,4.3,4.1,3.9,5.1,6.7,7.6,6.9,6.3,5.5,4.8,6.3,9.5,10.3,10.4,10.1,
LAUCN08043004,834,939,1260,1202,929,865,846,688,780,732,702,923,1256,1414,1301,1216,1090,947,1250,1899,2072,2089,2000,
LAUCN08043005,12135,12160,13112,14023,15177,15621,15932,16484,17217,17210,17193,17353,17454,17211,17617,18221,18596,18853,18591,18183,17987,17954,17831,
LAUCN08043006,12969,13099,14372,15225,16106,16486,16778,17172,17997,17942,17895,18276,18710,18625,18918,19437,19686,19800,19841,20082,20059,20043,19831,
LAUCN08045003,4.1,7.3,8.9,6.4,4.1,3.9,4.6,3.8,3.7,2.9,2.7,3.2,4.6,5,4.3,3.8,2.9,2.5,3.1,7.7,10.1,9.1,8,
LAUCN08045004,683,1261,1543,1160,812,809,967,832,855,686,664,819,1223,1353,1212,1141,992,876,1143,2693,3342,2985,2662,
LAUCN08045005,16077,15980,15713,17085,19019,19925,20273,20894,22007,22994,24146,24803,25554,25682,27027,28928,32657,34330,35809,32106,29664,29986,30568,
