FNAME,AUDIT_YEAR,pcap,pcrev,w_db_b_g,w_db_b_g_ap,w_db_b_i,w_db_b_i_ap,w_db_c_g,w_db_c_g_ap,w_db_c_i,w_db_c_i_ap,w_kern_g,w_kern_g_ap,w_kern_i,w_kern_i_ap,w_queen_g,w_queen_g_ap,w_queen_i,w_queen_i_ap,w_rook_g,w_rook_g_ap,w_rook_i,w_rook_i_ap,gsp,st_unempr,permits,hu_num,vac_rate,labforce,CTY_POP,intensity_flow,intensity_stock,prop_ratio,pcintgov,pop_growth,permit_rate,lfp_rat,lpop_growth
La Plata,1995,7050.616332819723,805.9083728146271,0.8460000108875723,-0.009756667836222538,-0.6601229328036368,0.047751876364394735,1.2828506591299815,0.04768212345165124,-0.9824631905123836,0.02523260545138627,2.4783478485383306,1.285929888611946,-1.8310569694627383,-0.2618368587761144,2.3959035664245723,-0.2782077716666022,-1.7014046676343166,0.11159160537370023,2.2172306954517462,-0.2207346724970389,-1.5640181423132653,0.09926217136483582,116821,4.0,643.0,17755.0,19.4,23556.0,38940,0.15047054995837156,0.296675903938055,0.3295303733426906,202.92342019217938,0.05285926727051504,0.03621515066178541,0.6049306625577812,0.0377093796470358
La Plata,1996,7461.272631658027,841.7906494334034,0.9174806260404448,-0.02281456130881481,-0.6637034104266891,0.046926379324060664,1.3573204741593892,0.037763254648469115,-0.9718193252525577,0.028627872551367037,2.4992219722745217,1.2231090157677118,-1.709172618009887,-0.2455249398356689,2.3412598170125083,-0.2941207459703704,-1.518754391630117,0.11321413365736388,2.186277908824036,-0.24071509598892074,-1.4145596907891569,0.10382553397865532,123144,4.2,514.0,19237.0,22.1,24343.0,39933,0.0,0.18693612599679438,0.38598285470560023,216.8951023557192,0.02550077041602461,0.026719342932889745,0.6095960734229835,0.05285926727051504
La Plata,1997,7800.410366643054,814.6374514806963,1.3641855411791826,0.019430088115941442,-1.0581223857557396,0.031946002393470264,1.907053695408564,0.08508883937264489,-1.4507031325868551,0.013221445198702808,2.3719996548082856,1.1467502481105778,-1.7316044971476063,-0.2261326218578401,2.215487781718783,-0.27623004484502217,-1.5534056131753349,0.10931369775655764,2.1721416317181794,-0.2155838473385417,-1.5156329293634263,0.09871242759856713,157345,3.4,465.0,19768.0,22.5,24590.0,40939,0.2424639419631045,0.4294000679598989,0.31405570356193957,209.92526126744758,0.025192196929857413,0.023522865236746255,0.600649747184836,0.02550077041602461
La Plata,1998,8561.461714722169,847.6545074803983,1.1891196982825618,-0.010927420283046118,-0.8750556452828439,0.04133220249200361,1.6177761372565391,0.0514694744025554,-1.175509955399568,0.024132096629941584,2.5871224748253594,1.1323974159551864,-1.7950474825227158,-0.2219526341300368,2.514553102327158,-0.2878310034110005,-1.6871884100446761,0.11418875449314787,2.295676458642788,-0.2327329410678264,-1.5327952389332544,0.1009750709416431,166949,3.5,514.0,20233.0,22.3,25163.0,41896,0.19935951315579348,0.6287595811156923,0.25797176094544627,184.82699660333327,0.023376242702557448,0.025404042900212524,0.6006062631277449,0.025192196929857413
La Plata,1999,9013.944634297375,927.7452321035292,1.709431201589086,-0.0598707238110053,-1.1030908225886995,0.06096143150698294,2.317169528334723,-0.007075271525375025,-1.4608447767079578,0.04044191809557293,2.510993743945155,1.1922652777477332,-1.507343604571138,-0.2379186965263835,2.4536912227841707,-0.3094453565563944,-1.411618975797334,0.1124332086429014,2.4329984917827705,-0.2613345075681683,-1.3896407517001441,0.10570312427298637,179848,3.0,401.0,20747.0,23.0,25045.0,43601,0.0,0.6091198230674768,0.2753929541833231,209.34921355069858,0.04069600916555283,0.019328095628283606,0.5744134308846127,0.023376242702557448
La Plata,2000,9788.511868186888,1026.3811008220005,1.7613768362585371,-0.08346928545445198,-0.9878011811299324,0.06309167448404272,2.3228889957174768,-0.03625856769928819,-1.280651423591367,0.052609711117742486,2.6381042961297863,1.2095060213592108,-1.3715266362007028,-0.2424672119292688,2.6618643710842056,-0.3226717685518642,-1.323359722595707,0.11871281961028443,2.4871280625272933,-0.2785321122609741,-1.2275979043626384,0.11530554619130867,195300,2.7,105.0,21117.0,16.65,24514.0,43941,0.0,0.5961750101688961,0.279495752062561,276.9311653010804,0.0077979862847181725,0.004972297201307004,0.5578844359482032,0.04069600916555283
La Plata,2001,9499.451922655326,957.4764428868002,2.142463268729077,-0.07863679814414845,-1.4307067522054733,0.06593353183239857,2.7605429971977884,-0.030906460023136094,-1.8057140090830188,0.04873414845255658,2.564587217704777,1.1451872824995308,-1.5851461396505588,-0.2288428363490201,2.8553449327920686,-0.3222622920242985,-1.6993425043041317,0.11944164554927934,2.7896478440710326,-0.2769454322908551,-1.643484862342882,0.11077557413249384,201831,3.8,421.0,21728.0,16.85,25077.0,45614,0.38431045565274075,0.9804854658216369,0.19184941311441114,231.02616963790402,0.03807378075146217,0.019375920471281297,0.5497654228964791,0.0077979862847181725
La Plata,2002,9564.464899202698,1096.3105263675616,2.990901523478116,-0.0036935759759927156,-1.4515996300658478,0.043834727048325015,3.795077632166554,0.05947079280720704,-1.8076861588198467,0.02199647797069956,2.6108381988821505,1.0851937691286913,-1.1467623366308228,-0.2116719289802756,2.8977155475725778,-0.2898630712184013,-1.231703487121856,0.11380628151755845,3.0653425734466517,-0.23210964454351665,-1.2861824651949134,0.10188267074654668,204515,5.7,537.0,22253.0,17.82,26342.0,46281,0.0,0.0,0.1882681890585308,279.65801297747106,0.014622703555925876,0.02413157776479576,0.5691752555044186,0.03807378075146217
La Plata,2003,10180.01709767044,1102.179315012963,2.3175777151929315,-0.233265717277393,-1.0887307204794705,0.1114395074769034,3.006223112132691,-0.21774311714340708,-1.3776682202991068,0.0995144020303802,2.6918036652319524,0.9723035429827092,-1.1438038141014475,-0.17078539226647765,2.724542607609912,-0.4129056410328223,-1.109035900125324,0.1384903166073612,2.7788873847273248,-0.3844892255320453,-1.1203855336734374,0.13252033944871455,205386,6.1,501.0,22632.0,18.37,26664.0,46790,0.0,0.0,0.2632259481730893,261.79080007108536,0.010998033750351022,0.02213679745493107,0.5698653558452661,0.014622703555925876
La Plata,2004,10924.808682933031,1029.7087893713867,2.1549637850377397,-0.2346636261021646,-1.313586329222123,0.1113416977601239,2.8269717335184943,-0.21868408780766935,-1.6770622035340437,0.09956296278763434,2.4282514743204486,1.0046941830094809,-1.334178043690555,-0.17379726617195915,2.67024554832146,-0.4124580450574876,-1.4125238686565391,0.13407549535844085,2.707656872559516,-0.3837348251164739,-1.420621280286595,0.1310047102885093,209357,5.6,737.0,23259.0,19.48,28261.0,47173,0.0,0.0,0.1855160359124543,283.3846570764828,0.008185509724299989,0.0316866589277269,0.5990927013333899,0.010998033750351022
