year,cty,SALES_TAX_RATE,births,cty_exp_prop,cty_rev_prop,deaths,defl,edu_yrs,emp_cnstr,emp_ed_hlth,emp_fin,emp_info,emp_lsr_hosp,emp_mfg,emp_nat_res,emp_other,emp_prof,emp_pub_ad,emp_total,emp_trd,emp_unclass,est_cnstr,est_ed_hlth,est_fin,est_info,est_lsr_hosp,est_mfg,est_nat_res,est_other,est_prof,est_pub_ad,est_total,est_trd,est_unclass,fed_wage,gq_pop,gsp,h_units,hh_size,intensity_flow,intensity_stock,july_hh_pop,july_pop,labforce,loc_wage,med_age,migration,nat_pop_inc,nonres_rate,num_hh,perc_dem,permits,pop,pov_pop,prop_ratio,r_ALL_OTHER_INTGOVT,r_ASSETS,r_EXP_CAPITAL_OUTLAY,r_EXP_DEBT_SERVICE_GEN,r_EXP_FIRE,r_EXP_GEN_GOVT,r_EXP_HEALTH,r_EXP_INTEREST_GEN,r_EXP_JUDICIAL,r_EXP_MISC,r_EXP_OTHER_PUBLIC_SAFETY,r_EXP_OTHER_PUBLIC_WORKS,r_EXP_POLICE,r_EXP_PRINCIPAL_GEN,r_EXP_RECREATION,r_EXP_SOCIAL_SERVICE,r_EXP_STREET,r_EXP_TOTAL,r_EXP_TOTAL_OPERATING,r_EXP_TOTAL_PUBLIC_SAFETY,r_EXP_TOTAL_PUBLIC_WORKS,r_EXP_TRANSFER_OUT,r_EXP_TRASH,r_GO_DEBT_GEN,r_LIABILITIES,r_OTHER_DEBT_GEN,r_RETAIL_SALES,r_REVENUE_DEBT_GEN,r_REV_CHARGES,r_REV_CIGARETTE_TAX,r_REV_CTF,r_REV_FINES,r_REV_FRANCHISE_TAX,r_REV_HUT,r_REV_INTEREST,r_REV_INTGOVT,r_REV_LICENSES,r_REV_LODGING_TAX,r_REV_MISC,r_REV_MOTOR_VEH_FEE,r_REV_OCCUPATION_TAX,r_REV_OTHER_TAX,r_REV_PROPERTY_TAX,r_REV_REAL_ESTATE_TRANSFER_TAX,r_REV_SALES_USE_TAX,r_REV_SOCIAL_SERVICE,r_REV_SO_TAX,r_REV_TOTAL,r_REV_TOTAL_TAX,r_REV_TRANSFER_IN,r_REV_UNCLASS_TAX,r_ST_SALES_TAX_PAID,r_TOTAL_DEBT,r_all_gov_exp,r_all_gov_rev,r_mhv,r_non_resid,r_nonres_val,r_res_val,r_resid,r_total,r_wage_cnstr,r_wage_ed_hlth,r_wage_fin,r_wage_info,r_wage_lsr_hosp,r_wage_mfg,r_wage_nat_res,r_wage_other,r_wage_prof,r_wage_pub_ad,r_wage_total,r_wage_trd,r_wage_unclass,res_rate,st_wage,stcou,unemp_rate,vac_hu,vac_rate,w_db_b_g,w_db_b_g_ap,w_db_b_i,w_db_b_i_ap,w_db_c_g,w_db_c_g_ap,w_db_c_i,w_db_c_i_ap,w_kern_g,w_kern_g_ap,w_kern_i,w_kern_i_ap,w_queen_g,w_queen_g_ap,w_queen_i,w_queen_i_ap,w_rook_g,w_rook_g_ap,w_rook_i,w_rook_i_ap,cty_rev_prop,cty_exp_prop
1975,Clear Creek,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,634728.624535316,0.0,1028244.4237918217,0.0,0.0,1413786.24535316,240415.42750929372,0.0,83328.06691449815,22725.83643122677,140342.00743494424,0.0,848032.527881041,0.0,9967.47211895911,529472.1189591079,1225201.6728624536,5834559.479553904,4629292.750929369,988374.5353159852,1341223.0483271377,177022.30483271377,116021.37546468402,0.0,0.0,385541.8215613383,80373.70817843867,0.0,220081.78438661713,18738.847583643124,0.0,0.0,0.0,540236.9888475838,73304.77695167287,1605959.1078066917,70968.40148698886,0.0,226859.66542750932,38275.092936802976,0.0,13954.460966542752,3736207.2490706323,0.0,0.0,373979.5539033458,244402.41635687737,6118433.08550186,3994564.1263940525,0.0,0.0,1683386.431226766,385541.8215613383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Conejos,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,1362752.7881040894,0.0,1163802.0446096656,0.0,0.0,965648.6988847585,196558.55018587364,0.0,84125.46468401488,441359.66542750935,232840.1486988848,0.0,102465.61338289964,0.0,110040.89219330857,3357443.3085501865,1359563.1970260225,8049730.483271376,6850045.539033459,335305.7620817844,1359563.1970260225,35882.899628252795,0.0,0.0,0.0,0.0,48856.56133828997,0.0,194166.35687732344,11163.568773234203,0.0,0.0,0.0,1371922.8624535317,14708.001858736061,5793892.193308551,1196.096654275093,0.0,264337.36059479555,0.0,0.0,22725.83643122677,906641.2639405206,0.0,0.0,3048052.9739776957,213702.6022304833,7396661.710037176,1143069.7026022307,0.0,0.0,871615.5669144982,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Costilla,1.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,10764.869888475838,0.0,1663371.747211896,0.0,0.0,743573.4200743495,112433.08550185875,0.0,34686.8029739777,34686.8029739777,1993.4944237918219,0.0,153100.3717472119,0.0,96883.82899628254,1198090.148698885,983590.1486988849,5022409.851301116,3359038.1040892196,155093.86617100373,983590.1486988849,0.0,0.0,0.0,0.0,0.0,16274.888475836433,0.0,138348.51301115245,0.0,0.0,0.0,0.0,2556855.947955391,11163.568773234203,3549616.171003718,1594.7955390334575,0.0,18340.14869888476,11960.966542750932,0.0,9568.773234200744,1321288.1040892196,0.0,82131.97026022305,970034.3866171004,66582.71375464684,5187471.189591079,1479571.56133829,0.0,0.0,324090.36245353165,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Crowley,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,379162.6394052045,0.0,179414.49814126396,0.0,7176.579925650559,481628.2527881042,62994.42379182157,0.0,21928.43866171004,16745.353159851304,17941.449814126398,0.0,90105.94795539035,0.0,82131.97026022305,907438.6617100373,617185.873605948,2484691.449814127,2305276.9516728627,115223.9776951673,617185.873605948,0.0,0.0,0.0,0.0,0.0,33434.88847583644,0.0,89308.55018587362,4385.687732342008,0.0,0.0,0.0,508341.0780669146,0.0,1591207.2490706323,0.0,0.0,78144.98141263942,23921.933085501863,0.0,5980.483271375466,704500.9293680298,0.0,0.0,675395.9107806692,73360.59479553904,2542502.7881040894,783842.0074349444,0.0,0.0,423031.47769516736,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Custer,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,184996.28252788106,0.0,94092.93680297399,0.0,1993.4944237918219,375973.0483271376,58608.73605947956,0.0,21131.040892193312,14353.159851301118,4784.386617100372,2392.193308550186,69373.6059479554,0.0,32294.609665427513,208918.21561338293,608813.1970260224,1492728.6245353161,1398635.6877323422,76151.4869888476,611205.3903345725,0.0,0.0,0.0,0.0,0.0,6674.2193308550195,0.0,92099.44237918218,1196.096654275093,0.0,0.0,0.0,846836.4312267659,66602.64869888476,1222809.4795539035,13157.063197026024,0.0,103263.01115241637,19137.546468401488,0.0,3986.9888475836437,442555.7620817844,0.0,0.0,170643.12267657995,96086.43122676581,1973958.178438662,542629.1821561339,0.0,0.0,107891.90520446099,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Delta,1.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,1449270.4460966545,0.0,1979539.962825279,0.0,0.0,1461630.1115241637,157884.7583643123,0.0,100870.81784386619,35484.20074349443,129577.13754646842,0.0,451725.8364312268,0.0,139145.91078066916,3314383.828996283,1692476.7657992567,9709513.940520447,7541389.405204462,581302.9739776952,1750686.802973978,188584.57249070634,58210.0371747212,0.0,0.0,0.0,248333.58736059483,0.0,384345.72490706324,66582.71375464684,0.0,0.0,0.0,1947245.3531598516,178234.3494423792,6276317.843866172,398.6988847583644,0.0,540236.9888475838,175826.20817843868,0.0,4784.386617100372,1703640.334572491,0.0,954485.1301115243,2637393.12267658,265932.15613382903,10130141.263940522,2928842.0074349446,0.0,0.0,5245059.256505577,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Denver,3.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,184918137.54646844,0.0,200211046.6171004,33100778.810408928,75775912.63940522,138960117.10037178,81731676.57992566,13531042.75092937,14368709.107806694,42210649.6282528,7567304.832713756,4151651.486988848,173096316.91449815,19569736.059479557,78611857.80669145,207461768.58736062,43971702.60223049,1149124758.5130112,900691081.7843868,256439534.38661712,80906768.5873606,15121851.301115243,32783414.49814127,246407871.74721193,0.0,0.0,15719664.395910783,19217286.245353162,35330302.9739777,17075874.535315987,0.0,19493983.271375466,22851426.579925653,11300322.49070632,38905547.50929368,386357958.1784387,7599599.442379183,0.0,95857179.36802976,5118097.5836431235,42667957.24907064,7245554.832713756,193680741.63568777,0.0,206544362.45353162,167945526.02230486,10912388.475836433,1028541454.4609667,483902431.2267659,0.0,0.0,278334434.4981413,265625157.9925651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Dolores,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,785835.5018587362,0.0,592466.5427509295,0.0,0.0,519504.6468401488,93295.53903345726,0.0,22327.137546468406,5980.483271375466,10764.869888475838,0.0,100472.11895910781,0.0,35882.899628252795,270317.843866171,1446080.8550185876,3097491.6356877326,2504626.394052045,111236.98884758366,1446080.8550185876,398.6988847583644,0.0,0.0,0.0,0.0,13751.124535315987,0.0,118014.86988847585,0.0,0.0,0.0,0.0,1159815.0557620819,26864.33085501859,2172908.9219330857,398.6988847583644,0.0,69772.30483271377,14751.858736059481,0.0,5980.483271375466,518707.24907063204,0.0,0.0,212506.5055762082,53824.34944237919,2939606.8773234203,578512.0817843867,0.0,0.0,273495.4739776952,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Douglas,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,1252711.8959107809,0.0,3416450.743494424,1594.7955390334575,60203.53159851302,1890231.4126394053,193767.65799256507,1594.7955390334575,116021.37546468402,4784.386617100372,184597.5836431227,0.0,783842.0074349444,0.0,477641.2639405205,582499.0706319703,2023795.5390334574,9980629.182156134,6448157.063197027,1028643.1226765801,2154568.773234201,114426.57992565057,130773.2342007435,0.0,0.0,0.0,187675.5390334573,0.0,834476.7657992566,91700.7434944238,0.0,0.0,0.0,1200482.3420074352,133540.20446096655,3146930.29739777,221277.8810408922,0.0,345273.23420074355,175028.81040892197,0.0,0.0,5497260.2230483275,0.0,0.0,427006.50557620823,486412.6394052045,10531631.040892195,5983672.862453532,0.0,0.0,2851334.9442379186,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Eagle,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,1364347.5836431228,0.0,1044989.776951673,0.0,10764.869888475838,1917342.9368029742,307396.84014869895,0.0,138348.51301115245,74955.3903345725,116021.37546468402,0.0,623166.3568773235,0.0,323743.4944237919,810953.5315985131,1748294.6096654278,7575677.509293681,6314194.237918217,749952.6022304833,1991500.92936803,216493.49442379185,243206.31970260225,0.0,0.0,0.0,301846.9516728625,0.0,499569.70260223054,52628.252788104095,0.0,0.0,0.0,1450067.843866171,222525.8085501859,3604636.6171003724,208918.21561338293,0.0,330920.07434944244,122799.25650557622,0.0,39471.18959107807,3339501.85873606,0.0,0.0,614793.6802973979,212107.80669144983,8235125.464684016,3591080.855018588,0.0,0.0,7144197.602230485,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
