LG_ID,NAME,LGTYPE_ID,AUDIT_YEAR,CM_FUND_TYPE_ID,DESCRIPTION,REV_TOTAL,REV_CHARGES,REV_IMPACT_FEE,REV_INTGOVT,REV_TRANSFER_IN,REV_INTEREST,REV_OTHER,EXP_TOTAL,EXP_OPERATING,EXP_CAPITAL_OUTLAY,EXP_PRINCIPAL,EXP_INTEREST,EXP_TRANSFER_OUT,GO_DEBT,REVENUE_DEBT,OTHER_DEBT,ASSETS,LIABILITIES,DEPRECIATION
01001,Adams County,1,2007,9,Internal Service,21480964,20101892,0,0,756117,0,622955,20833466,16995725,3837741,0,0,0,0,0,0,22213446,4773713,2871919
01001,Adams County,1,2008,9,Internal Service,22757677,21447866,0,0,815702,0,494109,21599013,18391381,3207632,0,0,0,0,0,0,23622596,4736936,2985717
01001,Adams County,1,2009,9,Internal Service,23692399,23227605,0,0,15696,0,449098,21585312,18946914,2638398,0,0,0,0,0,0,25278140,4466876,3007230
02001,Alamosa County,1,1976,7,Airport,52200,17800,0,5000,25800,0,3600,26000,26000,0,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1977,7,Airport,1045400,17300,0,987400,38600,0,2200,1120700,29400,1091300,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1978,7,Airport,106400,27100,0,10400,43200,0,25700,39200,29600,9600,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1979,7,Airport,510300,29500,0,426000,43500,0,11300,566500,38900,527600,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1980,7,Airport,93600,37900,0,5000,43400,0,7300,70900,69400,1500,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1981,7,Airport,97900,37000,0,5000,47500,0,8400,39400,37400,2000,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1982,7,Airport,327100,31500,0,238300,51400,0,5900,296400,30800,265600,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1983,7,Airport,108900,30200,0,5000,54000,0,19700,50400,45300,5100,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1984,7,Airport,126500,53700,0,5000,50900,0,16900,53900,31600,2300,20000,0,0,0,0,100000,0,0,0
02001,Alamosa County,1,1985,7,Airport,139425,64937,0,5000,50473,0,19015,103611,32856,12929,50000,7826,0,0,0,50000,0,0,0
02001,Alamosa County,1,1986,7,Airport,134765,53552,0,5000,58888,0,17325,114129,56523,2416,50000,5190,0,0,0,0,0,0,0
02001,Alamosa County,1,1987,7,Airport,281741,52367,0,154179,56174,0,19021,226603,34770,191833,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1988,7,Airport,667819,52947,0,531179,56989,0,26704,656000,35905,620095,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1989,7,Airport,462264,54148,0,316995,56076,0,35045,407294,40549,366745,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1990,7,Airport,213732,48557,0,55564,68909,0,40702,276929,42040,234889,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1991,7,Airport,817928,54557,0,663714,73588,0,26069,896849,56449,840400,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1991,9,Internal Service,231348,181348,0,0,50000,0,0,163831,163831,0,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1992,7,Airport,831374,46032,0,694077,72312,0,18953,842683,48681,769663,13970,10369,0,0,0,94856,0,0,0
02001,Alamosa County,1,1992,9,Internal Service,256674,236674,0,0,20000,0,0,329441,329441,0,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1993,7,Airport,1744248,63679,0,1598164,72491,0,9914,1865301,63613,1777349,15420,8919,0,0,0,79436,0,0,0
02001,Alamosa County,1,1993,9,Internal Service,356733,356733,0,0,0,0,0,419117,419117,0,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1994,7,Airport,801386,58189,0,666610,70015,0,6572,869308,57889,792991,13587,4841,0,0,0,65849,0,0,0
02001,Alamosa County,1,1994,9,Internal Service,288817,288817,0,0,0,0,0,305563,305563,0,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1995,7,Airport,171873,66718,0,22117,76713,0,6325,98601,62812,17359,13562,4868,0,0,0,52287,0,0,0
02001,Alamosa County,1,1995,9,Internal Service,326944,251944,0,0,75000,0,0,286068,286068,0,0,0,0,0,0,0,0,0,0
