,year,cty,stcou,results,births,deaths,edu_yrs,h_units,hh_size,med_age,migration,nat_pop_inc,perc_dem,permits,pop,pov_pop,vac_rate,fed_wage,loc_wage,r_wage_cnstr,r_wage_ed_hlth,r_wage_fin,r_wage_info,r_wage_lsr_hosp,r_wage_mfg,r_wage_nat_res,r_wage_other,r_wage_prof,r_wage_pub_ad,r_wage_total,r_wage_trd,r_wage_unclass,st_wage,gsp,name
0,1993.0,1.0,8001.0,60.0,5034.0,1693.0,30.91,109367.0,2.8,14.32,6051.0,3341.0,29174.6,2439.0,287260.0,45.825,6.0,0.04058310293637698,0.10061682488819874,391201270.17301035,538337392.2768166,111870969.78892736,111532058.30449829,112523581.21453288,653812866.083045,61506414.32179932,89539025.94809689,286155155.9896194,187255118.47058824,4005415464.9653983,1461681612.3944638,0.0,0.005898471784991356,95659.0,Adams
1,1993.0,3.0,8005.0,49.0,6407.0,2036.0,33.03,172532.0,2.52,35.74,5418.0,4371.0,24978.6,2905.0,431714.0,37.625,2.5,0.01134862375462879,0.08516489350338223,562236937.7439446,1095229522.9307961,1047049836.2595156,839690732.7508651,329211525.7474049,463515355.31833917,139316636.67820072,184513453.69204155,1778508216.9031146,381556805.38754326,8383175589.716264,1562346566.3044984,0.0,0.008735208583321647,95659.0,Arapahoe
2,1993.0,3.0,8005.0,54.0,6407.0,2036.0,33.03,172532.0,2.52,35.74,5418.0,4371.0,24978.6,2905.0,431714.0,37.625,2.5,0.01134862375462879,0.08516489350338223,562236937.7439446,1095229522.9307961,1047049836.2595156,839690732.7508651,329211525.7474049,463515355.31833917,139316636.67820072,184513453.69204155,1778508216.9031146,381556805.38754326,8383175589.716264,1562346566.3044984,0.0,0.008735208583321647,95659.0,Arapahoe
3,1993.0,3.0,8005.0,20.0,6407.0,2036.0,33.03,172532.0,2.52,35.74,5418.0,4371.0,24978.6,2905.0,431714.0,37.625,2.5,0.01134862375462879,0.08516489350338223,562236937.7439446,1095229522.9307961,1047049836.2595156,839690732.7508651,329211525.7474049,463515355.31833917,139316636.67820072,184513453.69204155,1778508216.9031146,381556805.38754326,8383175589.716264,1562346566.3044984,0.0,0.008735208583321647,95659.0,Arapahoe
4,1993.0,4.0,8007.0,33.0,62.0,35.0,37.02,4193.0,2.66,22.49,270.0,27.0,1001.0,101.0,6125.0,29.07500000000001,44.6,0.05549151745994755,0.0,2075123.4705882357,951649.660899654,2635299.498269896,1394870.491349481,5720093.024221454,540879.9342560554,2157731.948096886,838591.089965398,2408855.782006921,1090997.4705882354,29861514.33217993,10047421.961937716,0.0,0.0,95659.0,Archuleta
5,1993.0,6.0,8011.0,71.0,63.0,43.0,38.56,2337.0,2.48,13.67,290.0,20.0,969.4,5.0,5355.0,44.6,18.1,0.8192998992255877,0.02945349821630505,-134945052.3640393,28436999.792387545,1480133.1280276815,0.0,517969.25605536345,0.0,1094742.6851211074,0.0,609332.8961937715,1364034.446366782,36663512.69896194,3160300.4948096885,0.0,0.0,95659.0,Bent
6,1993.0,7.0,8013.0,55.0,3228.0,1191.0,32.14,100204.0,2.46,45.19,6841.0,2037.0,24970.0,2684.0,243377.0,51.225,3.4,0.03952022306217082,0.03985162670718432,206372412.4152249,354920964.32179934,529260932.3979238,312782985.59169555,174015146.79238755,1037699680.3183392,21293366.01384083,83716534.03806229,1097130816.7889273,238777351.96193773,4744199238.820068,688229048.1799308,0.0,0.0018409648670824961,95659.0,Boulder
7,1993.0,9.0,8015.0,58.0,128.0,142.0,38.51,6770.0,2.35,17.93,593.0,-14.0,1684.2,117.0,13463.0,37.925,23.5,0.03437378220858008,0.17074712634068692,6518683.20415225,19777297.82698962,5499690.934256055,2067943.2871972318,12171751.287197232,5790388.162629757,1643037.3425605537,2424598.152249135,3661608.5190311424,26634747.04152249,111861684.68512112,25671938.92733564,0.0,0.18312185779458034,95659.0,Chaffee
8,1993.0,9.0,8015.0,39.0,128.0,142.0,38.51,6770.0,2.35,17.93,593.0,-14.0,1684.2,117.0,13463.0,37.925,23.5,0.03437378220858008,0.17074712634068692,6518683.20415225,19777297.82698962,5499690.934256055,2067943.2871972318,12171751.287197232,5790388.162629757,1643037.3425605537,2424598.152249135,3661608.5190311424,26634747.04152249,111861684.68512112,25671938.92733564,0.0,0.18312185779458034,95659.0,Chaffee
9,1993.0,10.0,8017.0,35.0,36.0,21.0,33.77,1092.0,2.55,12.59,-116.0,15.0,261.4,5.0,2348.0,25.575,18.9,0.07900368719259165,0.0,-107814792.3250466,44529725.57012972,-68195777.53701955,0.0,237416.61591695505,0.0,3654628.7335640136,0.0,-335105172.87062,243980.76124567477,7606949.325259516,3470923.2145328717,0.0,0.0,95659.0,Cheyenne
