year,cty,spend_waiver,s_source,s_target,s_time,lim5_5,rev_change,sales,sales_change,property,prop_change,prop_levy_change,debt,debt_change,target,rev_time,results,pass,st_open,st_no waiver,st_infrastructure,st_public safety,st_environment,st_education,st_unspecified,st_hss,st_debt,st_economic development,st_tourism,ss_open,ss_no waiver,ss_sales,ss_property,ss_nontax,ss_value,ss_transfer,ss_nonproperty,ss_tourism,ss_unknown,ss_library,ss_gaming,ss_development,rt_infrastructure,rt_public safety,rt_hss,rt_environment,rt_unspecified,rt_education,rt_open,rt_tourism,rt_administrative,rt_economic development,rt_agriculture,rt_debt,rt_unknown,rt_limited,rt_choice,SALES_TAX_RATE,births,cty_exp_prop,cty_rev_prop,deaths,edu_yrs,fed_wage,gsp,h_units,hh_size,intensity_flow,intensity_stock,loc_wage,med_age,migration,nat_pop_inc,nonres_rate,perc_dem,permits,pop,pov_pop,prop_ratio,r_ALL_OTHER_INTGOVT,r_ASSETS,r_EXP_CAPITAL_OUTLAY,r_EXP_DEBT_SERVICE_GEN,r_EXP_FIRE,r_EXP_GEN_GOVT,r_EXP_HEALTH,r_EXP_INTEREST_GEN,r_EXP_JUDICIAL,r_EXP_MISC,r_EXP_OTHER_PUBLIC_SAFETY,r_EXP_OTHER_PUBLIC_WORKS,r_EXP_POLICE,r_EXP_PRINCIPAL_GEN,r_EXP_RECREATION,r_EXP_SOCIAL_SERVICE,r_EXP_STREET,r_EXP_TOTAL,r_EXP_TOTAL_OPERATING,r_EXP_TOTAL_PUBLIC_SAFETY,r_EXP_TOTAL_PUBLIC_WORKS,r_EXP_TRANSFER_OUT,r_EXP_TRASH,r_GO_DEBT_GEN,r_LIABILITIES,r_OTHER_DEBT_GEN,r_RETAIL_SALES,r_REVENUE_DEBT_GEN,r_REV_CHARGES,r_REV_CIGARETTE_TAX,r_REV_CTF,r_REV_FINES,r_REV_FRANCHISE_TAX,r_REV_HUT,r_REV_INTEREST,r_REV_INTGOVT,r_REV_LICENSES,r_REV_LODGING_TAX,r_REV_MISC,r_REV_MOTOR_VEH_FEE,r_REV_OCCUPATION_TAX,r_REV_OTHER_TAX,r_REV_PROPERTY_TAX,r_REV_REAL_ESTATE_TRANSFER_TAX,r_REV_SALES_USE_TAX,r_REV_SOCIAL_SERVICE,r_REV_SO_TAX,r_REV_TOTAL,r_REV_TOTAL_TAX,r_REV_TRANSFER_IN,r_REV_UNCLASS_TAX,r_ST_SALES_TAX_PAID,r_TOTAL_DEBT,r_all_gov_exp,r_all_gov_rev,r_non_resid,r_nonres_val,r_res_val,r_resid,r_total,r_wage_cnstr,r_wage_ed_hlth,r_wage_fin,r_wage_info,r_wage_lsr_hosp,r_wage_mfg,r_wage_nat_res,r_wage_other,r_wage_prof,r_wage_pub_ad,r_wage_total,r_wage_trd,r_wage_unclass,res_rate,st_wage,stcou,unemp_rate,vac_rate,w_db_b_g,w_db_b_i,w_db_c_g,w_db_c_i,w_kern_g,w_kern_i,w_queen_g,w_queen_i,w_rook_g,w_rook_i,cty_rev_prop.1,cty_exp_prop.1
1993,Adams,0,no waiver,no waiver,0.0,0,0,1,0.5,0,0.0,0.0,0,0.0,public safety,99.0,60.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5034.0,0.1924986320138768,0.18711589642417087,1693.0,14.32,0.04058310293637698,95659.0,109367.0,2.8,0.0,0.0,0.10061682488819874,30.91,6051.0,3341.0,0.29,45.825,2439.0,287260.0,29174.6,0.7605301199087113,14254276.121107267,75898259.9065744,7316703.3633218,3362571.768166091,0.0,30163046.408304498,3514258.152249135,435887.7508650519,6585141.093425606,5053863.446366782,1114702.3183391006,1052641.3079584776,28194222.90311419,2926684.017301038,4485799.162629758,72324139.183391,8602425.269896194,173269369.62975782,161090239.24567476,29308925.22145329,9655066.577854672,1499855.2525951557,0.0,0.0,13848096.249134947,168074.48096885814,6844879.069204153,3295432.5259515573,14839718.615916954,543284.7093425606,508305.6228373703,0.0,0.0,6481440.3633218,3457101.695501731,79372312.29757786,976314.9342560555,0.0,6477732.259515571,445499.429065744,0.0,0.0,64408629.01038063,0.0,617555.1487889275,57139506.05190312,5803868.262975778,172496130.52941182,70830052.42214534,0.0,0.0,97737459.39446367,3463507.0069204154,900107017.9930797,921867857.4394463,1376569900.5882356,4746792760.649088,8140924351.143806,1046922871.5570935,2423492772.145329,391201270.17301035,538337392.2768166,111870969.78892736,111532058.30449829,112523581.21453288,653812866.083045,61506414.32179932,89539025.94809689,286155155.9896194,187255118.47058824,4005415464.9653983,1461681612.3944638,0.0,0.1286,0.005898471784991356,8001.0,5.3,6.0,-0.6678333985341737,0.7283181504872759,-0.8613102095719781,0.9071022081989912,-1.7883786077008277,1.7799331717235818,-0.8058869739421044,0.7435697077270385,-0.792527946468098,0.7369084033492098,0.18711589642417087,0.1924986320138768
1993,Arapahoe,1,unknown,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6407.0,0.1046362598894357,0.11267076542655705,2036.0,35.74,0.01134862375462879,95659.0,172532.0,2.52,0.0,0.0,0.08516489350338223,33.03,5418.0,4371.0,0.29,37.625,2905.0,431714.0,24978.6,1.2121309926553825,16096972.141868513,101531648.21107268,5721847.619377162,7135179.955017301,0.0,39617842.72318339,429044.5328719724,1754124.591695502,11020784.366782008,4776477.093425605,876347.5432525951,0.0,30230969.429065745,5381055.3633218,0.0,54205907.56401385,11945412.965397924,168715620.72664362,153102786.21799308,31107316.97231834,11945412.965397924,2755806.9342560554,0.0,0.0,20704660.74394464,21123425.605536334,12602044.224913495,5499809.688581315,16644941.709342562,656215.6193771628,625663.1003460208,9774.965397923876,0.0,7481231.543252597,3798159.664359862,59131339.69204152,1357255.0588235296,0.0,9707710.370242216,622443.3737024223,0.0,0.0,79085703.18685122,0.0,0.0,33648813.91349481,5756304.186851213,171693029.16955018,84842007.37370242,0.0,0.0,181870939.8685121,26623235.29411765,1612401101.730104,1523847188.9273355,2102297414.2214532,7249301428.34984,19815395424.238674,2548259851.557093,4650557265.778547,562236937.7439446,1095229522.9307961,1047049836.2595156,839690732.7508651,329211525.7474049,463515355.31833917,139316636.67820072,184513453.69204155,1778508216.9031146,381556805.38754326,8383175589.716264,1562346566.3044984,0.0,0.1286,0.008735208583321647,8005.0,,2.5,-0.5711620989906697,0.7888928019141009,-0.7700537644121236,1.0321707062941383,-1.6256265675108634,2.063527942356242,-0.6520090295142753,0.7592658789748724,-0.6412268663476031,0.7524413114709109,0.11267076542655705,0.1046362598894357
1993,Arapahoe,0,no waiver,no waiver,0.0,0,0,0,0.0,1,0.9,0.0,0,0.0,public safety,99.0,54.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6407.0,0.1046362598894357,0.11267076542655705,2036.0,35.74,0.01134862375462879,95659.0,172532.0,2.52,0.0,0.0,0.08516489350338223,33.03,5418.0,4371.0,0.29,37.625,2905.0,431714.0,24978.6,1.2121309926553825,16096972.141868513,101531648.21107268,5721847.619377162,7135179.955017301,0.0,39617842.72318339,429044.5328719724,1754124.591695502,11020784.366782008,4776477.093425605,876347.5432525951,0.0,30230969.429065745,5381055.3633218,0.0,54205907.56401385,11945412.965397924,168715620.72664362,153102786.21799308,31107316.97231834,11945412.965397924,2755806.9342560554,0.0,0.0,20704660.74394464,21123425.605536334,12602044.224913495,5499809.688581315,16644941.709342562,656215.6193771628,625663.1003460208,9774.965397923876,0.0,7481231.543252597,3798159.664359862,59131339.69204152,1357255.0588235296,0.0,9707710.370242216,622443.3737024223,0.0,0.0,79085703.18685122,0.0,0.0,33648813.91349481,5756304.186851213,171693029.16955018,84842007.37370242,0.0,0.0,181870939.8685121,26623235.29411765,1612401101.730104,1523847188.9273355,2102297414.2214532,7249301428.34984,19815395424.238674,2548259851.557093,4650557265.778547,562236937.7439446,1095229522.9307961,1047049836.2595156,839690732.7508651,329211525.7474049,463515355.31833917,139316636.67820072,184513453.69204155,1778508216.9031146,381556805.38754326,8383175589.716264,1562346566.3044984,0.0,0.1286,0.008735208583321647,8005.0,,2.5,-0.5711620989906697,0.7888928019141009,-0.7700537644121236,1.0321707062941383,-1.6256265675108634,2.063527942356242,-0.6520090295142753,0.7592658789748724,-0.6412268663476031,0.7524413114709109,0.11267076542655705,0.1046362598894357
1993,Arapahoe,0,no waiver,no waiver,0.0,0,0,0,0.0,1,1.8,0.0,0,0.0,infrastructure,99.0,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6407.0,0.1046362598894357,0.11267076542655705,2036.0,35.74,0.01134862375462879,95659.0,172532.0,2.52,0.0,0.0,0.08516489350338223,33.03,5418.0,4371.0,0.29,37.625,2905.0,431714.0,24978.6,1.2121309926553825,16096972.141868513,101531648.21107268,5721847.619377162,7135179.955017301,0.0,39617842.72318339,429044.5328719724,1754124.591695502,11020784.366782008,4776477.093425605,876347.5432525951,0.0,30230969.429065745,5381055.3633218,0.0,54205907.56401385,11945412.965397924,168715620.72664362,153102786.21799308,31107316.97231834,11945412.965397924,2755806.9342560554,0.0,0.0,20704660.74394464,21123425.605536334,12602044.224913495,5499809.688581315,16644941.709342562,656215.6193771628,625663.1003460208,9774.965397923876,0.0,7481231.543252597,3798159.664359862,59131339.69204152,1357255.0588235296,0.0,9707710.370242216,622443.3737024223,0.0,0.0,79085703.18685122,0.0,0.0,33648813.91349481,5756304.186851213,171693029.16955018,84842007.37370242,0.0,0.0,181870939.8685121,26623235.29411765,1612401101.730104,1523847188.9273355,2102297414.2214532,7249301428.34984,19815395424.238674,2548259851.557093,4650557265.778547,562236937.7439446,1095229522.9307961,1047049836.2595156,839690732.7508651,329211525.7474049,463515355.31833917,139316636.67820072,184513453.69204155,1778508216.9031146,381556805.38754326,8383175589.716264,1562346566.3044984,0.0,0.1286,0.008735208583321647,8005.0,,2.5,-0.5711620989906697,0.7888928019141009,-0.7700537644121236,1.0321707062941383,-1.6256265675108634,2.063527942356242,-0.6520090295142753,0.7592658789748724,-0.6412268663476031,0.7524413114709109,0.11267076542655705,0.1046362598894357
1993,Archuleta,0,no waiver,no waiver,0.0,0,0,0,0.0,1,0.0394,0.0,0,0.0,infrastructure,99.0,33.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,62.0,0.2669833762184901,0.2721595208070618,35.0,22.49,0.05549151745994755,95659.0,4193.0,2.66,0.0,0.0,0.0,37.02,270.0,27.0,0.29,29.07500000000001,101.0,6125.0,1001.0,0.672166372074897,827463.8096885814,9978269.833910037,495440.0761245675,518821.3183391004,23440.61937716263,1796641.6089965396,152127.25951557097,60018.43598615918,84137.43944636677,76157.14878892734,86289.8615916955,0.0,1189888.6505190313,458802.88235294115,391120.339100346,1038224.5328719723,1358436.664359862,7423905.861591696,6409644.467128027,1299619.1314878894,1571617.0069204152,0.0,213180.34256055366,0.0,3132608.470588236,1443636.9550173013,99915.43598615918,0.0,425136.0311418685,7808.096885813149,39006.34256055364,9800.200692041522,2677.9100346020764,1088251.276816609,101695.26643598617,2900152.816608997,91489.81660899657,0.0,304912.12110726646,38843.0553633218,0.0,140734.26643598618,2528281.069204153,0.0,1562486.2837370243,898780.2352941177,107733.92387543252,8073404.439446367,4341913.453287197,0.0,0.0,1845382.8373702425,1443636.9550173013,27806622.145328727,29664236.678200696,67572131.41868512,233007349.71960396,353185959.79055786,45419714.42906575,112991845.84775089,2075123.4705882357,951649.660899654,2635299.498269896,1394870.491349481,5720093.024221454,540879.9342560554,2157731.948096886,838591.089965398,2408855.782006921,1090997.4705882354,29861514.33217993,10047421.961937716,0.0,0.1286,0.0,8007.0,7.6,44.6,4.816715975680956,-0.2308623251989767,4.6322768311056866,-0.2161277965117505,2.4996578129418534,-0.07383732898643877,1.9463762069465345,-0.0519989402131272,1.9136454014584958,-0.05038516766518247,0.2721595208070618,0.2669833762184901
1993,Bent,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,71.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,63.0,0.34074619009424506,0.2744229154080776,43.0,13.67,0.8192998992255877,95659.0,2337.0,2.48,0.0,0.0,0.02945349821630505,38.56,290.0,20.0,0.29,44.6,5.0,5355.0,969.4,0.19252095363876115,665626.8996539793,5641522.193771628,749281.8996539793,199829.3875432526,0.0,766713.5501730104,566683.7647058824,22343.62629757785,68040.29065743946,168660.83044982704,141489.84083044983,0.0,300910.1003460208,177485.76124567477,233528.89619377165,1772387.5224913496,1045216.1937716265,6053981.200692043,5093319.570934257,442399.9411764706,1074904.775086505,11550.342560553632,29688.58131487889,0.0,2984481.7474048445,262251.11418685125,30674.242214532875,0.0,406634.10726643604,1477.0069204152248,22889.896193771627,0.0,0.0,919876.9411764706,58851.67474048444,3197694.7474048445,1349.346020761246,0.0,303479.64705882355,19058.58477508651,0.0,9280.650519031142,1291053.9757785469,0.0,184664.46020761246,1568765.4186851212,135121.64013840831,5529278.574394465,1620120.7266435986,0.0,0.0,379249.3598615917,262251.11418685125,17766834.602076124,20148749.48096886,36034545.259515576,124257052.61901924,53945606.66641555,6937405.017301039,42971950.27681661,,28436999.792387545,1480133.1280276815,0.0,517969.25605536345,0.0,1094742.6851211074,0.0,609332.8961937715,1364034.446366782,36663512.69896194,3160300.4948096885,0.0,0.1286,0.0,8011.0,4.1,18.1,0.11246023704132314,-0.02467169450125951,0.2164692462941012,-0.07370007748631464,0.12223003498304512,-0.008492771605754684,-0.16804548234051953,0.1003059578085004,-0.16536784900364168,0.10033553677294453,0.2744229154080776,0.34074619009424506
1993,Boulder,0,no waiver,no waiver,0.0,0,0,1,0.25,0,0.0,0.0,0,0.0,environment,99.0,55.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3228.0,0.17150136907396307,0.18991693962455605,1191.0,45.19,0.03952022306217082,95659.0,100204.0,2.46,0.0,0.0,0.03985162670718432,32.14,6841.0,2037.0,0.29,51.225,2684.0,243377.0,24970.0,1.1146801463576173,14771795.59515571,40625293.55709343,3719896.110726644,3574325.5743944636,0.0,37114333.80622838,9882472.20415225,887335.2871972319,3167517.788927336,2492835.8719723187,414721.27681660897,0.0,20480375.387543254,2686990.287197232,6087109.20415225,33183052.027681664,9309708.21799308,132416198.39792389,122671853.80276816,20895096.664359864,9849436.23529412,2450122.910034602,539728.0173010381,0.0,10615842.50865052,9516710.366782008,6304155.000000001,1484429.0657439446,12345515.584775088,83263.1107266436,446278.75432525954,217200.17647058825,0.0,4567465.027681661,1771859.0657439446,41468836.70242215,917503.339100346,0.0,8182414.97231834,297941.2422145329,0.0,0.0,70982558.21107267,0.0,0.0,21302092.97231834,4801176.508650519,138915205.4948097,75783734.71972321,0.0,0.0,88161330.30103807,11001139.432525953,772099949.4809691,731452422.1453288,1635511257.5086505,5639693991.409141,14176298039.574448,1823071927.8892734,3458583185.397924,206372412.4152249,354920964.32179934,529260932.3979238,312782985.59169555,174015146.79238755,1037699680.3183392,21293366.01384083,83716534.03806229,1097130816.7889273,238777351.96193773,4744199238.820068,688229048.1799308,0.0,0.1286,0.0018409648670824961,8013.0,4.6,3.4,0.6409630421624839,-0.7306060652536582,1.1296343301782177,-1.2575816698132531,0.2776993117572735,-0.2839931227984334,0.4037000622175128,-0.3853824705636578,0.3968031545626513,-0.3803010219495692,0.18991693962455605,0.17150136907396307
1993,Chaffee,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,58.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,128.0,0.24636656163114,0.2510025068167825,142.0,17.93,0.03437378220858008,95659.0,6770.0,2.35,0.0,0.0,0.17074712634068692,38.51,593.0,-14.0,0.29,37.925,117.0,13463.0,1684.2,0.8871721475840701,1438632.9446366783,5942221.505190313,1889458.5051903115,3185.584775086505,4431.020761245675,2369153.242214533,468401.20069204154,160.31833910034604,257284.214532872,77464.93079584776,224464.9723183391,0.0,961423.141868512,3025.266435986159,105030.7785467128,1747189.3391003462,1488040.6816608997,9865126.650519032,7922999.117647058,1190319.134948097,1708156.276816609,49483.442906574404,220115.59515570934,0.0,353069.9688581315,7494.882352941178,265941.4048442907,0.0,1246243.5155709344,18298.557093425607,56055.01038062284,0.0,0.0,1509884.055363322,165751.34948096887,4585190.5951557085,208070.937716263,0.0,498250.1003460208,49925.802768166104,0.0,178440.2491349481,1649847.9031141868,0.0,1573729.3494809691,1512394.224913495,226716.8512110727,10166489.501730103,3628734.352941177,0.0,0.0,4205613.176470589,7494.882352941178,40042474.04844291,40503537.71626298,63330004.25605537,218379325.0208805,436894369.2251396,56184615.88235295,119514620.13840832,6518683.20415225,19777297.82698962,5499690.934256055,2067943.2871972318,12171751.287197232,5790388.162629757,1643037.3425605537,2424598.152249135,3661608.5190311424,26634747.04152249,111861684.68512112,25671938.92733564,0.0,0.1286,0.18312185779458034,8015.0,6.0,23.5,-0.1228585537490455,0.12857031658509369,-0.16248704450944187,0.15785549828937692,-0.21941836478799165,0.20841788213980147,0.12707408696616904,-0.07824859080130264,0.1248096014869298,-0.07636178351467858,0.2510025068167825,0.24636656163114
1993,Chaffee,0,no waiver,no waiver,0.0,0,0,1,2.0,0,0.0,0.0,0,0.0,unspecified,99.0,39.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,128.0,0.24636656163114,0.2510025068167825,142.0,17.93,0.03437378220858008,95659.0,6770.0,2.35,0.0,0.0,0.17074712634068692,38.51,593.0,-14.0,0.29,37.925,117.0,13463.0,1684.2,0.8871721475840701,1438632.9446366783,5942221.505190313,1889458.5051903115,3185.584775086505,4431.020761245675,2369153.242214533,468401.20069204154,160.31833910034604,257284.214532872,77464.93079584776,224464.9723183391,0.0,961423.141868512,3025.266435986159,105030.7785467128,1747189.3391003462,1488040.6816608997,9865126.650519032,7922999.117647058,1190319.134948097,1708156.276816609,49483.442906574404,220115.59515570934,0.0,353069.9688581315,7494.882352941178,265941.4048442907,0.0,1246243.5155709344,18298.557093425607,56055.01038062284,0.0,0.0,1509884.055363322,165751.34948096887,4585190.5951557085,208070.937716263,0.0,498250.1003460208,49925.802768166104,0.0,178440.2491349481,1649847.9031141868,0.0,1573729.3494809691,1512394.224913495,226716.8512110727,10166489.501730103,3628734.352941177,0.0,0.0,4205613.176470589,7494.882352941178,40042474.04844291,40503537.71626298,63330004.25605537,218379325.0208805,436894369.2251396,56184615.88235295,119514620.13840832,6518683.20415225,19777297.82698962,5499690.934256055,2067943.2871972318,12171751.287197232,5790388.162629757,1643037.3425605537,2424598.152249135,3661608.5190311424,26634747.04152249,111861684.68512112,25671938.92733564,0.0,0.1286,0.18312185779458034,8015.0,6.0,23.5,-0.1228585537490455,0.12857031658509369,-0.16248704450944187,0.15785549828937692,-0.21941836478799165,0.20841788213980147,0.12707408696616904,-0.07824859080130264,0.1248096014869298,-0.07636178351467858,0.2510025068167825,0.24636656163114
1993,Cheyenne,0,no waiver,no waiver,0.0,0,0,0,0.0,1,0.0,0.0,0,0.0,unspecified,99.0,35.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,36.0,0.35181099955542383,0.3632027087683691,21.0,12.59,0.07900368719259165,95659.0,1092.0,2.55,0.0,0.0,0.0,33.77,-116.0,15.0,0.29,25.575,5.0,2348.0,261.4,0.03361739989581385,244868.44982698964,6259604.314878892,506089.3702422146,0.0,0.0,1373907.3840830452,230671.37024221453,0.0,35271.51903114187,90038.04498269896,10699.764705882353,0.0,392300.4602076125,0.0,170145.25951557097,378435.89273356396,1920609.249134948,5638504.349480969,4652219.989619377,403000.2249134949,1970750.2941176472,480194.9896193772,50141.044982698964,0.0,1117334.2110726645,0.0,53581.95155709343,0.0,350672.61591695505,6034.2041522491345,6580.474048442907,727.3702422145329,0.0,1000352.2941176472,135945.4982698962,1554197.23183391,599.7093425605536,0.0,282106.83737024217,12052.079584775089,0.0,15521.190311418686,3143400.269896194,0.0,0.0,284309.73010380624,178078.04844290655,5525303.273356401,3336999.5086505194,0.0,0.0,652794.0103806229,0.0,16027083.737024225,15212725.951557094,165417575.60553634,570405433.1225393,43241903.49088131,5560908.788927336,170978484.3944637,,,,0.0,237416.61591695505,0.0,3654628.7335640136,0.0,,243980.76124567477,7606949.325259516,3470923.2145328717,0.0,0.1286,0.0,8017.0,3.3,18.9,1.1905981900872449,1.7033517302955847,1.2798199656929587,1.7769993923273486,1.1744249774807467,1.5347370369703892,1.1956459011143967,1.4438105441994942,1.1754869436369746,1.4298657114883402,0.3632027087683691,0.35181099955542383
