"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.96476148782605,2.01371497809722,0.975689960692736,0.329218128736419
"prob_exmpt",4.24256918186852,1.43426735347235,2.9580044275548,0.003096376764907
"s_time",0.00208197227757921,0.00546396671540583,0.381036778959327,0.70317595780777
"sales_change",-0.46122556983133,0.181349130405662,-2.54330180023256,0.010981033602642
"prop_change",-0.166326834897589,0.0819660699259751,-2.02921568702514,0.0424363264678558
"prop_levy_change",-7.64100844482736e-07,5.77419329825488e-07,-1.32330319581381,0.185734569357062
"debt_change",-4.86581361724347e-09,1.17227028900741e-08,-0.415076084659918,0.67808620608245
"rev_time",0.00440990833336717,0.00288200937544518,1.53015058553929,0.12597945944882
"ss_open",-2.99755201231509,1.81619034718264,-1.65046137205004,0.0988486076238307
"ss_sales",-1.05840973570887,1.74758514388901,-0.605641298456868,0.544752972115317
"ss_property",-2.06478487576987,1.75804375113118,-1.1744786638224,0.240203353129981
"ss_nontax",-3.64908205970486,1.93369338474631,-1.88710479566728,0.0591462318121013
"ss_value",-2.62032283861317,1.75246857436534,-1.49521816079477,0.134857515386799
"ss_transfer",-2.87460038901259,1.79862744369105,-1.59821890803216,0.10999426713701
"ss_nonproperty",-2.47830535294321,1.27553751687076,-1.94294979188316,0.0520222249848861
"ss_tourism",13.5953516017365,1103.38808783874,0.0123214594679614,0.990169146475267
"ss_unknown",-20.5089834455112,2399.54541882157,-0.00854702865161157,0.993180540827087
"ss_library",12.4678345876064,2399.54541949186,0.00519591522891311,0.995854278113663
"ss_gaming",14.1086591483008,1395.26589315731,0.0101118068014798,0.991932082960432
"infrastructure",-0.850885738043199,0.303378411674094,-2.80470101134707,0.00503632733210408
"open",-1.7941053348379,0.617579650128609,-2.90505902269332,0.00367183851640636
"public.safety",-0.651916281704707,0.338719005064692,-1.92465221011203,0.0542728829793299
"economic.development",-2.3238315742326,1.46197261232028,-1.58951785734513,0.111943525713155
"unspecified",-0.731392984838809,0.485326005697268,-1.50701379331202,0.131807121692383
"environment",0.418288784871415,0.39555302863253,1.057478402624,0.290293306269545
"hss",-0.425837579568792,0.363552961309925,-1.17132199400728,0.241469374025181
"education",-0.509094438321144,0.477067814443713,-1.0671322250376,0.285912131948134
"tourism",1.23853757765836,0.885269608972477,1.39905127783153,0.161797606712262
"no.waiver",-4.33780700684366,1.84508326748622,-2.35100880447177,0.0187225908355857
"administrative",-2.93734660939792,1.09328873142943,-2.68670711126552,0.00721601964478389
"limited",-16.2165057154623,2399.5447830341,-0.00675815922675023,0.994607810139553
"agriculture",-1.43680045710342,1.2459092869409,-1.15321434085399,0.248822418702328
"unknown",-16.4014127033131,2399.54482600511,-0.0068352182987217,0.994546327315887
"intensity_stock",-0.333539103062618,0.331108910196079,-1.0073395574438,0.3137716264274
"prop_ratio",0.456252336066399,0.246652569762593,1.84977734675762,0.0643456471570036
"cty_rev_prop",1.71619317884443,1.08264440026368,1.58518639954767,0.112923989668651
